id_uf,ano,nome_uf,populacao,obitos_evitaveis,total_internacoes,dias_permanencia,internacoes_icsap,indice_gini,renda_media,pib_total,pib_per_capita,taxa_icsap_100k,tempo_medio_permanencia,taxa_mortalidade_evitavel_100k
11,2018,Rondônia,1757589,5047.0,119605.0,553964.0,112100.0,"0,497",1431.0,44913978.5,25554.31,6378.06,4.63,287.15
12,2018,Acre,869265,2525.0,43966.0,214286.0,41091.0,"0,559",1202.0,15331122.6,17636.88,4727.1,4.87,290.48
13,2018,Amazonas,4080611,10870.0,187678.0,986672.0,175190.0,"0,545",1051.0,100109235.1,24532.9,4293.23,5.26,266.38
14,2018,Roraima,576568,1797.0,44676.0,239295.0,42403.0,"0,567",1466.0,13369987.7,23188.92,7354.38,5.36,311.67
15,2018,Pará,8513497,24970.0,499891.0,2054975.0,469898.0,"0,561",1084.0,161349602.0,18952.21,5519.45,4.11,293.3
16,2018,Amapá,829494,2117.0,36618.0,193715.0,34598.0,"0,548",1105.0,16795206.7,20247.53,4170.98,5.29,255.22
17,2018,Tocantins,1555229,4545.0,70646.0,373323.0,64472.0,"0,530",1359.0,35666183.1,22933.07,4145.5,5.28,292.24
21,2018,Maranhão,7035055,20287.0,469494.0,2133908.0,451012.0,"0,527",848.0,98179495.6,13955.75,6410.92,4.55,288.37
22,2018,Piauí,3264531,10647.0,208359.0,1003763.0,198954.0,"0,530",1100.0,50378417.6,15432.05,6094.41,4.82,326.14
23,2018,Ceará,9075649,30902.0,499594.0,2793504.0,468551.0,"0,547",1213.0,155903824.8,17178.26,5162.73,5.59,340.49
24,2018,Rio Grande do Norte,3479010,11707.0,171634.0,1007588.0,159559.0,"0,540",1259.0,66969562.0,19249.6,4586.33,5.87,336.5
25,2018,Paraíba,3996496,14034.0,186567.0,1057026.0,178565.0,"0,551",1215.0,64373595.4,16107.51,4468.04,5.67,351.16
26,2018,Pernambuco,9496294,35659.0,549719.0,3055919.0,532435.0,"0,535",1184.0,186351975.3,19623.65,5606.77,5.56,375.5
27,2018,Alagoas,3322820,11863.0,174771.0,878374.0,166634.0,"0,550",975.0,54413046.7,16375.56,5014.84,5.03,357.02
28,2018,Sergipe,2278308,7714.0,92649.0,529104.0,84622.0,"0,576",1199.0,42017981.3,18442.63,3714.25,5.71,338.58
29,2018,Bahia,14812617,52033.0,825794.0,3920131.0,776582.0,"0,548",1195.0,286239541.1,19324.04,5242.71,4.75,351.27
31,2018,Minas Gerais,21040662,74469.0,1245174.0,6412883.0,1171073.0,"0,492",1734.0,614875819.8,29223.22,5565.76,5.15,353.93
32,2018,Espírito Santo,3972388,13411.0,242412.0,1191709.0,223801.0,"0,507",1753.0,137020054.9,34493.12,5633.92,4.92,337.61
33,2018,Rio de Janeiro,17159960,79752.0,699438.0,5281505.0,657102.0,"0,544",2153.0,758859046.9,44222.66,3829.27,7.55,464.76
35,2018,São Paulo,45538936,163859.0,2449878.0,13754052.0,2349074.0,"0,539",2496.0,2210561949.5,48542.24,5158.39,5.61,359.82
41,2018,Paraná,11348937,41730.0,862910.0,3842872.0,811538.0,"0,491",2112.0,440029402.9,38772.74,7150.78,4.45,367.7
42,2018,Santa Catarina,7075494,23442.0,492773.0,2307348.0,463755.0,"0,418",2189.0,298227090.0,42149.3,6554.38,4.68,331.31
43,2018,Rio Grande do Sul,11329605,47448.0,742698.0,4550821.0,696643.0,"0,486",2208.0,457293957.6,40362.75,6148.87,6.13,418.8
50,2018,Mato Grosso do Sul,2748023,9690.0,171189.0,807889.0,153457.0,"0,491",1969.0,106969141.7,38925.85,5584.27,4.72,352.62
51,2018,Mato Grosso,3441998,11526.0,192576.0,889440.0,183599.0,"0,465",1848.0,137442852.8,39931.13,5334.08,4.62,334.86
52,2018,Goiás,6921161,24093.0,370136.0,1816532.0,351267.0,"0,470",1735.0,195681724.0,28272.96,5075.26,4.91,348.11
53,2018,Distrito Federal,2974703,7061.0,165796.0,1009076.0,148972.0,"0,571",3471.0,254817204.7,85661.39,5007.96,6.09,237.37
11,2021,Rondônia,1815278,9529.0,115024.0,538452.0,117088.0,"0,458",1378.0,58170095.7,32044.73,6450.14,4.68,524.93
12,2021,Acre,906876,3494.0,46970.0,231771.0,47542.0,"0,539",1157.0,21374440.0,23569.31,5242.39,4.93,385.28
13,2021,Amazonas,4269995,19249.0,214810.0,1127853.0,215268.0,"0,541",948.0,131531037.8,30803.56,5041.41,5.25,450.8
14,2021,Roraima,652713,3016.0,43236.0,286402.0,44354.0,"0,597",1243.0,18202579.5,27887.57,6795.33,6.62,462.07
15,2021,Pará,8777124,32790.0,477873.0,2063530.0,481173.0,"0,528",1061.0,262904979.1,29953.43,5482.13,4.32,373.58
16,2021,Amapá,877613,3239.0,38277.0,200635.0,37665.0,"0,530",1168.0,20099850.5,22902.86,4291.76,5.24,369.07
17,2021,Tocantins,1607363,7061.0,84176.0,452790.0,85791.0,"0,515",1313.0,51780764.4,32214.73,5337.38,5.38,439.29
21,2021,Maranhão,7153262,26853.0,450572.0,2230556.0,456387.0,"0,529",789.0,124980720.0,17471.85,6380.12,4.95,375.4
22,2021,Piauí,3289290,14521.0,202271.0,1001586.0,201516.0,"0,515",1116.0,64028302.8,19465.69,6126.43,4.95,441.46
23,2021,Ceará,9240580,41749.0,507154.0,3005608.0,500834.0,"0,550",1092.0,194884801.5,21090.1,5419.94,5.93,451.8
24,2021,Rio Grande do Norte,3560903,15256.0,175359.0,980042.0,178041.0,"0,588",1240.0,80180733.1,22516.97,4999.88,5.59,428.43
25,2021,Paraíba,4059905,19260.0,183891.0,1057748.0,186343.0,"0,562",1047.0,77470331.0,19081.81,4589.84,5.75,474.4
26,2021,Pernambuco,9674793,47757.0,543186.0,3081044.0,544585.0,"0,580",1007.0,220813522.5,22823.59,5628.91,5.67,493.62
27,2021,Alagoas,3365351,15698.0,163399.0,892680.0,163980.0,"0,526",1001.0,76265620.3,22662.01,4872.6,5.46,466.46
28,2021,Sergipe,2338474,10194.0,93616.0,545528.0,95368.0,"0,566",1200.0,51861396.9,22177.45,4078.22,5.83,435.93
29,2021,Bahia,14985284,67751.0,761018.0,3810387.0,767937.0,"0,543",1055.0,352617851.8,23530.94,5124.61,5.01,452.12
31,2021,Minas Gerais,21411923,109910.0,1215684.0,6454657.0,1226052.0,"0,486",1658.0,857593213.6,40052.13,5726.02,5.31,513.31
32,2021,Espírito Santo,4108508,19519.0,263570.0,1349747.0,260403.0,"0,507",1725.0,186336504.8,45353.81,6338.14,5.12,475.09
33,2021,Rio de Janeiro,17463349,112041.0,735211.0,5040434.0,742010.0,"0,566",2096.0,949300770.4,54359.61,4248.96,6.86,641.58
35,2021,São Paulo,46649132,258618.0,2306858.0,13970953.0,2312489.0,"0,532",2172.0,2719751231.4,58302.29,4957.2,6.06,554.39
41,2021,Paraná,11597484,69520.0,764476.0,3859886.0,775697.0,"0,475",1914.0,549973061.9,47421.76,6688.49,5.05,599.44
