id_unidade_federativa,nome_unidade_federativa,ano,internacoes,dias_internacao,indice_gini,renda_per_capita,pib_milhares,obitos_hospitalares,populacao,obitos_evitaveis,idhm,media_leitos_repouso_fem,mediana_leitos_repouso_fem,desvio_padrao_leitos_repouso_fem,media_leitos_repouso_masc,mediana_leitos_repouso_masc,desvio_padrao_leitos_repouso_masc,media_leitos_repouso_ind,mediana_leitos_repouso_ind,desvio_padrao_leitos_repouso_ind,media_leitos_repouso_ped,mediana_leitos_repouso_ped,desvio_padrao_leitos_repouso_ped,media_total_leitos_repouso,mediana_total_leitos_repouso,desvio_padrao_total_leitos_repouso,media_leitos_uti_nao_sus,mediana_leitos_uti_nao_sus,desvio_padrao_leitos_uti_nao_sus,media_leitos_enf_nao_sus,mediana_leitos_enf_nao_sus,desvio_padrao_leitos_enf_nao_sus,media_leitos_enf_total,mediana_leitos_enf_total,desvio_padrao_leitos_enf_total,media_leitos_uti_sus,mediana_leitos_uti_sus,desvio_padrao_leitos_uti_sus,media_leitos_enf_sus,mediana_leitos_enf_sus,desvio_padrao_leitos_enf_sus,media_leitos_uti_total,mediana_leitos_uti_total,desvio_padrao_leitos_uti_total,media_equip_diag_imagem_total,mediana_equip_diag_imagem_total,desvio_padrao_equip_diag_imagem_total,media_equip_diag_imagem_sus,mediana_equip_diag_imagem_sus,desvio_padrao_equip_diag_imagem_sus,media_equip_diag_imagem_nao_sus,mediana_equip_diag_imagem_nao_sus,desvio_padrao_equip_diag_imagem_nao_sus,media_equip_totais_total,mediana_equip_totais_total,desvio_padrao_equip_totais_total,media_equip_totais_sus,mediana_equip_totais_sus,desvio_padrao_equip_totais_sus,media_equip_totais_nao_sus,mediana_equip_totais_nao_sus,desvio_padrao_equip_totais_nao_sus,media_equip_manut_vida_total,mediana_equip_manut_vida_total,desvio_padrao_equip_manut_vida_total,media_equip_manut_vida_sus,mediana_equip_manut_vida_sus,desvio_padrao_equip_manut_vida_sus,media_equip_manut_vida_nao_sus,mediana_equip_manut_vida_nao_sus,desvio_padrao_equip_manut_vida_nao_sus,media_equip_met_graficos_total,mediana_equip_met_graficos_total,desvio_padrao_equip_met_graficos_total,media_equip_met_graficos_sus,mediana_equip_met_graficos_sus,desvio_padrao_equip_met_graficos_sus,media_equip_met_graficos_nao_sus,mediana_equip_met_graficos_nao_sus,desvio_padrao_equip_met_graficos_nao_sus
11,Rondônia,2018,120605,559718,0.497,1431,44913978.5,3476,1701892,5047,0.73,57.33,58,1.56,52.33,53,1.56,278.92,278,2.31,77.08,78,1.51,465.67,467,5.84,164.25,159,18.97,1051.83,1038,48.44,4372.58,4369,46.08,261.83,264,3.21,3320.75,3318,22.54,426.08,423,16.16,1075.17,1074,22.57,319.25,317,7.48,755.92,758,16.98,16095.33,16131,508.86,2356.92,2354,30.23,13738.42,13784,482.33,3827.08,3882,122.11,471.75,473,5.38,3355.33,3414,121.16,286.25,285,6.86,105.67,105,1.23,180.58,180,5.95
12,Acre,2018,44484,216073,0.559,1202,15331122.6,1500,851504,2525,0.733,39.0,39,0.0,30.0,30,0.0,113.0,120,16.35,60.5,64,8.17,242.5,253,24.52,35.92,37,2.61,151.83,155,18.26,1456.92,1459,17.28,105.67,105,2.1,1305.08,1304,3.5,141.58,142,1.0,276.75,278,2.34,98.25,98,2.6,178.5,178,1.93,4739.92,4733,168.06,1483.83,1478,15.21,3256.08,3254,155.78,1054.08,1052,23.35,212.08,212,1.0,842.0,839,23.03,49.92,49,1.38,30.92,31,0.29,19.0,18,1.28
13,Amazonas,2018,189023,995587,0.545,1051,100109235.1,5957,4018483,10870,0.718,235.75,234,6.52,201.5,202,9.04,480.0,482,5.33,266.83,266,4.43,1184.08,1176,22.61,225.92,228,13.06,818.75,819,19.55,5771.0,5773,32.76,633.67,633,3.63,4952.25,4953,27.9,859.58,861,13.03,1333.33,1332,14.82,687.83,687,5.37,645.5,645,13.35,21884.0,21789,544.22,4923.75,4928,54.86,16960.25,16857,494.54,8004.83,7993,100.41,860.08,858,10.77,7144.75,7140,92.54,339.17,340,10.76,162.58,162,1.93,176.58,178,8.96
14,Roraima,2018,44403,242849,0.567,1466,13369987.7,1349,587497,1797,0.76,0.0,0,0.0,0.0,0,0.0,69.83,70,0.58,13.0,13,0.0,82.83,83,0.58,19.42,20,2.02,77.5,82,9.86,1024.33,1050,51.96,74.75,74,2.01,946.83,970,56.77,94.17,94,0.39,238.42,239,3.12,107.17,108,1.75,131.25,131,1.76,6291.58,6381,181.83,1284.33,1295,30.34,5007.25,5087,153.44,1597.75,1603,12.45,151.92,154,2.94,1445.83,1449,9.81,71.75,72,1.14,47.0,47,1.28,24.75,25,0.45
15,Pará,2018,499670,2055903,0.561,1084,161349602.0,11779,8339467,24970,0.707,293.92,295,6.32,303.58,304,2.78,740.75,744,12.91,365.08,366,9.07,1703.33,1712,26.16,646.5,643,17.12,4407.83,4469,151.62,15129.92,15222,182.81,911.5,904,13.11,10722.08,10728,53.69,1558.0,1548,18.71,2942.75,2945,59.62,1110.42,1115,20.09,1832.33,1825,40.68,45294.08,45156,963.27,9064.92,9067,135.43,36229.17,36082,831.65,13453.92,13387,229.36,1590.58,1584,14.34,11863.33,11788,218.09,878.08,883,21.24,342.0,342,4.29,536.08,537,17.56
16,Amapá,2018,36306,194980,0.548,1105,16795206.7,1037,772784,2117,0.741,20.0,20,0.0,22.0,22,0.0,77.5,76,3.94,33.25,32,2.6,152.75,151,6.54,63.75,66,8.1,152.33,157,22.78,1156.33,1151,18.72,62.42,55,11.08,1004.0,1013,27.24,126.17,121,14.06,240.25,243,12.01,76.08,75,2.78,164.17,167,9.81,3074.92,3115,169.99,444.75,444,16.77,2630.17,2672,154.25,671.33,665,16.96,106.58,106,3.9,564.75,557,13.71,61.5,61,2.84,21.67,21,1.3,39.83,40,1.95
17,Tocantins,2018,72722,397890,0.53,1359,35666183.1,2415,1511702,4545,0.749,158.33,158,1.15,140.83,143,2.89,206.67,208,3.55,133.25,132,1.54,639.08,640,4.17,136.25,142,10.18,499.67,520,38.45,2815.58,2836,76.94,220.25,220,0.45,2315.92,2343,50.81,356.5,363,10.1,737.33,739,14.33,417.25,419,6.3,320.08,319,8.95,10864.83,10880,115.02,3832.42,3840,45.83,7032.42,7040,70.41,4592.75,4588,15.85,699.42,700,6.99,3893.33,3891,9.89,210.75,212,4.0,109.5,109,2.11,101.25,101,2.18
21,Maranhão,2018,471053,2122834,0.527,848,98179495.6,11006,6917016,20287,0.686,207.5,208,3.94,196.0,197,3.46,705.25,709,11.69,237.42,238,5.26,1346.17,1352,22.53,470.42,473,16.92,1552.33,1578,88.21,14004.5,14002,137.07,732.08,733,16.51,12452.17,12437,68.38,1202.5,1202,27.13,2010.75,2010,23.73,1056.75,1051,12.34,954.0,956,13.16,26994.33,26988,1039.12,9206.33,9164,261.64,17788.0,17824,780.96,9462.5,9482,572.05,1351.33,1364,34.65,8111.17,8117,538.79,675.42,673,7.38,368.17,369,6.0,307.25,307,4.37
22,Piauí,2018,206219,984619,0.53,1100,50378417.6,5860,3302227,10647,0.699,88.75,89,2.7,67.58,65,4.14,224.92,221,6.29,77.58,74,6.22,458.83,449,18.22,218.5,216,16.07,1001.75,982,36.87,7580.17,7596,30.54,344.33,345,6.23,6578.42,6583,51.42,562.83,553,19.73,1218.33,1219,14.23,613.75,614,5.17,604.58,605,9.33,14589.58,14521,160.48,5484.67,5490,15.49,9104.92,9031,152.06,3684.75,3638,103.8,654.0,654,6.47,3030.75,2978,107.86,379.75,378,6.18,161.0,161,1.48,218.75,217,7.2
23,Ceará,2018,505865,2809399,0.547,1213,155903824.8,19360,8976628,30902,0.739,300.83,301,4.17,316.67,319,6.5,862.58,863,15.85,366.08,363,7.69,1846.17,1852,20.39,641.67,660,36.19,4212.75,4239,196.03,18144.67,18154,216.87,1185.42,1183,8.53,13931.92,13916,126.06,1827.08,1850,42.09,4545.08,4545,60.08,1402.92,1394,23.77,3142.17,3153,43.3,62672.67,62543,1327.61,14884.92,14830,279.09,47787.75,47710,1081.03,19200.42,19212,177.93,2143.08,2137,40.71,17057.33,17069,149.03,1338.58,1337,12.71,446.0,443,6.42,892.58,893,8.05
