id_municipio,nome_municipio,populacao
1100015,Alta Floresta D'Oeste - RO,23167
1100023,Ariquemes - RO,106168
1100031,Cabixi - RO,5438
1100049,Cacoal - RO,84813
1100056,Cerejeiras - RO,16444
1100064,Colorado do Oeste - RO,16227
1100072,Corumbiara - RO,7567
1100080,Costa Marques - RO,17855
1100098,Espigão D'Oeste - RO,32047
1100106,Guajará-Mirim - RO,45783
1100114,Jaru - RO,51933
1100122,Ji-Paraná - RO,127907
1100130,Machadinho D'Oeste - RO,39097
1100148,Nova Brasilândia D'Oeste - RO,20459
1100155,Ouro Preto do Oeste - RO,36340
1100189,Pimenta Bueno - RO,36434
1100205,Porto Velho - RO,519531
1100254,Presidente Médici - RO,19409
1100262,Rio Crespo - RO,3723
1100288,Rolim de Moura - RO,54702
1100296,Santa Luzia D'Oeste - RO,6781
1100304,Vilhena - RO,97448
1100320,São Miguel do Guaporé - RO,22931
1100338,Nova Mamoré - RO,29757
1100346,Alvorada D'Oeste - RO,14722
1100379,Alto Alegre dos Parecis - RO,13227
1100403,Alto Paraíso - RO,20999
1100452,Buritis - RO,38937
1100502,Novo Horizonte do Oeste - RO,8751
1100601,Cacaulândia - RO,6190
1100700,Campo Novo de Rondônia - RO,14009
1100809,Candeias do Jamari - RO,25983
1100908,Castanheiras - RO,3119
1100924,Chupinguaia - RO,10886
1100940,Cujubim - RO,24226
1101005,Governador Jorge Teixeira - RO,8095
1101104,Itapuã do Oeste - RO,10272
1101203,Ministro Andreazza - RO,9762
1101302,Mirante da Serra - RO,11080
1101401,Monte Negro - RO,15695
1101435,Nova União - RO,7047
1101450,Parecis - RO,5947
1101468,Pimenteiras do Oeste - RO,2191
1101476,Primavera de Rondônia - RO,2939
1101484,São Felipe D'Oeste - RO,5280
1101492,São Francisco do Guaporé - RO,19842
1101500,Seringueiras - RO,11860
1101559,Teixeirópolis - RO,4384
1101609,Theobroma - RO,10494
1101708,Urupá - RO,11665
1101757,Vale do Anari - RO,11028
1101807,Vale do Paraíso - RO,6998
1200013,Acrelândia - AC,15020
1200054,Assis Brasil - AC,7300
1200104,Brasiléia - AC,25848
1200138,Bujari - AC,10111
1200179,Capixaba - AC,11456
1200203,Cruzeiro do Sul - AC,87673
1200252,Epitaciolândia - AC,18122
1200302,Feijó - AC,34675
1200328,Jordão - AC,8159
1200336,Mâncio Lima - AC,18638
1200344,Manoel Urbano - AC,9336
1200351,Marechal Thaumaturgo - AC,18430
1200385,Plácido de Castro - AC,19565
1200393,Porto Walter - AC,11720
1200401,Rio Branco - AC,401155
1200427,Rodrigues Alves - AC,18504
1200435,Santa Rosa do Purus - AC,6362
1200450,Senador Guiomard - AC,22810
1200500,Sena Madureira - AC,45177
1200609,Tarauacá - AC,41976
1200708,Xapuri - AC,19048
1200807,Porto Acre - AC,18180
1300029,Alvarães - AM,15860
1300060,Amaturá - AM,11332
1300086,Anamã - AM,13269
1300102,Anori - AM,20538
1300144,Apuí - AM,21583
1300201,Atalaia do Norte - AM,19438
1300300,Autazes - AM,38830
1300409,Barcelos - AM,27364
1300508,Barreirinha - AM,31593
1300607,Benjamin Constant - AM,42020
1300631,Beruri - AM,19258
1300680,Boa Vista do Ramos - AM,18781
1300706,Boca do Acre - AM,33976
1300805,Borba - AM,40565
1300839,Caapiranga - AM,12877
1300904,Canutama - AM,15450
1301001,Carauari - AM,28076
1301100,Careiro - AM,37384
1301159,Careiro da Várzea - AM,29595
1301209,Coari - AM,84272
1301308,Codajás - AM,28100
1301407,Eirunepé - AM,34840
1301506,Envira - AM,19668
1301605,Fonte Boa - AM,18221
1301654,Guajará - AM,16416
1301704,Humaitá - AM,54001
1301803,Ipixuna - AM,28933
1301852,Iranduba - AM,47571
1301902,Itacoatiara - AM,99955
1301951,Itamarati - AM,7888
1302009,Itapiranga - AM,9064
1302108,Japurá - AM,3265
1302207,Juruá - AM,14312
1302306,Jutaí - AM,14753
1302405,Lábrea - AM,45245
1302504,Manacapuru - AM,96236
1302553,Manaquiri - AM,31147
1302603,Manaus - AM,2145444
1302702,Manicoré - AM,54907
1302801,Maraã - AM,18186
1302900,Maués - AM,62755
1303007,Nhamundá - AM,20899
1303106,Nova Olinda do Norte - AM,36721
1303205,Novo Airão - AM,18974
1303304,Novo Aripuanã - AM,25237
1303403,Parintins - AM,113168
1303502,Pauini - AM,19329
1303536,Presidente Figueiredo - AM,35352
1303569,Rio Preto da Eva - AM,32577
1303601,Santa Isabel do Rio Negro - AM,24436
1303700,Santo Antônio do Içá - AM,21966
1303809,São Gabriel da Cachoeira - AM,44816
1303908,São Paulo de Olivença - AM,38515
1303957,São Sebastião do Uatumã - AM,13685
1304005,Silves - AM,9110
1304062,Tabatinga - AM,64488
1304104,Tapauá - AM,17299
1304203,Tefé - AM,60154
1304237,Tonantins - AM,18610
1304260,Uarini - AM,13387
1304302,Urucará - AM,16383
1304401,Urucurituba - AM,22537
1400027,Amajari - RR,12394
1400050,Alto Alegre - RR,15638
1400100,Boa Vista - RR,375374
1400159,Bonfim - RR,12257
1400175,Cantá - RR,17868
1400209,Caracaraí - RR,21564
1400233,Caroebe - RR,9950
1400282,Iracema - RR,11600
1400308,Mucajaí - RR,17528
1400407,Normandia - RR,11045
1400456,Pacaraima - RR,15580
1400472,Rorainópolis - RR,29533
1400506,São João da Baliza - RR,8052
1400605,São Luiz - RR,7860
1400704,Uiramutã - RR,10325
1500107,Abaetetuba - PA,156292
1500131,Abel Figueiredo - PA,7382
1500206,Acará - PA,55513
