 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação
Período:2021
"Unidade da Federação";"Óbitos_p/Residênc"
"11 Rondônia";9529
"12 Acre";3494
"13 Amazonas";19249
"14 Roraima";3016
"15 Pará";32790
"16 Amapá";3239
"17 Tocantins";7061
"21 Maranhão";26853
"22 Piauí";14521
"23 Ceará";41749
"24 Rio Grande do Norte";15256
"25 Paraíba";19260
"26 Pernambuco";47757
"27 Alagoas";15698
"28 Sergipe";10194
"29 Bahia";67751
"31 Minas Gerais";109910
"32 Espírito Santo";19519
"33 Rio de Janeiro";112041
"35 São Paulo";258618
"41 Paraná";69520
"42 Santa Catarina";36257
"43 Rio Grande do Sul";66670
"50 Mato Grosso do Sul";16049
"51 Mato Grosso";19442
"52 Goiás";39341
"53 Distrito Federal";11989
"Total";1096773
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
