Beneficiários por Município
Assistência Médica por Município
Período:Dez/2022
"Município";"Assistência_Médica"
"110001 Alta Floresta D'Oeste";1123
"110037 Alto Alegre dos Parecis";105
"110040 Alto Paraíso";212
"110034 Alvorada D'Oeste";625
"110002 Ariquemes";6721
"110045 Buritis";638
"110003 Cabixi";159
"110060 Cacaulândia";66
"110004 Cacoal";8607
"110070 Campo Novo de Rondônia";65
"110080 Candeias do Jamari";556
"110090 Castanheiras";50
"110005 Cerejeiras";672
"110092 Chupinguaia";218
"110006 Colorado do Oeste";1012
"110007 Corumbiara";80
"110008 Costa Marques";207
"110094 Cujubim";192
"110009 Espigão D'Oeste";1233
"110100 Governador Jorge Teixeira";72
"110010 Guajará-Mirim";1715
"110110 Itapuã do Oeste";719
"110011 Jaru";2636
"110012 Ji-Paraná";14015
"110013 Machadinho D'Oeste";585
"110120 Ministro Andreazza";183
"110130 Mirante da Serra";204
"110140 Monte Negro";155
"110014 Nova Brasilândia D'Oeste";672
"110033 Nova Mamoré";342
"110143 Nova União";60
"110050 Novo Horizonte do Oeste";139
"110015 Ouro Preto do Oeste";2489
"110145 Parecis";69
"110018 Pimenta Bueno";3514
"110146 Pimenteiras do Oeste";62
"110020 Porto Velho";87935
"110025 Presidente Médici";1084
"110147 Primavera de Rondônia";108
"110026 Rio Crespo";53
"110028 Rolim de Moura";3289
"110029 Santa Luzia D'Oeste";192
"110148 São Felipe D'Oeste";146
"110149 São Francisco do Guaporé";280
"110032 São Miguel do Guaporé";591
"110150 Seringueiras";156
"110155 Teixeirópolis";82
"110160 Theobroma";70
"110170 Urupá";303
"110175 Vale do Anari";81
"110180 Vale do Paraíso";78
"110030 Vilhena";12365
"110000 Município ignorado - RO";1
"120001 Acrelândia";547
"120005 Assis Brasil";78
"120010 Brasiléia";301
"120013 Bujari";138
"120017 Capixaba";63
"120020 Cruzeiro do Sul";1428
"120025 Epitaciolândia";217
"120030 Feijó";289
"120032 Jordão";33
"120033 Mâncio Lima";29
"120034 Manoel Urbano";58
"120035 Marechal Thaumaturgo";25
"120038 Plácido de Castro";284
"120080 Porto Acre";95
"120039 Porto Walter";22
"120040 Rio Branco";38105
"120042 Rodrigues Alves";25
"120043 Santa Rosa do Purus";40
"120050 Sena Madureira";317
"120045 Senador Guiomard";413
"120060 Tarauacá";275
"120070 Xapuri";151
"120000 Município ignorado - AC";2
"130002 Alvarães";10
"130006 Amaturá";21
"130008 Anamã";22
"130010 Anori";55
"130014 Apuí";56
"130020 Atalaia do Norte";33
"130030 Autazes";81
"130040 Barcelos";51
"130050 Barreirinha";51
"130060 Benjamin Constant";97
"130063 Beruri";18
"130068 Boa Vista do Ramos";19
"130070 Boca do Acre";100
"130080 Borba";82
"130083 Caapiranga";33
"130090 Canutama";13
"130100 Carauari";192
"130110 Careiro";52
"130115 Careiro da Várzea";32
"130120 Coari";442
"130130 Codajás";84
"130140 Eirunepé";88
"130150 Envira";33
"130160 Fonte Boa";56
"130165 Guajará";13
"130170 Humaitá";527
"130180 Ipixuna";24
"130185 Iranduba";754
"130190 Itacoatiara";2628
"130195 Itamarati";26
"130200 Itapiranga";138
"130210 Japurá";44
"130220 Juruá";34
"130230 Jutaí";40
"130240 Lábrea";133
"130250 Manacapuru";625
"130255 Manaquiri";25
"130260 Manaus";569030
"130270 Manicoré";73
"130280 Maraã";22
"130290 Maués";217
"130300 Nhamundá";15
"130310 Nova Olinda do Norte";54
"130320 Novo Airão";41
"130330 Novo Aripuanã";36
"130340 Parintins";656
"130350 Pauini";25
"130353 Presidente Figueiredo";393
"130356 Rio Preto da Eva";133
"130360 Santa Isabel do Rio Negro";11
"130370 Santo Antônio do Içá";58
"130380 São Gabriel da Cachoeira";127
"130390 São Paulo de Olivença";104
"130395 São Sebastião do Uatumã";11
"130400 Silves";23
"130406 Tabatinga";331
"130410 Tapauá";19
"130420 Tefé";495
"130423 Tonantins";25
"130426 Uarini";27
