"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2022"
"1100015";"Alta Floresta D'Oeste (RO)";"919520,3"
"1100023";"Ariquemes (RO)";"3809355,1"
"1100031";"Cabixi (RO)";"289782,7"
"1100049";"Cacoal (RO)";"3195489,5"
"1100056";"Cerejeiras (RO)";"903098,5"
"1100064";"Colorado do Oeste (RO)";"514218,5"
"1100072";"Corumbiara (RO)";"473844,8"
"1100080";"Costa Marques (RO)";"349795,6"
"1100098";"Espigão D'Oeste (RO)";"921381,7"
"1100106";"Guajará-Mirim (RO)";"1057883,5"
"1100114";"Jaru (RO)";"2113514,9"
"1100122";"Ji-Paraná (RO)";"4934531,7"
"1100130";"Machadinho D'Oeste (RO)";"909026,7"
"1100148";"Nova Brasilândia D'Oeste (RO)";"641839,0"
"1100155";"Ouro Preto do Oeste (RO)";"1089382,2"
"1100189";"Pimenta Bueno (RO)";"1714399,7"
"1100205";"Porto Velho (RO)";"22537532,7"
"1100254";"Presidente Médici (RO)";"653357,0"
"1100262";"Rio Crespo (RO)";"265661,2"
"1100288";"Rolim de Moura (RO)";"1906485,4"
"1100296";"Santa Luzia D'Oeste (RO)";"262242,6"
"1100304";"Vilhena (RO)";"4515119,5"
"1100320";"São Miguel do Guaporé (RO)";"1383948,4"
"1100338";"Nova Mamoré (RO)";"928841,8"
"1100346";"Alvorada D'Oeste (RO)";"435099,5"
"1100379";"Alto Alegre dos Parecis (RO)";"570359,8"
"1100403";"Alto Paraíso (RO)";"605617,1"
"1100452";"Buritis (RO)";"1104420,3"
"1100502";"Novo Horizonte do Oeste (RO)";"268863,5"
"1100601";"Cacaulândia (RO)";"219344,7"
"1100700";"Campo Novo de Rondônia (RO)";"398840,8"
"1100809";"Candeias do Jamari (RO)";"791507,0"
"1100908";"Castanheiras (RO)";"121873,1"
"1100924";"Chupinguaia (RO)";"638874,9"
"1100940";"Cujubim (RO)";"519136,5"
"1101005";"Governador Jorge Teixeira (RO)";"283464,5"
"1101104";"Itapuã do Oeste (RO)";"289966,7"
"1101203";"Ministro Andreazza (RO)";"414490,0"
"1101302";"Mirante da Serra (RO)";"310402,1"
"1101401";"Monte Negro (RO)";"452939,4"
"1101435";"Nova União (RO)";"168139,4"
"1101450";"Parecis (RO)";"164072,9"
"1101468";"Pimenteiras do Oeste (RO)";"327048,0"
"1101476";"Primavera de Rondônia (RO)";"130972,8"
"1101484";"São Felipe D'Oeste (RO)";"157329,7"
"1101492";"São Francisco do Guaporé (RO)";"573985,3"
"1101500";"Seringueiras (RO)";"381162,7"
"1101559";"Teixeirópolis (RO)";"141105,3"
"1101609";"Theobroma (RO)";"284565,2"
"1101708";"Urupá (RO)";"317567,8"
"1101757";"Vale do Anari (RO)";"234964,7"
"1101807";"Vale do Paraíso (RO)";"199086,5"
"1200013";"Acrelândia (AC)";"445829,3"
"1200054";"Assis Brasil (AC)";"164920,8"
"1200104";"Brasiléia (AC)";"820792,8"
"1200138";"Bujari (AC)";"344752,5"
"1200179";"Capixaba (AC)";"717612,0"
"1200203";"Cruzeiro do Sul (AC)";"2313075,2"
"1200252";"Epitaciolândia (AC)";"776867,6"
"1200302";"Feijó (AC)";"639843,6"
"1200328";"Jordão (AC)";"136531,1"
"1200336";"Mâncio Lima (AC)";"289345,1"
"1200344";"Manoel Urbano (AC)";"231082,0"
"1200351";"Marechal Thaumaturgo (AC)";"256481,0"
"1200385";"Plácido de Castro (AC)";"829047,0"
"1200393";"Porto Walter (AC)";"177517,4"
"1200401";"Rio Branco (AC)";"11266899,1"
"1200427";"Rodrigues Alves (AC)";"253224,6"
"1200435";"Santa Rosa do Purus (AC)";"114984,1"
"1200450";"Senador Guiomard (AC)";"1037716,2"
"1200500";"Sena Madureira (AC)";"841620,6"
"1200609";"Tarauacá (AC)";"800495,6"
"1200708";"Xapuri (AC)";"632359,6"
"1200807";"Porto Acre (AC)";"585138,6"
"1300029";"Alvarães (AM)";"222261,7"
"1300060";"Amaturá (AM)";"124174,9"
"1300086";"Anamã (AM)";"135488,4"
"1300102";"Anori (AM)";"252603,1"
"1300144";"Apuí (AM)";"321020,4"
"1300201";"Atalaia do Norte (AM)";"177564,8"
"1300300";"Autazes (AM)";"567927,8"
"1300409";"Barcelos (AM)";"207958,6"
"1300508";"Barreirinha (AM)";"377493,4"
"1300607";"Benjamin Constant (AM)";"390615,6"
"1300631";"Beruri (AM)";"239687,4"
"1300680";"Boa Vista do Ramos (AM)";"216113,4"
"1300706";"Boca do Acre (AM)";"576050,8"
"1300805";"Borba (AM)";"415320,9"
"1300839";"Caapiranga (AM)";"195341,5"
"1300904";"Canutama (AM)";"177302,9"
"1301001";"Carauari (AM)";"406023,4"
"1301100";"Careiro (AM)";"398453,0"
"1301159";"Careiro da Várzea (AM)";"355856,7"
"1301209";"Coari (AM)";"4861890,6"
"1301308";"Codajás (AM)";"522890,7"
"1301407";"Eirunepé (AM)";"578742,5"
"1301506";"Envira (AM)";"209889,2"
"1301605";"Fonte Boa (AM)";"297891,5"
"1301654";"Guajará (AM)";"166381,4"
"1301704";"Humaitá (AM)";"960741,5"
"1301803";"Ipixuna (AM)";"214596,6"
"1301852";"Iranduba (AM)";"1044311,8"
"1301902";"Itacoatiara (AM)";"2775137,7"
"1301951";"Itamarati (AM)";"161303,7"
"1302009";"Itapiranga (AM)";"173994,0"
"1302108";"Japurá (AM)";"127519,9"
"1302207";"Juruá (AM)";"130664,0"
"1302306";"Jutaí (AM)";"351354,6"
"1302405";"Lábrea (AM)";"665442,4"
"1302504";"Manacapuru (AM)";"1776202,5"
"1302553";"Manaquiri (AM)";"264184,6"
"1302603";"Manaus (AM)";"113465434,9"
"1302702";"Manicoré (AM)";"781078,1"
"1302801";"Maraã (AM)";"181102,3"
"1302900";"Maués (AM)";"649736,2"
"1303007";"Nhamundá (AM)";"220804,3"
"1303106";"Nova Olinda do Norte (AM)";"325557,8"
"1303205";"Novo Airão (AM)";"201709,7"
"1303304";"Novo Aripuanã (AM)";"264809,6"
"1303403";"Parintins (AM)";"1511650,2"
"1303502";"Pauini (AM)";"221857,5"
"1303536";"Presidente Figueiredo (AM)";"592973,4"
"1303569";"Rio Preto da Eva (AM)";"406486,8"
"1303601";"Santa Isabel do Rio Negro (AM)";"197124,0"
"1303700";"Santo Antônio do Içá (AM)";"305336,4"
"1303809";"São Gabriel da Cachoeira (AM)";"511306,6"
"1303908";"São Paulo de Olivença (AM)";"328403,7"
"1303957";"São Sebastião do Uatumã (AM)";"129935,1"
"1304005";"Silves (AM)";"378318,4"
"1304062";"Tabatinga (AM)";"824248,5"
"1304104";"Tapauá (AM)";"279445,3"
"1304203";"Tefé (AM)";"1386544,5"
"1304237";"Tonantins (AM)";"202743,1"
"1304260";"Uarini (AM)";"250157,4"
"1304302";"Urucará (AM)";"220397,6"
"1304401";"Urucurituba (AM)";"262905,6"
"1400027";"Amajari (RR)";"300390,2"
"1400050";"Alto Alegre (RR)";"700057,8"
"1400100";"Boa Vista (RR)";"15213965,7"
"1400159";"Bonfim (RR)";"705964,5"
"1400175";"Cantá (RR)";"405868,0"
"1400209";"Caracaraí (RR)";"530515,0"
"1400233";"Caroebe (RR)";"276635,1"
"1400282";"Iracema (RR)";"235247,0"
"1400308";"Mucajaí (RR)";"481025,4"
"1400407";"Normandia (RR)";"270719,8"
"1400456";"Pacaraima (RR)";"393277,7"
"1400472";"Rorainópolis (RR)";"828529,3"
"1400506";"São João da Baliza (RR)";"343559,2"
"1400605";"São Luiz (RR)";"192540,5"
"1400704";"Uiramutã (RR)";"217046,6"
"1500107";"Abaetetuba (PA)";"2193300,0"
"1500131";"Abel Figueiredo (PA)";"126585,0"
"1500206";"Acará (PA)";"1242612,0"
"1500305";"Afuá (PA)";"539302,8"
"1500347";"Água Azul do Norte (PA)";"848598,2"
"1500404";"Alenquer (PA)";"919275,5"
"1500503";"Almeirim (PA)";"687485,2"
"1500602";"Altamira (PA)";"3457957,0"
"1500701";"Anajás (PA)";"304791,3"
"1500800";"Ananindeua (PA)";"9983645,0"
"1500859";"Anapu (PA)";"687043,0"
"1500909";"Augusto Corrêa (PA)";"405344,8"
"1500958";"Aurora do Pará (PA)";"340026,9"
"1501006";"Aveiro (PA)";"186421,6"
"1501105";"Bagre (PA)";"277457,6"
"1501204";"Baião (PA)";"694648,0"
"1501253";"Bannach (PA)";"138929,4"
"1501303";"Barcarena (PA)";"8408789,1"
"1501402";"Belém (PA)";"37604333,5"
"1501451";"Belterra (PA)";"340703,5"
"1501501";"Benevides (PA)";"2700819,2"
"1501576";"Bom Jesus do Tocantins (PA)";"292675,0"
"1501600";"Bonito (PA)";"232988,6"
"1501709";"Bragança (PA)";"1737012,2"
"1501725";"Brasil Novo (PA)";"440739,5"
"1501758";"Brejo Grande do Araguaia (PA)";"129481,3"
"1501782";"Breu Branco (PA)";"767219,2"
"1501808";"Breves (PA)";"1227011,4"
"1501907";"Bujaru (PA)";"544690,3"
"1501956";"Cachoeira do Piriá (PA)";"214722,0"
"1502004";"Cachoeira do Arari (PA)";"293835,1"
"1502103";"Cametá (PA)";"1640809,3"
"1502152";"Canaã dos Carajás (PA)";"16061772,9"
"1502202";"Capanema (PA)";"1598656,1"
"1502301";"Capitão Poço (PA)";"691741,2"
"1502400";"Castanhal (PA)";"5688912,4"
"1502509";"Chaves (PA)";"293848,4"
"1502608";"Colares (PA)";"120635,0"
"1502707";"Conceição do Araguaia (PA)";"765891,6"
"1502756";"Concórdia do Pará (PA)";"452741,2"
"1502764";"Cumaru do Norte (PA)";"431267,7"
"1502772";"Curionópolis (PA)";"1503196,6"
"1502806";"Curralinho (PA)";"328648,5"
"1502855";"Curuá (PA)";"171988,9"
"1502905";"Curuçá (PA)";"443371,0"
"1502939";"Dom Eliseu (PA)";"1261537,9"
"1502954";"Eldorado do Carajás (PA)";"605964,4"
"1503002";"Faro (PA)";"89800,5"
"1503044";"Floresta do Araguaia (PA)";"566641,3"
"1503077";"Garrafão do Norte (PA)";"314532,5"
"1503093";"Goianésia do Pará (PA)";"522757,1"
"1503101";"Gurupá (PA)";"398198,9"
"1503200";"Igarapé-Açu (PA)";"499454,6"
"1503309";"Igarapé-Miri (PA)";"818860,3"
"1503408";"Inhangapi (PA)";"201526,4"
"1503457";"Ipixuna do Pará (PA)";"607746,9"
"1503507";"Irituia (PA)";"317600,2"
"1503606";"Itaituba (PA)";"3757069,6"
"1503705";"Itupiranga (PA)";"889870,3"
"1503754";"Jacareacanga (PA)";"657774,7"
"1503804";"Jacundá (PA)";"658641,9"
"1503903";"Juruti (PA)";"1294172,5"
"1504000";"Limoeiro do Ajuru (PA)";"525619,4"
"1504059";"Mãe do Rio (PA)";"422738,5"
"1504109";"Magalhães Barata (PA)";"110100,9"
"1504208";"Marabá (PA)";"12233453,0"
"1504307";"Maracanã (PA)";"310995,1"
"1504406";"Marapanim (PA)";"297449,5"
"1504422";"Marituba (PA)";"2475912,6"
"1504455";"Medicilândia (PA)";"979332,8"
"1504505";"Melgaço (PA)";"270905,3"
"1504604";"Mocajuba (PA)";"381653,0"
"1504703";"Moju (PA)";"1537609,0"
"1504752";"Mojuí dos Campos (PA)";"464580,1"
"1504802";"Monte Alegre (PA)";"1063686,2"
"1504901";"Muaná (PA)";"395395,8"
"1504950";"Nova Esperança do Piriá (PA)";"274260,5"
"1504976";"Nova Ipixuna (PA)";"202161,3"
"1505007";"Nova Timboteua (PA)";"167479,4"
"1505031";"Novo Progresso (PA)";"1280246,9"
"1505064";"Novo Repartimento (PA)";"1233474,1"
"1505106";"Óbidos (PA)";"982930,2"
"1505205";"Oeiras do Pará (PA)";"454247,0"
"1505304";"Oriximiná (PA)";"1802512,1"
"1505403";"Ourém (PA)";"231548,9"
"1505437";"Ourilândia do Norte (PA)";"1778205,4"
"1505486";"Pacajá (PA)";"1071885,4"
"1505494";"Palestina do Pará (PA)";"117612,9"
"1505502";"Paragominas (PA)";"5020674,3"
"1505536";"Parauapebas (PA)";"25317042,0"
"1505551";"Pau D'Arco (PA)";"120432,3"
"1505601";"Peixe-Boi (PA)";"81669,4"
"1505635";"Piçarra (PA)";"324867,5"
"1505650";"Placas (PA)";"379126,3"
"1505700";"Ponta de Pedras (PA)";"277170,9"
"1505809";"Portel (PA)";"870234,5"
"1505908";"Porto de Moz (PA)";"452978,3"
"1506005";"Prainha (PA)";"494695,7"
"1506104";"Primavera (PA)";"486676,9"
"1506112";"Quatipuru (PA)";"123175,9"
"1506138";"Redenção (PA)";"3292754,1"
"1506161";"Rio Maria (PA)";"872543,1"
"1506187";"Rondon do Pará (PA)";"938381,5"
