id_uf,nome_uf,populacao
11,Rondônia,1581196
12,Acre,830018
13,Amazonas,3941613
14,Roraima,636707
15,Pará,8120131
16,Amapá,733759
17,Tocantins,1511460
21,Maranhão,6776699
22,Piauí,3271199
23,Ceará,8794957
24,Rio Grande do Norte,3302729
25,Paraíba,3974687
26,Pernambuco,9058931
27,Alagoas,3127683
28,Sergipe,2210004
29,Bahia,14141626
31,Minas Gerais,20539989
32,Espírito Santo,3833712
33,Rio de Janeiro,16055174
35,São Paulo,44411238
41,Paraná,11444380
42,Santa Catarina,7610361
43,Rio Grande do Sul,10882965
50,Mato Grosso do Sul,2757013
51,Mato Grosso,3658649
52,Goiás,7056495
53,Distrito Federal,2817381
