 Procedimentos hospitalares do SUS - por local de residência - Brasil
Dias permanência por Unidade da Federação e Ano processamento
Período:2018, 2021-2023
"Unidade da Federação";"2018";"2021";"2022";"2023";"Total"
"11 Rondônia";553964;538452;572852;622001;2287269
"12 Acre";214286;231771;226066;265226;937349
"13 Amazonas";986672;1127853;1065384;1076510;4256419
"14 Roraima";239295;286402;306885;311948;1144530
"15 Pará";2054975;2063530;2217539;2268280;8604324
"16 Amapá";193715;200635;207153;244271;845774
"17 Tocantins";373323;452790;458656;503480;1788249
"21 Maranhão";2133908;2230556;2349140;2441637;9155241
"22 Piauí";1003763;1001586;1065869;1135182;4206400
"23 Ceará";2793504;3005608;3136878;3245614;12181604
"24 Rio Grande do Norte";1007588;980042;954830;1005064;3947524
"25 Paraíba";1057026;1057748;1123597;1259810;4498181
"26 Pernambuco";3055919;3081044;3213874;3247376;12598213
"27 Alagoas";878374;892680;872381;954336;3597771
"28 Sergipe";529104;545528;583716;615514;2273862
"29 Bahia";3920131;3810387;4006871;4242722;15980111
"31 Minas Gerais";6412883;6454657;6697696;7066187;26631423
"32 Espírito Santo";1191709;1349747;1311030;1445989;5298475
"33 Rio de Janeiro";5281505;5040434;5333200;5513716;21168855
"35 São Paulo";13754052;13970953;13667567;14009702;55402274
"41 Paraná";3842872;3859886;3891614;4027425;15621797
"42 Santa Catarina";2307348;2420771;2434287;2548051;9710457
"43 Rio Grande do Sul";4550821;4485420;4629946;4786534;18452721
"50 Mato Grosso do Sul";807889;856241;890555;958377;3513062
"51 Mato Grosso";889440;894268;927051;984688;3695447
"52 Goiás";1816532;1997839;2056907;2199292;8070570
"53 Distrito Federal";1009076;1030954;1037368;1080221;4157619
"Total";62859674;63867782;65238912;68059153;260025521
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
