 Procedimentos hospitalares do SUS - por local de residência - Brasil
Internações por Unidade da Federação e Ano processamento
Período:2018, 2021-2023
"Unidade da Federação";"2018";"2021";"2022";"2023";"Total"
"11 Rondônia";119605;115024;120337;129041;484007
"12 Acre";43966;46970;48451;58174;197561
"13 Amazonas";187678;214810;211969;218374;832831
"14 Roraima";44676;43236;47681;46471;182064
"15 Pará";499891;477873;505856;531442;2015062
"16 Amapá";36618;38277;39793;55035;169723
"17 Tocantins";70646;84176;88334;98924;342080
"21 Maranhão";469494;450572;483676;486592;1890334
"22 Piauí";208359;202271;207642;218644;836916
"23 Ceará";499594;507154;524522;553392;2084662
"24 Rio Grande do Norte";171634;175359;185273;204318;736584
"25 Paraíba";186567;183891;203612;229978;804048
"26 Pernambuco";549719;543186;585868;606862;2285635
"27 Alagoas";174771;163399;160434;164354;662958
"28 Sergipe";92649;93616;105369;114109;405743
"29 Bahia";825794;761018;836020;900319;3323151
"31 Minas Gerais";1245174;1215684;1346562;1436637;5244057
"32 Espírito Santo";242412;263570;263190;287841;1057013
"33 Rio de Janeiro";699438;735211;789142;877603;3101394
"35 São Paulo";2449878;2306858;2466267;2603938;9826941
"41 Paraná";862910;764476;859541;925199;3412126
"42 Santa Catarina";492773;467115;531731;582578;2074197
"43 Rio Grande do Sul";742698;706815;774320;800343;3024176
"50 Mato Grosso do Sul";171189;167505;195237;212608;746539
"51 Mato Grosso";192576;190731;207495;225051;815853
"52 Goiás";370136;379997;407912;462592;1620637
"53 Distrito Federal";165796;183148;181084;184827;714855
"Total";11816641;11481942;12377318;13215246;48891147
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
