 Morbidade Hospitalar do SUS - por local de residência - Brasil
Dias permanência por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberculose miliar, Outros tétanos, Difteria, Coqueluche, Sífilis congênita, Sífilis precoce, Outras sífilis, Doenças por clamídias transmitidas por via sexual, Poliomielite aguda, Sarampo, Rubéola, Hepatite aguda B, Outras hepatites virais, Doença pelo vírus da imunodeficiência humana [HIV], Seqüelas de tuberculose, Neoplasia maligna do lábio cavidade oral e faringe, Neoplasia maligna do esôfago, Neoplasia maligna do estômago, Neoplasia maligna do cólon, Neoplasia maligna de traquéia brônquios e pulmões, Neoplasia maligna da mama, Neoplasia maligna do colo do útero, Neoplasia maligna da bexiga, Doença de Hodgkin, Leucemia, Tireotoxicose, Diabetes mellitus, Obesidade, Transt mentais e comportamentais dev uso de álcool, Epilepsia, Doença reumática crônica do coração, Hipertensão essencial (primária), Outras doenças isquêmicas do coração, Outras doenças cerebrovasculares, Arteroesclerose, Influenza [gripe], Pneumonia, Hérnia inguinal, Outras hérnias, Outras doenças inflamat órgãos pélvicos femininos, Aborto espontâneo, Aborto por razões médicas, Outras gravidezes que terminam em aborto, Acidentes de transporte, Quedas, Afogamento e submersão acidentamente, Exposição ao fumo ao fogo e às chamas, Envenenamento intox exposição substâncias nocivas, Lesões autoprovocadas voluntariamente, Agressões
Faixa Etária 2: 5 a 9 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos, 70 a 74 anos
Período:Jan/2008-Mar/2026
"Unidade da Federação";"1998";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;1834;39967;48583;50001;55816;55965;62083;60727;62732;64699;65059;64395;65420;49753;53054;61678;74821;76097;78792;9598;1101074
"12 Acre";-;-;-;-;-;-;-;-;2130;25777;22968;23701;26896;27651;26397;27052;24286;24780;24169;24772;24504;19830;24157;27079;31403;34000;33727;3284;478563
"13 Amazonas";-;-;-;-;-;-;-;-;8552;104264;100674;104966;104250;112068;112779;112644;121757;119880;125480;135309;136127;112373;131696;156589;158135;163288;161840;26170;2308841
"14 Roraima";-;-;-;-;-;-;-;-;1198;17715;21608;23487;19597;17181;19772;20527;22661;24027;24488;26915;28838;25759;32466;38330;39286;33871;25355;707;463788
"15 Pará";-;-;-;-;-;-;-;-;19371;214054;237877;230567;230287;224916;229159;233431;208531;207946;219230;220958;222970;189396;203544;243559;257669;268070;285033;37329;4183897
"16 Amapá";-;-;-;-;-;-;-;-;4034;23361;23618;22462;22262;22274;23846;21680;21415;20707;20839;22949;23734;16532;18093;26261;35059;33007;35335;5093;442561
"17 Tocantins";-;-;-;-;-;-;-;-;3668;47268;50173;50467;53261;48014;44817;46440;40247;40891;41085;40716;45764;37135;38952;48439;54029;57994;61303;6723;857386
"21 Maranhão";-;-;-;-;-;-;-;-;20756;237058;231558;224496;242248;229551;237400;245192;241771;231252;252167;253277;266956;226423;246749;297192;303433;306838;283943;42712;4620972
"22 Piauí";-;-;-;-;-;-;-;-;9092;115732;122882;115887;110700;105885;108017;108519;106551;112901;114873;118304;117438;86889;89564;111474;119212;115524;111285;19513;2020242
"23 Ceará";-;-;-;-;-;-;31;-;14584;296627;297862;274682;272707;260400;273724;294688;287242;276045;281595;305546;330833;237332;258093;325963;351949;362589;358741;55662;5416895
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;11452;123378;136660;135215;135884;125246;123210;121421;117170;111190;116363;129369;132290;108766;109621;126134;128737;134961;127828;10595;2265490
"25 Paraíba";-;-;-;39;-;-;-;30;7374;166031;175194;173735;160638;158031;156322;145146;139716;129815;137931;143322;140166;101720;118541;152899;164676;177805;179437;24346;2752914
"26 Pernambuco";-;-;-;-;-;-;-;-;35292;349796;329959;340606;351981;349355;377097;370413;362486;356207;378397;381740;388367;272604;287981;368557;387032;397132;387523;66602;6539127
"27 Alagoas";-;-;-;-;-;-;-;-;3439;108565;107035;105313;114221;110416;112972;119080;108050;103093;111529;110553;113263;94209;90108;101526;107024;115662;117103;16308;1969469
"28 Sergipe";-;-;-;-;-;-;27;-;5085;74386;65929;65354;63177;53902;39799;40573;52355;55989;52109;55484;60651;42914;51201;64156;68278;75060;75090;6569;1068088
"29 Bahia";-;-;-;-;-;-;-;-;18349;464892;481836;490385;482878;492912;488120;497808;478133;447887;458093;458079;463954;353955;364805;435074;473619;505026;508409;73560;8437774
"31 Minas Gerais";-;-;-;-;-;-;31;-;74215;976406;916944;910281;931872;932563;931953;898884;831863;829896;848829;864905;849963;657496;642168;818974;890860;949120;954815;150977;15863015
"32 Espírito Santo";-;-;-;-;-;-;-;-;13119;155731;155090;157434;159589;154541;153473;157821;149793;148049;144717;138391;139071;112816;126513;139874;158293;166673;168339;26644;2725971
"33 Rio de Janeiro";-;-;-;-;-;-;-;30;43547;983791;777467;780918;731881;710656;730367;641155;632496;625122;583866;585142;609453;489014;514929;629319;677310;676630;656242;89895;12169230
"35 São Paulo";608;13;28;30;62;1615;93;186;127186;2438994;2035189;2109529;2040240;2147831;1998442;1896279;1797581;1718579;1671450;1675660;1652946;1392458;1340247;1518180;1601085;1687191;1676120;282271;32810093
"41 Paraná";-;2;-;-;-;-;31;9;39062;715353;758836;732922;732081;686713;658867;627953;625988;625266;619886;618786;593884;439932;420172;501726;528861;585311;587094;88653;11187388
"42 Santa Catarina";-;-;-;-;-;-;-;-;29353;366113;381051;377478;384828;383435;386614;377200;369872;378687;373403;365323;339929;254482;261895;318366;324376;346382;356478;51648;6426913
"43 Rio Grande do Sul";-;-;-;-;-;-;42;-;69708;739598;825207;808148;803235;800826;830182;815515;769389;751278;723237;707070;702565;544685;540024;640633;644167;662608;653619;88428;13120164
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;8371;117976;115894;110618;108221;111179;117074;125003;114681;121092;116941;122118;124883;107088;105626;136212;140356;146954;146615;13806;2210708
"51 Mato Grosso";-;-;-;-;-;-;-;-;6986;102081;106853;106691;103182;105470;103835;109671;112532;112309;106387;104065;106194;78742;76598;100021;112199;121687;131303;17054;1923860
"52 Goiás";-;-;-;-;-;-;-;-;15995;309774;315571;319484;299835;287847;292705;255052;257733;220477;212290;215459;218802;174845;175923;218118;246947;251453;264038;39199;4591547
"53 Distrito Federal";-;-;-;-;-;-;-;-;15966;122753;120254;135480;131648;133299;122007;110012;99019;104324;109272;113715;119504;92195;95837;114740;126870;126276;126304;20265;2139740
"Total";608;15;28;69;62;1615;255;255;609718;9437441;8962772;8980307;8873415;8848127;8761033;8479886;8156050;7962388;7933685;8002322;8018469;6319343;6418557;7721073;8205686;8577209;8551711;1273611;150095710
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
