 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberculose miliar, Outros tétanos, Difteria, Coqueluche, Sífilis congênita, Sífilis precoce, Outras sífilis, Doenças por clamídias transmitidas por via sexual, Poliomielite aguda, Sarampo, Rubéola, Hepatite aguda B, Outras hepatites virais, Doença pelo vírus da imunodeficiência humana [HIV], Seqüelas de tuberculose, Neoplasia maligna do lábio cavidade oral e faringe, Neoplasia maligna do esôfago, Neoplasia maligna do estômago, Neoplasia maligna do cólon, Neoplasia maligna de traquéia brônquios e pulmões, Neoplasia maligna da mama, Neoplasia maligna do colo do útero, Neoplasia maligna da bexiga, Doença de Hodgkin, Leucemia, Tireotoxicose, Diabetes mellitus, Obesidade, Transt mentais e comportamentais dev uso de álcool, Epilepsia, Doença reumática crônica do coração, Hipertensão essencial (primária), Outras doenças isquêmicas do coração, Outras doenças cerebrovasculares, Arteroesclerose, Influenza [gripe], Pneumonia, Hérnia inguinal, Outras hérnias, Outras doenças inflamat órgãos pélvicos femininos, Aborto espontâneo, Aborto por razões médicas, Outras gravidezes que terminam em aborto, Acidentes de transporte, Quedas, Afogamento e submersão acidentamente, Exposição ao fumo ao fogo e às chamas, Envenenamento intox exposição substâncias nocivas, Lesões autoprovocadas voluntariamente, Agressões
Faixa Etária 2: 5 a 9 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos, 70 a 74 anos
Período:Jan/2008-Mar/2026
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"11 Rondônia";262;9273;12581;12190;12533;12096;13326;13478;12320;12369;12439;13368;13156;10769;11386;13772;15925;16182;16647;2272;236344
"12 Acre";223;5009;4946;5033;5621;6002;5490;5714;5195;4818;4775;4864;4906;4304;5043;6243;6952;7272;7275;804;100489
"13 Amazonas";1581;20719;20024;21256;19615;19424;19112;17900;19405;18611;20134;22520;23746;19829;22518;26845;27614;28923;31744;5732;407252
"14 Roraima";217;3114;3654;3971;3674;3450;3651;3477;3873;3978;4293;4425;4413;3572;4007;4957;4673;3401;3295;118;70213
"15 Pará";3646;53030;57578;56677;56542;55690;55950;53658;48112;46176;49547;50862;50381;42716;44211;52241;55653;60432;64221;10396;967719
"16 Amapá";547;4341;4822;4532;4863;4748;4573;4389;4104;3715;3962;4406;4579;3572;3941;5109;5534;5931;6537;1128;85333
"17 Tocantins";623;10834;11387;11630;12190;11953;11341;11099;9311;8223;8609;8071;9264;7478;7894;10052;11446;12000;12536;1845;187786
"21 Maranhão";2906;41534;47911;50371;54194;51220;53428;54394;53702;47627;51942;55613;54154;42936;49919;60618;57186;56707;58047;9838;954247
"22 Piauí";1107;28344;30239;29866;28289;27355;27764;27293;25989;27070;26008;26893;27215;20307;21733;24859;27483;26202;25543;5342;484901
"23 Ceará";1974;57340;57568;54129;53187;50394;51567;52832;50403;48979;49999;55476;59377;44863;45354;57005;62285;65611;65656;12040;996039
"24 Rio Grande do Norte";1192;18025;21193;21151;20244;20519;20881;20620;20343;18453;19848;21753;21782;18129;19637;24287;25580;27517;27022;3268;391444
"25 Paraíba";1075;28655;30625;29340;26989;25813;25853;26137;25000;23057;24436;24831;25921;18977;22005;28369;29901;33419;32024;5743;488170
"26 Pernambuco";4340;63205;63761;65470;66324;67079;66640;65945;63700;61684;65730;67243;69213;51258;54963;69395;72566;80880;73162;14289;1206847
"27 Alagoas";767;22244;22901;23754;23907;21011;20589;19607;19378;19372;20717;20314;20440;16276;16394;18412;18076;19174;19535;3458;366326
"28 Sergipe";629;13067;12474;12381;11824;11245;10412;10799;11523;11248;10357;10584;10622;8399;9855;12209;13635;15455;15229;2182;214129
"29 Bahia";2515;114393;118196;116933;115095;110967;106226;107898;103254;93565;94516;101979;101937;74907;76526;96980;105716;111667;110905;18940;1883115
"31 Minas Gerais";9129;154051;157017;158658;158138;161115;162813;162641;153643;153712;156941;162313;162414;130397;130132;167425;179145;191254;196354;35935;2943227
"32 Espírito Santo";1518;25920;26158;26394;27907;28455;28565;28845;29391;30206;30729;30332;31206;25010;28958;32670;35394;38015;36572;6442;548687
"33 Rio de Janeiro";4212;91644;96642;98806;93127;89458;85256;83236;85102;79715;80145;85378;86224;72799;76956;91947;106891;106803;104800;18079;1637220
"35 São Paulo";13969;294622;311038;311298;305996;303326;304437;300346;288940;293032;294356;297131;302368;251322;234885;282756;302021;326709;333328;69421;5421301
"41 Paraná";6002;106690;119657;118739;116602;117252;116196;111428;111182;117341;122474;128639;129601;92920;85128;107403;116255;131012;134697;23376;2112594
"42 Santa Catarina";3532;53948;59638;57387;58748;61750;62775;62903;64216;69111;69290;70965;70398;52071;51754;67006;72252;79768;83461;14411;1185384
"43 Rio Grande do Sul";7181;108157;118470;114838;111662;112082;113455;111892;107268;106681;104819;102905;104366;81597;79346;96708;99436;104424;104860;17319;1907466
"50 Mato Grosso do Sul";1161;19880;21257;21039;20446;19594;20961;21597;20150;21304;20854;21805;22328;18545;17967;25772;26810;28398;28506;3412;401786
"51 Mato Grosso";1179;22815;23745;23437;22592;23056;23130;23601;22398;22141;21748;21662;21928;16920;17093;22849;25408;27187;28082;4306;415277
"52 Goiás";3073;52994;56674;54564;51530;48626;50198;48628;45561;42420;42876;41975;44006;36034;34589;44742;51995;52368;56127;9485;868465
"53 Distrito Federal";1678;19102;19611;19485;18553;18510;18046;16357;14396;15763;16246;17173;18963;16364;16425;17666;18397;18361;18826;3689;323611
"Total";76238;1442950;1529767;1523329;1500392;1482190;1482635;1466714;1417859;1400371;1427790;1473480;1494908;1182271;1188619;1468297;1574229;1675072;1694991;303270;26805372
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
