 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberculose miliar, Outros tétanos, Difteria, Coqueluche, Sífilis congênita, Sífilis precoce, Outras sífilis, Doenças por clamídias transmitidas por via sexual, Poliomielite aguda, Sarampo, Rubéola, Hepatite aguda B, Outras hepatites virais, Doença pelo vírus da imunodeficiência humana [HIV], Seqüelas de tuberculose, Neoplasia maligna do lábio cavidade oral e faringe, Neoplasia maligna do esôfago, Neoplasia maligna do estômago, Neoplasia maligna do cólon, Neoplasia maligna de traquéia brônquios e pulmões, Neoplasia maligna da mama, Neoplasia maligna do colo do útero, Neoplasia maligna da bexiga, Doença de Hodgkin, Leucemia, Tireotoxicose, Diabetes mellitus, Obesidade, Transt mentais e comportamentais dev uso de álcool, Epilepsia, Doença reumática crônica do coração, Hipertensão essencial (primária), Outras doenças isquêmicas do coração, Outras doenças cerebrovasculares, Arteroesclerose, Influenza [gripe], Pneumonia, Hérnia inguinal, Outras hérnias, Outras doenças inflamat órgãos pélvicos femininos, Aborto espontâneo, Aborto por razões médicas, Outras gravidezes que terminam em aborto, Acidentes de transporte, Quedas, Afogamento e submersão acidentamente, Exposição ao fumo ao fogo e às chamas, Envenenamento intox exposição substâncias nocivas, Lesões autoprovocadas voluntariamente, Agressões
Faixa Etária 2: 5 a 9 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos, 70 a 74 anos
Período:Jan/2008-Mar/2026
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"11 Rondônia";10;190;219;300;351;408;394;455;447;527;550;484;486;480;485;513;573;554;665;102;8193
"12 Acre";17;162;159;154;212;196;168;196;178;221;206;255;242;240;287;220;263;277;255;31;3939
"13 Amazonas";33;455;507;657;643;603;641;645;741;837;879;954;1010;1111;1202;1129;1093;1178;1184;206;15708
"14 Roraima";5;70;104;143;141;114;131;124;159;181;217;281;285;222;243;256;242;171;123;3;3215
"15 Pará";80;936;1237;1306;1235;1258;1352;1563;1495;1609;1616;1650;1664;1768;1757;1918;2093;2186;2423;261;29407
"16 Amapá";21;137;150;153;115;133;194;171;158;154;168;197;206;169;171;221;258;222;224;41;3263
"17 Tocantins";23;278;274;331;306;313;297;400;289;361;337;304;369;326;428;410;408;497;530;79;6560
"21 Maranhão";57;709;854;884;905;878;1085;1232;1311;1347;1393;1530;1544;1404;1498;1889;1819;1954;1860;358;24511
"22 Piauí";34;475;531;518;625;633;655;682;781;754;661;639;798;583;684;866;878;882;832;159;12670
"23 Ceará";69;1412;1565;1633;1550;1657;1757;1897;2069;2097;2204;2288;2485;2140;2141;2498;2549;2763;2650;459;37883
"24 Rio Grande do Norte";53;553;713;683;689;721;725;685;741;767;844;929;908;794;879;880;980;996;1039;113;14692
"25 Paraíba";37;666;781;821;884;881;1004;967;972;1060;1097;1205;1259;1088;1142;1347;1277;1558;1511;250;19807
"26 Pernambuco";186;2831;2761;2270;2341;2495;2967;2805;2897;2920;2790;2743;2898;2299;2142;2948;2972;3088;2811;495;49659
"27 Alagoas";19;456;640;764;835;816;926;903;1043;1066;1055;1029;1000;895;1004;999;1131;1114;1087;208;16990
"28 Sergipe";16;300;351;309;373;355;416;363;547;661;568;564;657;516;619;667;641;796;697;46;9462
"29 Bahia";102;2420;2772;2706;2991;3136;3296;3409;3379;3359;3443;3338;3568;3472;3452;3538;3524;3819;3979;586;60289
