 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2000-2070 (edição 2024)
População residente por Unidade da Federação e Ano
Período:2018-2025
"Unidade da Federação";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"11 Rondônia";1701892;1712560;1722753;1729622;1734648;1740255;1746227;1751950
"12 Acre";851504;857919;863657;868346;872566;876582;880631;884372
"13 Amazonas";4018483;4073280;4121226;4160013;4199791;4240571;4281209;4321616
"14 Roraima";587497;618125;640975;654972;673404;695270;716793;738772
"15 Pará";8339467;8404430;8465192;8520153;8570045;8616120;8664306;8711196
"16 Amapá";772784;779468;785533;790871;795457;799124;802837;806517
"17 Tocantins";1511702;1525148;1537886;1548514;1557580;1567191;1577342;1586859
"21 Maranhão";6917016;6946725;6970988;6988154;6998087;7003234;7010960;7018211
"22 Piauí";3302227;3320228;3335863;3347856;3357043;3365881;3375646;3384547
"23 Ceará";8976628;9035631;9088929;9129520;9162955;9196672;9233656;9268836
"24 Rio Grande do Norte";3375511;3392434;3407618;3419382;3427955;3436278;3446071;3455236
"25 Paraíba";4008413;4037810;4064935;4087783;4106026;4124468;4145040;4164468
"26 Pernambuco";9348293;9396505;9438962;9470176;9493026;9514483;9539029;9562007
"27 Alagoas";3200128;3208704;3214823;3217819;3218381;3218607;3220104;3220848
"28 Sergipe";2227068;2241300;2254218;2264937;2273589;2281994;2291077;2299425
"29 Bahia";14632652;14693250;14748551;14788270;14811339;14828806;14850513;14870907
"31 Minas Gerais";20801238;20916751;21032009;21117017;21178401;21247401;21322691;21393441
"32 Espírito Santo";3937119;3970009;4001467;4027541;4050913;4076068;4102129;4126854
"33 Rio de Janeiro";17148943;17193919;17222305;17220455;17211760;17213813;17219679;17223547
"35 São Paulo";45062167;45306139;45523191;45651915;45736978;45850570;45973194;46081801
"41 Paraná";11373980;11468227;11560987;11630298;11686692;11753862;11824665;11890584
"42 Santa Catarina";7266127;7403723;7541975;7671648;7796817;7927212;8058441;8186962
"43 Rio Grande do Sul";11167531;11194346;11220286;11227789;11220506;11222292;11229915;11233263
"50 Mato Grosso do Sul";2746161;2777028;2806866;2831943;2854377;2878009;2901895;2924631
"51 Mato Grosso";3490648;3551996;3611987;3666669;3720967;3778389;3836399;3893659
"52 Goiás";6888446;6974736;7060290;7133954;7201254;7274463;7350483;7423629
"53 Distrito Federal";2875413;2899708;2921417;2938025;2952426;2967543;2982818;2996899
"Total";206529038;207900099;209164889;210103642;210862983;211695158;212583750;213421037
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2070 (edição 2024)
 
