Número de leitos para internação
Sigla,Código,Estado,2018,2019,2020,2021,2022,
AC,12,Acre,1456.91666666667,1468.83333333333,1575.5,1625.66666666667,1616.16666666667,
AL,27,Alagoas,6089.66666666667,5730,6400.08333333333,6458.83333333333,6484.91666666667,
AM,13,Amazonas,5771,5701,5868.41666666667,6024.91666666667,6124.33333333333,
AP,16,Amapá,1156.33333333333,1104.5,1215.66666666667,1313.75,1335.16666666667,
BA,29,Bahia,29291.1666666667,28973.3333333333,29661.5,30009.25,29934.3333333333,
CE,23,Ceará,18144.6666666667,18303.25,19254.0833333333,19627.6666666667,19731.8333333333,
DF,53,Distrito Federal,6694.16666666667,7129.25,7206.16666666667,7679.08333333333,7805.25,
ES,32,Espírito Santo,7625.66666666667,8001.08333333333,8053.83333333333,8160.66666666667,8285.91666666667,
GO,52,Goiás,17722.0833333333,17295.4166666667,17900.75,18576.1666666667,18820.3333333333,
MA,21,Maranhão,14004.5,13687.75,14493.1666666667,15061.25,15160.75,
MG,31,Minas Gerais,41152.9166666667,40914.5,42384.9166666667,42770.75,42837.9166666667,
MS,50,Mato Grosso do Sul,5547.33333333333,5610.25,5735.16666666667,5745.41666666667,5950.91666666667,
MT,51,Mato Grosso,7252.41666666667,7236.16666666667,7219.83333333333,7383.91666666667,7509.08333333333,
PA,15,Pará,15129.9166666667,14412.0833333333,14741.3333333333,15205.75,14886.5833333333,
PB,25,Paraíba,8461,8276.25,8450.66666666667,9035.75,9097.5,
PE,26,Pernambuco,21221.75,21237.6666666667,22669.75,22947.25,23125.0833333333,
PI,22,Piauí,7580.16666666667,7523.83333333333,7858.58333333333,8043.16666666667,7833.08333333333,
PR,41,Paraná,27248.9166666667,27371.75,27903.1666666667,27546.75,26419.8333333333,
RJ,33,Rio de Janeiro,37939.8333333333,36948.5,35179.0833333333,35626.1666666667,35591.25,
RN,24,Rio Grande do Norte,7378.75,7306.41666666667,7611.75,7884.91666666667,7845.58333333333,
RO,11,Rondônia,4372.58333333333,4477.33333333333,4442.66666666667,4627.75,4675.08333333333,
RR,14,Roraima,1024.33333333333,1071.33333333333,1394,1376,1391,
RS,43,Rio Grande do Sul,30483.1666666667,30269.6666666667,30288,29561.5833333333,29855.5,
SC,42,Santa Catarina,15323.1666666667,15394.4166666667,15317.0833333333,15526.6666666667,15662.6666666667,
SE,28,Sergipe,3150.5,3116,3412.25,3306.08333333333,3251.75,
SP,35,São Paulo,92252.8333333333,91394.4166666667,93838.3333333333,94600.25,94431.9166666667,
TO,17,Tocantins,2815.58333333333,3044.5,3021.41666666667,3039.83333333333,3069.58333333333,
