"Tabela 7395 - Rendimento médio mensal real domiciliar per capita"
"Variável - Rendimento médio mensal real domiciliar per capita (Reais)"
"Cód.";"Unidade da Federação";"Ano"
"Cód.";"Unidade da Federação";"2018";"2019";"2021";"2022";"2023"
"11";"Rondônia";"1431";"1478";"1378";"1575";"1575"
"12";"Acre";"1202";"1202";"1157";"1171";"1135"
"13";"Amazonas";"1051";"1053";"948";"1154";"1233"
"14";"Roraima";"1466";"1348";"1243";"1449";"1453"
"15";"Pará";"1084";"1085";"1061";"1267";"1330"
"16";"Amapá";"1105";"1132";"1168";"1314";"1447"
"17";"Tocantins";"1359";"1339";"1313";"1598";"1656"
"21";"Maranhão";"848";"857";"789";"995";"1019"
"22";"Piauí";"1100";"1062";"1116";"1320";"1341"
"23";"Ceará";"1213";"1280";"1092";"1166";"1220"
"24";"Rio Grande do Norte";"1259";"1425";"1240";"1359";"1469"
"25";"Paraíba";"1215";"1192";"1047";"1207";"1356"
"26";"Pernambuco";"1184";"1215";"1007";"1207";"1207"
"27";"Alagoas";"975";"921";"1001";"1102";"1140"
"28";"Sergipe";"1199";"1237";"1200";"1281";"1270"
"29";"Bahia";"1195";"1178";"1055";"1159";"1246"
"31";"Minas Gerais";"1734";"1779";"1658";"1816";"1935"
"32";"Espírito Santo";"1753";"1822";"1725";"1890";"1928"
"33";"Rio de Janeiro";"2153";"2322";"2096";"2293";"2348"
"35";"São Paulo";"2496";"2511";"2172";"2453";"2592"
"41";"Paraná";"2112";"2137";"1914";"2082";"2150"
"42";"Santa Catarina";"2189";"2243";"2074";"2279";"2369"
"43";"Rio Grande do Sul";"2208";"2300";"2085";"2385";"2427"
"50";"Mato Grosso do Sul";"1969";"1984";"1773";"2226";"2192"
"51";"Mato Grosso";"1848";"1831";"1668";"2018";"2100"
"52";"Goiás";"1735";"1715";"1629";"1913";"2080"
"53";"Distrito Federal";"3471";"3314";"2985";"3649";"3444"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 4º trimestre"

"Notas"
"O rendimento real é obtido conforme deflacionamento especificado nas Notas Técnicas da PNAD Contínua.
Exclusive as pessoas cuja condição no domicílio era ""Pensionista"", ""Empregado doméstico"" ou ""Parente de empregado doméstico"".
O rendimento de trabalho é captado somente para pessoas de 14 anos ou mais de idade.
A partir de 30 de novembro de 2021, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
