CNES - Recursos Físicos - Equipamentos - Brasil
Equipamentos em Uso por Unidade da Federação e Ano/mês compet.
Grupo de Equipamentos: Equipamentos de Diagnostico por Imagem
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";1044;1052;1055;1068;1071;1075;1078;1082;1087;1073;1084;1133;1264;1266;1270;1283;1287;1293;1309;1310;1311;1310;1312;1321;1327;1329;1336;1348;1352;1357;1355;1379;1388;1396;1404;1411;1419;1423;1418;1404;1417;1419;1419;1422;1421;1431;1453;1459
"12 Acre";271;276;276;278;278;278;274;276;278;278;279;279;325;326;327;326;329;336;340;342;338;340;340;340;341;343;346;348;349;350;353;354;354;355;358;358;360;361;367;369;369;368;379;380;385;387;389;387
"13 Amazonas";1318;1314;1324;1327;1316;1322;1338;1342;1344;1354;1347;1354;1425;1436;1436;1444;1456;1454;1454;1459;1480;1483;1485;1489;1498;1500;1500;1497;1505;1490;1506;1513;1511;1529;1537;1527;1530;1523;1534;1526;1522;1534;1549;1546;1562;1569;1572;1575
"14 Roraima";232;235;235;239;241;241;241;241;241;240;239;236;247;249;245;250;254;257;256;263;267;274;277;281;281;283;282;279;279;277;285;292;292;292;302;305;309;309;307;309;316;320;309;305;311;308;313;318
"15 Pará";2842;2872;2883;2907;2919;2936;2954;2982;2989;2984;3011;3034;2883;2907;2917;2937;2969;2999;3039;3077;3124;3189;3225;3249;3254;3278;3299;3323;3340;3381;3389;3406;3400;3412;3425;3436;3445;3369;3388;3391;3414;3423;3431;3440;3406;3412;3393;3456
"16 Amapá";225;226;228;229;230;240;246;247;251;249;255;257;336;337;338;347;344;347;356;365;373;374;376;386;387;397;401;407;409;411;423;448;453;453;453;480;483;481;482;486;491;493;491;492;497;499;499;501
"17 Tocantins";714;719;720;730;733;738;740;746;748;749;753;758;852;856;857;868;876;890;893;922;921;929;940;941;949;960;973;985;995;1006;1010;1022;1028;1041;1049;1043;1039;1036;1033;1043;1052;1053;1063;1060;1067;1071;1081;1087
"21 Maranhão";1986;1984;1981;1989;1994;2001;2019;2029;2036;2033;2033;2044;2373;2397;2409;2423;2456;2467;2499;2508;2509;2519;2539;2549;2565;2587;2602;2638;2643;2639;2631;2657;2669;2680;2692;2710;2719;2720;2747;2773;2784;2784;2790;2804;2814;2824;2845;2846
"22 Piauí";1194;1201;1204;1212;1214;1211;1225;1226;1232;1230;1236;1235;1075;1075;1089;1098;1109;1114;1120;1129;1135;1151;1158;1179;1199;1209;1228;1230;1241;1231;1233;1237;1240;1256;1249;1277;1285;1311;1331;1335;1353;1343;1348;1347;1355;1368;1359;1362
"23 Ceará";4447;4480;4483;4515;4533;4546;4545;4549;4584;4590;4608;4661;4942;4961;4979;5028;5051;5078;5092;5109;5123;5152;5169;5147;5160;5189;5206;5478;5520;5512;5526;5597;5632;5646;5454;5460;5471;5473;5318;5379;5384;5393;5398;5392;5413;5419;5441;5457
"24 Rio Grande do Norte";1299;1306;1304;1306;1318;1319;1330;1331;1339;1340;1345;1353;1328;1352;1362;1369;1401;1415;1438;1443;1450;1456;1439;1450;1453;1457;1458;1460;1508;1509;1519;1525;1532;1535;1536;1536;1554;1559;1560;1565;1560;1558;1560;1566;1545;1556;1563;1563
"25 Paraíba";2031;2041;2054;2073;2076;2070;2062;2088;2087;2091;2088;2082;2164;2175;2192;2200;2210;2203;2214;2246;2257;2265;2277;2286;2280;2279;2283;2302;2301;2342;2349;2407;2422;2429;2438;2443;2452;2455;2471;2471;2474;2487;2497;2509;2527;2546;2549;2550
"26 Pernambuco";3844;3859;3857;3870;3896;3895;3920;3940;3955;3970;3989;4045;3662;3667;3696;3734;3755;3822;3862;3887;3908;3927;3947;3980;4047;4088;4103;4130;4149;4182;4204;4216;4264;4310;4356;4374;4334;4357;4407;4409;4417;4439;4465;4468;4477;4487;4501;4537
"27 Alagoas";1333;1337;1341;1350;1361;1384;1396;1397;1403;1379;1385;1386;1578;1583;1590;1593;1602;1605;1621;1629;1632;1634;1639;1641;1667;1671;1680;1687;1692;1696;1700;1709;1724;1724;1725;1725;1726;1725;1726;1732;1733;1769;1772;1776;1785;1795;1814;1854
"28 Sergipe";821;821;822;826;833;835;839;841;844;841;844;847;930;932;934;940;937;938;936;941;944;951;956;955;955;954;956;961;966;967;966;970;968;968;974;979;983;1000;1005;1015;1015;1017;1020;1017;1022;1027;1035;1044
"29 Bahia";7680;7718;7776;7799;7870;7899;7934;7978;8010;8000;8000;8029;8543;8585;8654;8721;8743;8769;8829;8883;8924;8948;8961;8988;8999;9013;9061;9090;9177;9248;9284;9320;9336;9402;9420;9428;9369;9342;9373;9416;9463;9483;9512;9549;9572;9590;9642;9681
"31 Minas Gerais";13808;13859;13920;13971;14009;14055;14109;14198;14238;14264;14271;14334;15291;15385;15489;15557;15648;15679;15825;15897;15980;16058;16098;16153;16217;16282;16302;16347;16416;16454;16525;16592;16658;16725;16843;16872;16898;16907;16959;17014;17051;17125;17164;17209;17186;17239;17308;17354
"32 Espírito Santo";3154;3163;3187;3197;3212;3219;3267;3295;3314;3325;3333;3341;3240;3266;3278;3302;3305;3302;3311;3326;3326;3343;3357;3359;3383;3388;3408;3418;3421;3427;3436;3454;3462;3465;3488;3495;3487;3499;3536;3544;3546;3564;3579;3614;3621;3631;3645;3646
"33 Rio de Janeiro";11481;11557;11656;11736;11797;11843;11848;11976;12009;11782;11866;11978;11508;11502;11575;11628;11799;11811;11983;12013;12133;12129;12185;12251;12325;12386;12438;12473;12640;12713;12702;12783;12813;12918;12930;12965;12737;12709;12723;12862;12877;12967;12994;13143;13084;13106;13198;13248
"35 São Paulo";35930;36066;36225;36388;36479;36615;36777;36975;37102;37200;37371;37429;34222;34386;34515;34693;34836;35007;35141;35250;35445;35603;35737;35868;36036;36121;36240;36331;36590;36677;36771;36911;37031;37208;37307;37331;37358;37291;37336;37403;37629;37767;37887;37984;38046;38280;38371;38418
"41 Paraná";9956;9999;10049;10053;10082;10124;10147;10253;10266;10286;10334;10362;10807;10878;10925;10969;10997;11038;11085;11106;11123;11124;11147;11158;11168;11178;11199;11210;11234;11233;11238;11253;11279;11332;11377;11418;11394;11354;11377;11412;11435;11465;11471;11527;11565;11517;11551;11536
