CNES - Recursos Físicos - Equipamentos - Brasil
Equipamentos em Uso por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";15297;15450;15523;15747;15927;16072;16190;16399;16526;16520;16717;16776;21464;22209;22351;22703;23261;23427;24298;24700;24865;24918;24954;24984;25177;25261;25631;25715;25980;26176;26248;26759;27003;27130;27225;27295;27645;27777;27779;27747;28077;28167;28375;28524;28650;28766;29176;30155
"12 Acre";4317;4639;4668;4688;4694;4709;4757;4793;4897;4923;4891;4903;7083;7139;7730;7766;7832;7969;8068;8169;8132;8130;8195;8201;8256;8294;8401;8433;8432;8450;8492;8413;8431;8336;8433;8435;8456;8455;8613;8655;8681;8697;8927;9026;9120;9153;9202;9840
"13 Amazonas";21068;21325;21553;21650;21518;21616;21929;21944;22067;22457;22547;22934;30796;31125;31422;31673;32550;32501;32547;32672;33831;34075;34651;34987;34756;34775;34437;34485;34978;34909;35188;35372;35523;36554;36970;38473;38639;38700;38784;38850;39091;39360;39765;41542;41984;42319;42684;43778
"14 Roraima";5959;6002;6023;6322;6373;6366;6390;6399;6407;6416;6406;6436;7357;7426;7297;7380;7588;7628;7665;8010;8042;8126;8118;8127;8159;8199;8217;8453;8456;8461;8600;8671;8820;8919;8708;8726;8807;8823;8924;8937;8970;9012;8975;8900;8928;8952;9017;9257
"15 Pará";43919;44175;44487;44765;44968;45112;45201;45421;45765;45859;46723;47134;50890;51564;52975;53251;53423;54485;55063;55876;57514;58784;59889;60214;60268;61383;61707;62068;62456;63235;63412;63766;64135;64524;64849;65302;65560;64130;65141;64442;64813;64993;65384;65022;64747;65206;64497;67614
"16 Amapá";2806;2869;2921;2938;2977;3071;3159;3169;3193;3186;3266;3344;5014;5018;5224;5343;5348;5378;5271;5319;5456;5488;5510;5416;5425;5449;5503;5703;5733;5749;5834;5930;5969;5987;5999;6226;6306;6317;6281;6368;6431;6447;6624;6748;6795;6910;7109;7618
"17 Tocantins";10651;10716;10759;10811;10832;10861;10900;10917;10988;10946;10976;11021;12160;12274;12586;13011;13326;13374;13492;14249;14121;14168;14193;14203;14264;14386;14614;14684;14776;15160;15184;15166;15565;16017;16328;16277;16271;16532;16580;16779;16887;16914;17154;17265;17313;17307;17358;17981
"21 Maranhão";25512;25796;25861;26229;26457;26689;27288;27507;27799;28079;28131;28584;38810;39335;39905;40076;40582;40911;41315;41487;41648;41761;42079;42175;42270;42466;42859;42989;43211;43211;43543;43734;43771;43856;43930;44060;44165;44250;44425;44535;44884;44943;45145;45459;45679;45832;46411;48077
"22 Piauí";14300;14500;14499;14523;14520;14513;14495;14602;14715;14737;14852;14819;14851;15012;14960;15788;16112;16167;16236;16302;16410;16420;16497;16568;16919;16962;17107;17164;17222;17215;17252;17366;17433;17601;17483;17879;17994;17998;18150;18201;18546;18561;18573;18548;18625;18717;18786;19704
"23 Ceará";60957;61293;61253;61877;62185;62524;62563;62635;63644;63776;63852;65513;82448;82808;84972;87683;88305;88993;89324;89646;90052;90394;90879;90467;90931;91376;91750;93244;94386;94589;95325;96320;97210;97762;97830;98073;98871;98741;97787;98469;98788;99268;99930;99685;100015;100339;100657;104446
"24 Rio Grande do Norte";18795;18848;18894;19003;19118;19203;19434;19544;19610;19319;19542;19584;21711;22849;23452;23865;24328;24588;25281;25386;25464;25583;26076;26116;26190;26203;26074;26326;27305;27364;27399;27388;27875;28065;28117;28146;28240;28312;28437;28565;28584;28583;28683;28756;28555;28762;28867;29731
"25 Paraíba";24539;24649;25055;25453;25834;26226;26270;26351;26381;26389;26557;26486;28939;29149;29453;29566;29983;30153;30570;30962;31241;31345;31519;31619;31896;31945;32036;32306;32446;32532;32740;32816;33015;33073;33417;33500;34649;34708;34834;35057;35497;36027;36586;37445;38845;39388;39950;41530
"26 Pernambuco";56661;56956;57118;57299;58384;58461;58749;59072;60244;60375;60554;60808;64703;64728;65772;66767;67741;69885;70671;70784;71793;72134;72491;72644;72355;72798;73293;73439;73662;73733;74425;75009;75867;76823;77733;77820;77899;78081;79362;78990;78958;79528;79896;79989;80107;80031;80271;82515
"27 Alagoas";16984;16987;17051;17169;17432;17572;17623;17631;17727;17473;17557;17595;22370;23057;23169;23195;23289;23358;23439;23937;23997;24059;24126;24273;24924;24948;24974;25042;25068;25220;25307;25874;26168;26228;26242;26290;26308;26317;26331;26585;26736;26927;27046;27940;28130;28239;28339;29950
"28 Sergipe";10211;10243;10245;10261;10305;10312;10318;10342;10356;10427;10435;10440;12542;13534;13661;13909;13938;13940;14096;14228;14190;14252;14342;14352;14354;14266;14296;14472;14502;14492;14455;14494;14544;14828;14851;14860;14861;14945;14941;15245;15507;15527;15599;15697;15742;15858;16300;16895
"29 Bahia";91015;91905;92267;92926;93483;93549;94385;95068;95643;95607;95924;96244;113276;114297;115582;117453;118075;118584;120391;121434;121558;122075;122474;122975;123279;123568;124330;125237;126670;126955;127745;128876;128601;129720;130116;130584;130494;130736;131463;132280;133266;133680;134866;136137;136511;137064;137706;143759
"31 Minas Gerais";192822;194881;195317;195991;197042;198128;199616;200689;201661;202098;202200;203500;242735;246572;250911;256788;260623;262287;265696;268285;269938;271419;272387;273632;275804;278079;279112;279591;281349;281921;284724;286025;288771;290591;292167;292727;294011;295416;296621;298939;300892;303772;306227;307087;309194;310642;312191;323265
"32 Espírito Santo";38656;38813;39059;39195;39345;39375;39942;40369;40784;40866;40895;40984;44932;45295;46595;50038;50983;51324;51602;51954;52180;52495;52678;52969;53160;53290;53930;54344;54676;54942;55127;55317;55554;55816;55929;55998;56222;56702;57131;57257;57374;58231;59077;58957;59182;59590;59624;62424
"33 Rio de Janeiro";166240;167620;169771;170962;172574;173111;173694;175557;177850;169885;171994;173808;185401;185059;187468;188311;190453;189679;194463;195755;197972;198725;199485;201843;204199;205169;206308;205603;209885;212009;212560;215489;215948;217136;216888;218579;216311;217318;218448;220813;220211;220008;223049;225708;225526;226536;228850;237513
"35 São Paulo";474651;477121;479375;483509;484254;486318;490915;493833;495921;496059;500271;503023;519417;524237;530044;534096;537956;541663;547742;554068;558900;561472;564046;567560;572620;573885;575676;576926;580456;581711;585296;587668;590332;588135;593329;593906;596795;601132;603163;605354;608306;610009;612420;614530;616014;618627;621293;648369
"41 Paraná";112904;113258;113859;114290;115078;115576;116003;117665;117854;118541;119505;119812;135832;137462;139593;140858;141775;144293;146448;147976;149514;150550;151213;151705;152440;152787;153177;153517;154125;154540;155058;155406;156600;160487;161512;162179;162059;162207;162861;163961;165396;165377;165592;166660;167651;167521;168020;175802
"42 Santa Catarina";65021;65967;66201;66576;66999;67365;67724;68286;68565;68849;69376;70285;87001;89076;90766;92293;94272;94962;97259;98802;99195;99504;99956;100319;100743;101253;102116;102353;102913;103412;104022;104634;105590;106316;106559;106682;107012;107234;107939;108755;109934;111127;113143;113800;114223;114817;115539;121371
"43 Rio Grande do Sul";87009;87127;87629;87847;88782;89118;89676;89752;90083;90465;91240;91569;110194;111475;112729;113888;114110;114230;114683;115040;115540;116227;116822;116788;117285;117700;118013;118224;118435;118816;119283;119903;120285;121760;122855;122988;123179;123580;123358;123982;124333;124791;125249;125931;126647;127023;127066;133843
"50 Mato Grosso do Sul";22682;22679;22736;23222;23258;23394;23538;23695;23996;24118;25244;25096;28943;29109;29464;29690;29743;30264;30500;30714;30861;31063;31131;31152;31250;31571;32195;32255;32345;32487;32575;33582;34242;34502;34875;34893;35187;35157;35214;35281;35384;35768;34525;34582;35102;35176;35260;36634
"51 Mato Grosso";27592;27777;27987;28307;28345;28298;28480;28622;28829;29396;29376;29833;36716;37347;37847;38520;39394;40401;40769;41116;41744;41811;42798;43375;43850;44229;44568;44254;45149;45250;45764;45752;46438;46903;46781;46915;46778;46828;47325;47697;49000;49184;49891;50126;50610;50995;51364;53348
"52 Goiás";47096;47747;47911;48100;48320;48685;49115;49148;49681;49803;49828;49846;61949;63357;64394;65753;66067;66570;68306;69624;71119;71964;72357;72536;73960;73334;73494;73677;75268;75395;75791;76403;76431;80580;81316;81616;81717;82229;82389;82637;82869;83126;84190;84389;84506;84687;85077;88742
"53 Distrito Federal";31373;31625;31902;32213;32323;32817;33587;31249;29992;29944;30795;31478;47933;46969;47728;48795;51053;51670;52878;53146;53346;53809;55013;54845;55293;55551;56143;57191;56857;55292;55387;55832;56172;56734;56718;56514;57342;56125;56591;57009;57197;57598;57987;58555;59042;59209;59449;60856
"Total";1689037;1700968;1709924;1721873;1731327;1739041;1751941;1760659;1771178;1766513;1779654;1791855;2035467;2057482;2088050;2118459;2142110;2158684;2188073;2209641;2228623;2240751;2253879;2264045;2280027;2289127;2299961;2307695;2326741;2333226;2346736;2361965;2376293;2394383;2407160;2414943;2421778;2428750;2438872;2451390;2464612;2475625;2492878;2507008;2517443;2527666;2540063;2645017
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
