CNES - Recursos Físicos - Equipamentos - Brasil
Equipamentos em Uso por Unidade da Federação e Ano/mês compet.
Grupo de Equipamentos: Equipamentos para Manutencao da Vida
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";3627;3695;3672;3697;3800;3879;3886;3956;3957;3916;3922;3918;4981;5399;5430;5533;5720;5759;6144;6255;6287;6280;6286;6279;6520;6522;6587;6536;6593;6592;6634;6854;6883;6778;6780;6788;6970;7148;7239;7343;7549;7553;7629;7703;7722;7734;8006;8024
"12 Acre";1031;1029;1031;1031;1035;1035;1079;1080;1078;1080;1070;1070;1743;1756;2337;2375;2409;2443;2484;2530;2551;2556;2580;2580;2583;2583;2604;2618;2616;2616;2616;2524;2514;2364;2287;2287;2303;2297;2277;2293;2292;2305;2416;2518;2532;2543;2536;2659
"13 Amazonas";7839;7997;8016;7990;7970;7974;8006;7935;7937;8065;8073;8256;10910;11080;11432;11563;11847;11766;11767;11775;12399;12361;12503;12511;12177;12258;12044;12207;12434;12366;12425;12432;12468;12565;12656;13074;13081;13151;13146;13103;13153;13222;13269;13449;13564;13564;13562;13568
"14 Roraima";1585;1585;1585;1610;1609;1609;1609;1609;1609;1597;1583;1583;1752;1756;1701;1706;1793;1793;1801;1987;1996;2004;1935;1935;1941;1941;1946;2062;2074;2074;2075;2075;2108;2120;1879;1878;1900;1900;1940;1935;1939;1950;1932;1920;1920;1920;1920;1920
"15 Pará";13287;13298;13383;13357;13392;13411;13308;13342;13416;13393;13846;14014;16620;16966;18024;18050;17944;18422;18538;18657;19174;19240;19436;19644;19349;19919;19981;20029;20118;20314;20333;20415;20409;20445;20496;20540;20598;19980;20354;19789;19827;19977;20075;19726;19700;19715;19062;19698
"16 Amapá";646;655;659;659;659;661;691;691;691;669;686;689;1121;1123;1299;1373;1373;1374;1225;1231;1297;1297;1297;1200;1200;1201;1207;1361;1361;1364;1372;1385;1395;1395;1395;1323;1331;1305;1300;1372;1378;1378;1415;1416;1430;1482;1495;1665
"17 Tocantins";4563;4580;4585;4593;4591;4586;4602;4607;4622;4586;4586;4612;4796;4886;5146;5466;5728;5746;5746;6479;6426;6446;6437;6437;6458;6473;6659;6682;6684;7004;7013;6944;7219;7504;7727;7677;7677;7879;7916;8011;8048;8023;8208;8295;8315;8315;8317;8321
"21 Maranhão";8610;8800;8829;9104;9166;9249;9716;9716;9871;10135;10146;10208;12955;13028;13524;13618;13884;14041;14175;14116;14141;14124;14186;14150;14096;14122;14409;14400;14473;14482;14717;14743;14669;14670;14673;14698;14774;14772;14713;14727;14749;14725;14745;14813;14832;14790;15105;15066
"22 Piauí";3496;3639;3636;3633;3633;3638;3619;3677;3778;3812;3845;3811;4881;4967;5054;5537;5843;5840;5840;5854;5893;5900;5911;5932;6092;6093;6094;6101;6117;6101;6107;6168;6159;6181;6177;6504;6571;6423;6535;6536;6721;6709;6712;6645;6653;6662;6652;6659
"23 Ceará";19058;19065;18840;19107;19131;19226;19198;19226;19399;19404;19269;19482;27389;27512;29121;30842;31231;31518;31486;31506;31678;31683;31747;31414;31494;31546;31654;32276;32963;33002;33492;33801;33984;34061;34087;34131;34439;34241;34452;34775;34819;34828;34978;34570;34637;34571;34548;34810
