CNES - Recursos Físicos - Equipamentos - Brasil
Equipamentos em Uso por Unidade da Federação e Ano/mês compet.
Grupo de Equipamentos: Equipamentos por Metodos Graficos
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";275;279;279;282;284;285;286;291;294;289;296;295;347;392;393;395;407;412;415;424;424;424;424;424;425;428;431;434;435;443;437;452;452;454;455;455;455;449;444;442;454;454;457;466;472;470;474;478
"12 Acre";48;49;49;49;49;49;50;50;50;52;52;52;88;89;89;90;93;95;100;100;100;100;103;103;105;107;111;111;110;110;111;108;107;110;105;105;102;102;102;108;109;109;114;115;115;116;116;112
"13 Amazonas";323;325;329;335;333;334;345;345;346;349;349;357;385;391;396;403;407;407;408;410;420;421;421;421;423;424;417;414;422;418;418;419;420;435;440;435;432;439;443;439;438;446;451;458;460;461;465;466
"14 Roraima";70;70;70;72;72;72;73;73;73;72;72;72;84;84;82;82;82;82;82;84;84;86;86;87;87;87;87;86;86;86;86;86;87;88;90;89;88;88;88;93;93;94;94;95;95;95;95;95
"15 Pará";839;845;867;868;873;880;886;889;891;886;901;912;983;990;999;1009;1017;1024;1036;1038;1057;1060;1069;1080;1081;1100;1108;1117;1120;1131;1131;1134;1133;1135;1143;1143;1147;1128;1136;1131;1142;1142;1152;1160;1157;1152;1140;1158
"16 Amapá";57;59;59;59;61;62;63;63;64;60;64;67;85;85;88;92;92;92;92;93;93;93;93;94;95;97;98;105;104;106;110;114;116;116;116;118;121;116;116;125;125;126;126;126;129;130;130;131
"17 Tocantins";203;206;208;208;208;213;213;215;215;212;213;215;231;233;232;236;241;241;241;245;243;250;255;257;262;268;269;272;273;276;276;274;283;289;283;285;286;287;290;293;296;296;305;298;296;297;302;303
"21 Maranhão";669;667;667;669;670;678;684;684;685;673;674;685;763;767;774;776;784;784;807;809;814;814;818;818;822;832;833;838;841;841;843;844;841;844;847;849;855;852;860;863;868;865;867;880;881;881;888;889
"22 Piauí";374;372;372;377;378;378;377;382;381;388;389;389;363;362;354;369;371;373;374;378;382;382;383;384;400;402;406;410;413;410;411;413;412;418;417;424;436;439;442;447;458;457;457;456;464;467;462;464
"23 Ceará";1319;1328;1330;1326;1331;1338;1337;1338;1354;1356;1349;1357;1545;1547;1571;1591;1604;1610;1614;1616;1629;1631;1640;1633;1637;1647;1654;1700;1711;1712;1730;1751;1758;1766;1767;1772;1786;1780;1765;1783;1785;1790;1798;1787;1789;1799;1808;1829
"24 Rio Grande do Norte";540;542;545;546;549;550;554;558;559;552;553;554;596;607;609;615;622;635;646;641;647;650;650;650;650;653;653;656;669;671;672;678;680;682;682;683;685;690;690;696;698;694;694;699;695;700;701;700
"25 Paraíba";710;711;715;717;728;730;734;738;741;740;740;741;799;805;814;815;816;826;834;833;828;831;827;837;840;843;843;848;852;856;856;860;864;864;865;865;872;881;887;894;903;903;914;925;946;973;973;972
"26 Pernambuco";1489;1493;1496;1497;1509;1506;1511;1526;1535;1538;1533;1543;1578;1575;1588;1610;1624;1654;1674;1684;1693;1706;1719;1721;1719;1725;1731;1731;1732;1736;1746;1754;1766;1781;1788;1792;1795;1794;1819;1803;1797;1808;1828;1833;1839;1837;1844;1839
"27 Alagoas";401;402;403;405;416;418;422;422;423;416;421;421;482;485;485;486;487;489;493;494;497;500;500;502;504;509;509;510;512;516;519;523;525;530;530;531;531;531;532;541;545;554;555;561;570;571;576;590
"28 Sergipe";268;267;267;267;271;272;273;273;273;274;274;274;314;339;340;350;349;353;354;358;358;357;358;358;359;362;363;363;359;360;361;366;366;367;369;370;369;377;376;383;386;388;389;390;397;399;403;404
"29 Bahia";2246;2265;2278;2287;2304;2312;2336;2353;2360;2363;2365;2376;2651;2664;2688;2720;2738;2756;2782;2788;2794;2807;2824;2839;2854;2853;2872;2887;2907;2915;2928;2945;2939;2968;2970;2967;2962;2950;2979;2993;3014;3016;3024;3047;3053;3055;3070;3083
"31 Minas Gerais";5835;5875;5878;5894;5928;5942;5958;5984;6035;6053;6040;6060;6638;6680;6723;6785;6794;6814;6853;6877;6898;6926;6958;6965;7017;7052;7085;7084;7105;7130;7165;7196;7236;7313;7351;7360;7385;7384;7406;7459;7476;7518;7546;7556;7571;7583;7607;7629
"32 Espírito Santo";995;999;998;1001;1005;997;1000;1009;1013;1012;1003;1004;1078;1078;1102;1126;1135;1138;1146;1151;1150;1159;1162;1164;1164;1168;1175;1180;1179;1183;1184;1184;1186;1184;1186;1190;1187;1193;1200;1201;1205;1216;1211;1223;1220;1235;1238;1240
