CNES - Recursos Físicos - Equipamentos - Brasil
Estab c/ Equip SUS por Unidade da Federação e Ano/mês compet.
Grupo de Equipamentos: Equipamentos de Diagnostico por Imagem
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";316;317;316;318;310;314;322;322;323;316;317;340;372;374;374;376;375;378;379;373;374;377;381;383;383;384;391;400;406;405;402;405;410;412;417;420;417;419;420;409;415;414;419;421;418;425;431;435
"12 Acre";93;95;97;97;97;98;99;99;101;101;101;101;114;114;117;120;121;122;122;122;119;121;123;123;122;123;124;124;125;125;123;124;124;125;125;126;127;127;129;130;130;130;132;132;132;133;134;133
"13 Amazonas";684;681;681;683;689;692;692;694;694;695;685;684;695;703;707;714;724;728;727;731;733;734;733;733;742;743;746;746;748;752;770;775;776;782;783;785;791;785;793;788;787;787;796;790;804;805;806;806
"14 Roraima";103;106;106;108;108;108;108;108;108;110;107;106;120;120;121;123;124;125;126;127;130;130;130;130;130;130;130;130;133;131;133;133;133;133;134;135;136;136;133;135;137;137;135;135;137;134;135;135
"15 Pará";1075;1085;1089;1100;1104;1114;1126;1117;1116;1127;1133;1139;1231;1232;1234;1241;1251;1262;1277;1277;1287;1287;1288;1287;1287;1302;1313;1321;1321;1332;1334;1333;1333;1337;1343;1339;1348;1347;1346;1353;1372;1375;1381;1386;1384;1392;1396;1402
"16 Amapá";75;73;74;74;74;74;75;75;79;80;80;80;96;96;97;104;100;105;107;116;118;118;118;121;122;124;125;130;137;138;145;158;163;163;163;185;187;183;183;179;180;183;183;183;184;182;182;184
"17 Tocantins";407;409;410;411;417;419;421;424;424;422;423;420;481;483;484;488;497;509;511;519;516;518;524;526;532;541;546;554;560;566;569;574;576;577;584;574;572;573;573;582;589;594;601;605;610;611;617;622
"21 Maranhão";1049;1038;1048;1048;1045;1050;1053;1068;1075;1070;1069;1068;1236;1244;1249;1257;1260;1262;1267;1257;1251;1255;1272;1281;1295;1292;1293;1309;1322;1322;1323;1340;1355;1335;1352;1359;1364;1364;1362;1378;1381;1371;1377;1380;1377;1380;1391;1394
"22 Piauí";605;609;608;611;612;611;616;617;622;616;619;619;617;617;626;628;625;631;634;641;645;644;645;643;643;645;652;654;656;655;655;660;660;665;661;663;666;667;670;672;679;670;674;670;681;688;685;684
"23 Ceará";1382;1396;1394;1394;1391;1395;1389;1393;1403;1406;1420;1472;1514;1529;1536;1550;1552;1564;1568;1573;1562;1573;1584;1582;1588;1594;1610;1619;1644;1649;1654;1670;1679;1678;1672;1673;1681;1690;1695;1699;1687;1700;1681;1688;1691;1686;1699;1708
"24 Rio Grande do Norte";775;772;769;770;777;777;784;783;786;793;798;806;880;894;897;905;905;907;915;914;916;917;916;924;928;929;934;933;937;935;938;949;963;970;969;968;974;977;977;977;971;968;971;973;972;971;977;979
"25 Paraíba";1006;1014;1022;1026;1024;1010;990;998;1007;1009;1015;1017;1041;1037;1048;1052;1060;1057;1061;1069;1079;1083;1086;1098;1088;1089;1090;1103;1106;1115;1119;1149;1161;1169;1172;1174;1182;1176;1191;1190;1193;1206;1212;1202;1210;1217;1218;1218
"26 Pernambuco";1596;1599;1602;1607;1616;1623;1630;1638;1642;1657;1664;1659;1735;1731;1739;1753;1765;1777;1786;1792;1800;1801;1803;1807;1817;1825;1828;1840;1853;1858;1863;1874;1893;1901;1909;1910;1917;1919;1927;1935;1936;1937;1968;1971;1978;1971;1985;1996
"27 Alagoas";558;559;559;562;568;573;573;574;575;569;573;574;659;664;668;676;680;681;688;695;698;699;704;706;699;700;699;697;699;702;702;706;717;716;717;717;717;716;714;714;714;717;714;715;715;719;730;743
"28 Sergipe";395;391;391;394;400;402;406;408;408;406;407;409;429;427;429;438;437;436;433;438;441;446;449;448;448;449;450;453;452;451;447;450;448;447;452;455;460;471;476;485;487;489;492;491;499;503;509;514
"29 Bahia";2866;2894;2916;2922;2974;2983;2990;3023;3056;3068;3065;3071;3357;3362;3371;3393;3403;3403;3427;3459;3486;3485;3487;3496;3502;3491;3516;3541;3584;3619;3638;3650;3663;3682;3686;3675;3687;3692;3733;3753;3776;3774;3778;3791;3789;3796;3807;3806
"31 Minas Gerais";4290;4302;4321;4346;4371;4382;4394;4436;4461;4473;4494;4516;4938;4926;4952;4968;4979;4980;5020;5031;5054;5082;5096;5109;5126;5147;5153;5167;5171;5171;5212;5240;5249;5278;5304;5310;5335;5326;5358;5373;5394;5424;5436;5417;5422;5441;5449;5449
"32 Espírito Santo";855;857;864;868;875;875;871;872;887;887;886;889;952;952;950;961;964;966;968;968;967;976;985;987;990;990;991;1000;1001;1008;1010;1016;1016;1004;1019;1022;1018;1021;1024;1032;1030;1040;1036;1055;1056;1052;1054;1057
"33 Rio de Janeiro";2949;2960;2967;2993;3001;3006;3000;3005;3001;3008;3002;3012;3130;3130;3122;3115;3189;3222;3212;3233;3265;3253;3265;3269;3276;3317;3320;3334;3357;3381;3381;3411;3411;3439;3450;3456;3469;3479;3477;3483;3493;3498;3498;3537;3530;3539;3550;3543
"35 São Paulo";7541;7552;7554;7581;7609;7638;7676;7721;7749;7803;7825;7820;8239;8234;8285;8324;8363;8429;8450;8447;8473;8484;8479;8502;8532;8539;8540;8550;8585;8599;8619;8622;8636;8660;8664;8671;8688;8702;8731;8735;8769;8801;8849;8869;8871;8904;8918;8917
"41 Paraná";2547;2555;2585;2577;2580;2607;2616;2634;2640;2648;2652;2662;2781;2778;2783;2785;2786;2800;2816;2828;2839;2833;2835;2835;2839;2841;2834;2837;2843;2837;2832;2831;2837;2864;2864;2878;2868;2862;2867;2891;2906;2919;2922;2932;2945;2960;2964;2972
"42 Santa Catarina";1745;1769;1778;1786;1807;1805;1814;1827;1830;1834;1838;1839;2051;2060;2068;2084;2103;2130;2146;2162;2174;2186;2198;2199;2209;2259;2296;2313;2359;2376;2393;2424;2470;2504;2508;2498;2505;2503;2514;2531;2552;2556;2576;2594;2610;2634;2648;2680
"43 Rio Grande do Sul";2448;2449;2457;2460;2462;2468;2482;2482;2449;2457;2468;2478;2556;2564;2570;2578;2586;2604;2597;2592;2597;2599;2599;2600;2603;2595;2600;2603;2605;2605;2616;2624;2630;2639;2640;2647;2656;2663;2671;2677;2678;2689;2686;2698;2708;2727;2736;2739
"50 Mato Grosso do Sul";592;591;593;596;602;614;615;618;619;622;636;636;694;700;696;698;700;701;708;701;706;712;712;710;715;716;722;724;726;733;734;776;787;788;790;793;796;797;798;804;813;816;821;824;826;828;824;825
"51 Mato Grosso";879;880;887;898;896;906;911;916;929;935;928;934;1062;1072;1077;1073;1068;1076;1077;1086;1106;1109;1123;1130;1132;1136;1151;1155;1153;1154;1161;1173;1177;1186;1194;1185;1189;1200;1217;1220;1222;1235;1242;1262;1289;1298;1304;1319
"52 Goiás";1649;1662;1667;1679;1676;1696;1715;1723;1734;1731;1735;1740;1963;1974;1986;1989;2010;2012;2051;2054;2075;2096;2099;2101;2125;2129;2150;2171;2177;2178;2190;2193;2200;2253;2267;2271;2275;2292;2300;2305;2306;2307;2335;2339;2365;2374;2371;2370
"53 Distrito Federal";190;188;188;191;191;192;193;189;189;192;193;196;247;238;238;245;242;249;248;256;259;283;282;288;291;296;299;301;303;298;297;298;314;318;323;321;321;311;311;316;317;317;319;318;318;316;315;316
