CNES - Recursos Físicos - Equipamentos - Brasil
Estab c/ Equip SUS por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";2328;2336;2323;2342;2327;2328;2366;2374;2387;2370;2388;2414;2881;2905;2916;2933;2943;2975;3078;3108;3123;3130;3153;3164;3175;3193;3240;3261;3304;3333;3332;3352;3368;3383;3406;3420;3429;3421;3468;3469;3501;3510;3593;3611;3611;3643;3677;3933
"12 Acre";1466;1469;1470;1476;1476;1477;1480;1480;1496;1498;1509;1509;1738;1743;1753;1770;1780;1800;1810;1823;1817;1829;1854;1856;1855;1867;1896;1901;1893;1896;1902;1905;1911;1918;1930;1935;1944;1940;1945;1960;1961;1977;1978;1993;2000;2003;2015;2125
"13 Amazonas";4840;4838;4866;4923;4897;4911;4933;4956;4965;4995;4971;4990;5864;5920;5934;5951;5988;6024;6017;6051;6073;6276;6418;6425;6449;6452;6460;6479;6529;6562;6625;6653;6671;6783;6791;6831;6841;6836;6865;6868;6899;6911;6939;7047;7115;7144;7279;7736
"14 Roraima";1217;1242;1260;1277;1285;1295;1304;1296;1306;1316;1304;1310;1486;1490;1517;1534;1558;1564;1588;1605;1616;1616;1626;1619;1625;1619;1621;1622;1612;1611;1615;1618;1631;1658;1664;1673;1686;1687;1672;1674;1698;1719;1691;1702;1704;1711;1723;1782
"15 Pará";8860;8894;8938;8980;9015;9036;9113;9098;9119;9195;9256;9275;10630;10654;10751;10820;10848;10907;11043;11094;11180;11203;11248;11248;11270;11366;11487;11610;11645;11718;11767;11801;11911;11995;12091;12140;12190;12227;12254;12362;12478;12532;12611;12637;12696;12812;12888;13679
"16 Amapá";411;433;435;436;438;436;450;450;451;457;469;471;714;717;731;745;738;746;752;772;778;778;779;776;778;784;789;836;869;873;890;940;948;962;964;1130;1140;1115;1110;1113;1119;1123;1176;1207;1216;1216;1254;1363
"17 Tocantins";3745;3768;3780;3821;3833;3837;3844;3857;3880;3869;3876;3879;4335;4340;4349;4368;4420;4440;4484;4510;4493;4515;4513;4522;4555;4593;4605;4624;4646;4677;4688;4693;4699;4729;4764;4750;4747;4776;4775;4818;4859;4872;4891;4928;4963;4967;4990;5314
"21 Maranhão";8872;8906;8958;8976;9068;9122;9206;9332;9454;9457;9472;9653;12635;12745;12790;12828;12865;12916;13039;13122;13169;13243;13416;13452;13492;13530;13567;13633;13688;13712;13777;13835;13883;13884;13919;13965;13991;14005;14019;14067;14236;14265;14358;14467;14518;14637;14700;15543
"22 Piauí";5452;5464;5486;5498;5493;5487;5478;5495;5501;5470;5497;5495;5758;5789;5821;5841;5852;5879;5925;5950;5994;5990;6004;6009;6024;6041;6074;6100;6115;6110;6113;6146;6165;6227;6214;6218;6233;6287;6290;6314;6332;6320;6328;6323;6365;6401;6425;6902
"23 Ceará";14613;14674;14725;14759;14783;14838;14828;14832;14910;14928;15036;15693;18560;18596;18644;18829;18854;18925;18995;19115;19108;19155;19192;19212;19244;19301;19373;19431;19565;19597;19658;19719;19864;19880;19905;19917;20069;20125;20174;20278;20345;20566;20654;20739;20799;20873;20900;21879
"24 Rio Grande do Norte";5915;5928;5937;5944;5967;5975;5993;6037;6057;6063;6101;6126;6729;6798;6824;6885;6906;6946;7010;7017;7039;7077;7086;7108;7130;7144;7165;7184;7226;7245;7270;7297;7356;7385;7397;7400;7434;7494;7499;7518;7499;7481;7511;7521;7562;7559;7626;8134
"25 Paraíba";8191;8233;8281;8305;8364;8412;8393;8418;8484;8529;8590;8592;9325;9354;9390;9424;9457;9470;9569;9592;9657;9691;9789;9852;9870;9880;9892;9927;9988;10030;10065;10117;10158;10182;10197;10209;10251;10285;10355;10413;10481;10539;10575;10587;10649;10771;10881;11508
"26 Pernambuco";12746;12781;12928;12968;13004;13038;13075;13112;13156;13172;13214;13191;15100;15143;15175;15238;15301;15373;15495;15519;15553;15584;15617;15639;15672;15714;15742;15772;15814;15835;15915;15979;16040;16055;16156;16158;16199;16233;16243;16277;16264;16316;16397;16411;16491;16495;16625;17705
"27 Alagoas";4297;4295;4294;4317;4327;4362;4378;4389;4405;4378;4395;4396;5693;5712;5736;5763;5773;5800;5833;5899;5921;5947;5964;5969;5977;5984;5981;5985;5995;6004;6027;6078;6142;6149;6150;6155;6150;6153;6156;6179;6216;6233;6217;6225;6242;6264;6302;6700
"28 Sergipe";2828;2853;2855;2863;2873;2873;2880;2905;2913;2949;2954;2958;3241;3252;3283;3316;3323;3325;3439;3459;3475;3511;3518;3522;3524;3525;3534;3559;3566;3568;3550;3564;3551;3547;3568;3579;3588;3608;3605;3640;3670;3693;3704;3710;3733;3750;3790;4071
"29 Bahia";22151;22272;22346;22369;22582;22627;22708;22865;23072;23198;23233;23301;27822;27932;28073;28283;28378;28440;28720;28864;29012;29118;29192;29286;29394;29422;29580;29863;30082;30136;30319;30511;30704;30826;30949;31005;31101;31298;31503;31779;31935;32105;32224;32447;32497;32634;32694;34687
"31 Minas Gerais";35982;36162;36198;36279;36477;36481;36603;36797;37030;37101;37228;37370;42723;42902;43068;43368;43556;43637;43995;44118;44388;44570;44798;44967;45105;45236;45410;45541;45802;45881;46209;46406;46652;46844;47038;47130;47297;47527;47642;47912;48197;48642;48784;48879;49095;49170;49305;52282
"32 Espírito Santo";6379;6391;6402;6430;6448;6452;6452;6456;6507;6488;6480;6484;7422;7439;7496;7573;7640;7681;7720;7719;7736;7770;7810;7831;7844;7850;7912;8020;8085;8158;8197;8218;8249;8273;8323;8319;8341;8404;8410;8439;8448;8582;8581;8623;8629;8646;8654;9374
"33 Rio de Janeiro";19856;19839;19889;20020;20054;20116;20115;20146;20163;20178;20163;20194;21447;21482;21447;21428;21618;21717;21744;21940;22078;22162;22254;22320;22367;22467;22545;22598;22718;22759;22783;22900;22915;23033;23066;23083;23132;23268;23366;23474;23633;23649;23724;23857;23893;24002;24079;26179
"35 São Paulo";52425;52516;52636;52817;52965;53267;53578;53713;53895;54149;54215;54312;61400;61596;61907;62129;62367;62553;63270;63839;63945;64039;64046;64098;64401;64548;64847;65013;65181;65240;65366;65471;65708;66032;66204;66340;66772;67181;67405;67537;67718;67887;68237;68499;68620;68688;68796;74511
"41 Paraná";18340;18342;18434;18469;18530;18622;18712;18808;18834;18871;18926;19012;22515;22610;22682;22754;22816;22955;23146;23240;23283;23313;23346;23353;23524;23633;23675;23736;23832;23899;23910;23929;24223;24961;25015;25054;25125;25213;25275;25468;25604;25685;25745;25776;25854;25981;26066;27742
"42 Santa Catarina";11897;11995;12029;12057;12155;12156;12198;12292;12329;12342;12358;12398;15013;15081;15130;15161;15238;15368;15501;15673;15808;15826;15859;15936;15944;16184;16375;16448;16572;16741;16867;17015;17293;17568;17620;17634;17694;17790;17887;17996;18071;18322;18558;18627;18698;18782;18861;20317
"43 Rio Grande do Sul";17762;17751;17777;17783;17868;17899;17964;17940;17885;17902;17964;17993;19184;19248;19293;19402;19418;19499;19652;19757;19805;19818;19965;19978;20076;20174;20222;20235;20232;20296;20375;20415;20511;20810;20836;20843;20905;21063;21112;21186;21235;21283;21284;21345;21432;21478;21537;23113
"50 Mato Grosso do Sul";5032;5042;5065;5061;5075;5102;5121;5152;5180;5211;5492;5544;6043;6057;6060;6076;6082;6102;6156;6135;6141;6171;6174;6178;6216;6241;6309;6327;6350;6369;6369;6597;6751;6783;6796;6788;6792;6808;6817;6842;6867;6904;6879;6880;6897;6910;6917;7402
"51 Mato Grosso";6945;6966;6981;6984;6986;7018;7030;7065;7103;7147;7159;7181;8546;8644;8567;8608;8632;8706;8874;8950;9096;9111;9235;9273;9298;9322;9413;9435;9478;9531;9560;9598;9648;9747;9768;9774;9787;9833;9876;9945;9976;10057;10144;10250;10355;10424;10505;11285
"52 Goiás";10876;10958;10968;11004;11060;11130;11195;11208;11263;11262;11251;11266;13319;13393;13539;13661;13734;13778;13869;13985;14059;14161;14204;14234;14353;14353;14468;14529;14598;14610;14707;14718;14733;15852;16022;16053;16104;16232;16280;16336;16394;16417;16530;16559;16636;16694;16704;18046
"53 Distrito Federal";1834;1856;1874;1895;1893;1911;1934;1970;1946;1970;1979;1996;2608;2602;2613;2644;2629;2657;2683;2690;2710;2780;2807;2831;2867;2879;2904;3227;3349;3336;3331;3319;3356;3389;3405;3397;3397;3393;3401;3386;3371;3386;3390;3424;3429;3430;3437;3616
