CNES - Recursos Físicos - Equipamentos - Brasil
Estab c/ Equip SUS por Unidade da Federação e Ano/mês compet.
Grupo de Equipamentos: Equipamentos para Manutencao da Vida
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";473;475;470;471;461;461;475;476;476;473;476;474;538;547;549;551;561;567;580;583;583;579;584;585;586;588;597;597;614;613;611;611;616;608;609;611;618;623;631;636;644;643;673;675;674;677;693;700
"12 Acre";211;211;212;212;212;212;212;212;211;212;214;214;261;261;266;273;277;277;281;285;287;290;297;297;297;297;305;310;307;307;307;307;306;307;308;309;310;309;303;310;310;321;317;322;323;324;319;327
"13 Amazonas";846;850;853;854;851;853;862;862;863;873;876;878;1030;1058;1069;1075;1088;1096;1096;1103;1107;1119;1119;1119;1109;1111;1109;1112;1114;1116;1143;1147;1159;1175;1176;1178;1178;1176;1179;1176;1179;1179;1176;1180;1189;1190;1190;1190
"14 Roraima";150;150;150;155;154;154;154;154;154;154;147;147;185;188;195;199;199;199;205;205;207;207;207;207;211;211;211;212;208;208;209;209;212;215;217;217;217;217;217;217;217;221;216;223;223;223;223;216
"15 Pará";1583;1582;1588;1580;1576;1583;1585;1581;1588;1611;1616;1614;1765;1783;1805;1804;1806;1823;1847;1850;1877;1887;1895;1891;1890;1904;1937;1952;1946;1960;1977;1990;1995;1996;2016;2006;2013;2014;2018;2023;2026;2031;2032;2022;2020;2024;2025;2019
"16 Amapá";99;104;104;104;104;104;109;109;109;111;111;111;137;139;147;147;147;148;140;141;142;142;142;139;139;140;140;169;169;171;176;190;192;192;192;186;187;169;166;171;172;172;175;176;176;174;177;178
"17 Tocantins";684;692;696;698;697;699;701;705;711;702;702;706;770;773;781;782;803;807;804;813;805;810;808;810;817;821;821;826;827;846;848;846;846;853;863;857;857;857;857;868;875;868;870;880;888;888;889;889
"21 Maranhão";1289;1305;1315;1327;1343;1360;1370;1369;1382;1382;1383;1391;1587;1581;1620;1634;1641;1658;1660;1648;1651;1650;1661;1654;1660;1672;1684;1684;1699;1705;1727;1731;1730;1729;1729;1742;1751;1751;1750;1754;1761;1738;1729;1739;1734;1734;1753;1755
"22 Piauí";652;660;660;660;661;661;650;654;654;647;646;643;713;725;742;753;762;767;767;767;782;780;786;783;784;785;787;793;796;793;796;803;797;800;798;798;798;799;797;798;799;792;795;791;790;795;795;794
"23 Ceará";2107;2107;2115;2121;2122;2138;2137;2149;2152;2153;2157;2259;2635;2642;2670;2702;2722;2736;2755;2750;2740;2739;2743;2754;2739;2758;2767;2779;2805;2810;2821;2824;2838;2842;2851;2848;2864;2883;2883;2896;2918;2948;2966;2972;2977;2998;2996;3007
"24 Rio Grande do Norte";1046;1052;1050;1051;1052;1053;1062;1068;1066;1063;1066;1067;1187;1206;1227;1232;1233;1244;1257;1251;1252;1259;1256;1261;1267;1267;1270;1277;1279;1280;1284;1282;1295;1294;1294;1297;1300;1309;1309;1310;1303;1296;1297;1297;1301;1301;1299;1299
