CNES - Recursos Físicos - Equipamentos - Brasil
Estab c/ Equip SUS por Unidade da Federação e Ano/mês compet.
Grupo de Equipamentos: Equipamentos por Metodos Graficos
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";105;105;105;105;104;104;106;106;107;106;108;107;142;143;143;143;144;145;144;146;146;146;147;147;146;147;150;151;153;161;160;162;162;163;164;164;165;165;165;165;171;171;175;177;182;182;182;184
"12 Acre";30;31;31;31;31;31;31;31;31;31;31;31;45;45;45;46;49;49;51;50;51;51;53;53;54;54;56;56;55;56;56;56;56;56;56;56;56;56;56;57;57;57;57;58;58;58;58;58
"13 Amazonas";160;161;161;161;161;162;163;163;163;165;165;166;177;180;181;181;181;182;182;184;186;186;186;186;188;189;188;188;189;190;194;196;196;200;200;201;199;198;197;196;194;194;193;194;197;197;198;198
"14 Roraima";45;45;45;47;47;47;48;48;48;48;48;48;54;54;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;56;57;57;56;56;56;55;55;55;55;55;54;54;54;54;53
"15 Pará";335;336;337;340;341;343;348;345;342;345;346;346;415;417;420;423;425;428;432;429;434;434;434;434;435;445;450;454;454;458;456;457;454;455;460;459;459;455;458;460;465;465;467;466;466;466;468;467
"16 Amapá";19;21;21;21;21;21;22;22;22;23;23;24;31;31;32;34;33;33;34;35;36;36;36;35;36;37;38;43;42;44;46;51;52;52;53;53;55;50;50;51;51;51;51;51;52;52;52;52
"17 Tocantins";106;107;108;108;108;109;110;112;112;111;112;111;118;119;118;117;119;119;119;119;118;121;122;124;128;132;133;134;135;137;137;138;140;140;139;139;140;142;142;143;144;144;145;144;144;146;147;148
"21 Maranhão";363;361;361;362;362;368;370;373;374;374;374;376;399;400;402;404;406;407;412;412;416;416;420;420;423;425;427;432;435;436;439;439;442;441;446;448;452;450;450;453;455;453;454;455;454;454;456;456
"22 Piauí";163;162;162;163;162;162;159;159;160;160;160;160;171;172;172;172;172;173;173;175;177;174;175;175;176;177;179;182;184;181;181;184;183;183;181;181;184;187;188;190;190;189;189;188;188;190;190;190
"23 Ceará";438;442;444;441;443;446;443;443;448;449;453;462;509;509;511;511;512;515;517;519;520;520;523;525;525;527;531;534;539;541;550;560;565;565;564;566;570;570;571;574;577;579;580;581;583;581;581;585
"24 Rio Grande do Norte";310;310;312;313;315;315;318;320;321;320;320;321;352;355;352;355;356;359;363;362;365;367;365;365;365;367;369;369;371;371;372;373;378;379;378;378;382;386;386;386;384;382;382;384;388;389;390;391
"25 Paraíba";400;402;406;405;408;407;408;409;413;413;416;419;453;453;455;457;458;464;466;464;463;467;466;472;470;470;470;471;474;477;475;477;478;479;479;479;480;482;488;492;494;495;498;495;495;505;503;502
