CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade Não SUS por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";151;151;151;151;143;143;167;167;173;186;191;197;406;480;423;395;376;408;415;421;404;404;396;413;403;424;608;543;504;365;355;347;342;322;322;331;346;381;388;362;395;399;399;396;393;405;407;417
"12 Acre";29;32;37;37;37;37;37;37;37;37;37;37;154;134;349;349;349;255;255;245;135;135;135;125;135;135;175;125;95;89;48;53;50;50;50;50;50;50;50;50;50;50;98;98;98;110;98;98
"13 Amazonas";249;220;219;218;228;228;228;208;208;228;228;249;506;583;517;443;444;419;419;411;495;473;441;431;581;585;596;426;447;254;248;245;245;302;308;375;395;399;392;385;385;310;324;366;388;458;388;393
"14 Roraima";20;20;20;20;20;20;20;20;20;20;20;13;101;137;38;40;49;43;43;48;48;39;39;39;74;85;41;41;40;39;39;39;24;24;43;48;48;48;27;27;27;28;30;30;30;51;30;30
"15 Pará";623;642;636;643;643;647;641;671;671;618;658;665;1218;1295;1580;1169;1081;1004;987;946;959;984;1002;1096;1154;1176;1128;959;927;653;629;620;620;629;649;655;648;572;610;587;611;607;609;629;635;632;578;647
"16 Amapá";50;50;66;66;66;66;66;73;73;64;71;54;160;172;145;146;126;125;170;173;172;130;130;150;174;174;134;144;84;67;67;67;77;77;77;96;111;93;92;97;112;113;125;114;114;114;114;97
"17 Tocantins";123;123;123;124;133;141;146;146;144;144;144;144;276;272;369;407;545;424;396;391;409;413;426;442;479;456;488;506;506;323;249;242;308;325;319;307;310;298;310;311;315;315;315;318;318;324;324;324
"21 Maranhão";454;466;461;491;481;481;482;482;494;459;441;453;1020;1037;985;902;811;822;796;955;863;934;1069;1065;1216;1214;1208;1151;1097;726;738;748;721;744;744;703;705;705;619;599;568;584;602;593;580;659;642;613
"22 Piauí";198;212;211;219;219;209;194;214;227;234;251;234;424;594;379;330;327;345;336;375;375;465;486;486;563;563;650;650;641;481;448;393;268;246;222;245;245;235;255;255;282;282;282;286;286;286;265;269
"23 Ceará";598;592;576;614;646;673;670;669;658;674;667;663;1156;1406;1382;1173;1099;1039;1044;1044;1237;1439;1528;1468;1767;1751;1647;1231;1069;689;751;807;848;872;876;841;831;851;836;838;809;814;831;851;844;817;793;800
