CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade SUS por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";264;264;264;264;264;264;264;264;258;258;257;257;413;425;557;585;635;635;635;590;595;590;590;590;575;570;420;417;432;418;418;417;418;420;420;411;412;412;412;426;405;410;411;415;413;413;408;408
"12 Acre";110;110;105;105;105;105;105;105;105;105;103;105;150;190;190;193;192;197;197;197;191;191;191;191;191;191;151;164;164;164;164;164;164;164;164;164;176;176;176;176;176;176;165;165;165;153;165;165
"13 Amazonas";625;632;633;633;633;633;633;636;635;635;635;641;956;896;1086;1127;1163;1181;1165;1165;1051;1051;1057;1055;985;980;932;950;951;963;954;954;954;915;888;824;802;804;814;810;811;861;862;863;865;795;865;869
"14 Roraima";75;75;74;74;74;74;74;74;74;74;74;81;130;130;220;203;193;165;165;165;165;169;169;169;169;169;152;152;136;136;136;136;136;135;126;121;122;122;138;138;138;137;134;134;134;116;134;134
"15 Pará";924;901;904;904;904;903;903;901;902;933;929;930;1315;1321;1318;1873;1889;1934;1924;1942;1939;1945;1950;1822;1608;1589;1610;1585;1582;1609;1598;1592;1593;1595;1564;1566;1565;1563;1559;1567;1574;1584;1581;1586;1594;1595;1590;1590
"16 Amapá";54;54;55;55;55;55;55;69;69;69;69;90;81;81;147;166;166;166;166;169;171;171;174;88;88;88;133;133;133;133;133;133;133;133;133;135;135;135;141;138;135;135;135;135;135;135;135;139
"17 Tocantins";220;220;220;221;221;221;220;220;220;220;220;220;403;383;353;351;359;491;551;560;560;564;568;552;515;514;329;329;321;322;312;312;290;275;275;278;279;279;279;285;285;283;284;285;285;296;297;299
"21 Maranhão";745;733;733;714;734;734;758;758;734;706;724;712;901;972;1293;1423;1501;1554;1544;1395;1346;1285;1155;1133;1000;1002;1041;1048;1048;1060;1063;1073;1088;1087;1087;1138;1140;1136;1185;1205;1273;1291;1275;1285;1285;1239;1291;1272
"22 Piauí";341;341;341;334;334;344;346;349;349;351;351;351;581;503;701;762;790;794;807;777;763;673;653;653;571;571;517;554;554;553;539;539;538;511;505;505;505;505;500;490;483;483;483;483;483;482;493;489
"23 Ceará";1174;1178;1180;1180;1180;1180;1186;1188;1190;1192;1192;1205;1741;1794;2407;2804;3006;3074;3094;3059;2850;2179;2046;2042;1887;1838;1848;1859;1821;1783;1786;1789;1757;1743;1744;1759;1769;1756;1763;1755;1779;1765;1758;1762;1776;1779;1795;1802
"24 Rio Grande do Norte";460;460;472;473;465;473;473;473;465;453;453;468;753;764;801;961;1027;1053;1058;1055;1054;1060;963;916;731;732;703;699;699;699;698;700;699;679;663;669;668;668;668;669;670;668;668;668;668;668;668;668
"25 Paraíba";575;575;582;582;586;586;586;586;611;611;611;611;847;909;965;1021;1156;1214;1228;1258;1258;1198;1259;1260;1206;1206;882;882;881;882;881;882;882;872;871;851;845;845;832;832;832;832;838;815;833;831;831;846
"26 Pernambuco";1376;1376;1376;1376;1374;1374;1374;1417;1417;1419;1423;1423;2021;2003;2231;2612;2834;2895;2910;2912;2864;2760;2530;2510;2466;2460;1794;1804;1802;1803;1801;1803;1801;1781;1781;1770;1773;1762;1777;1767;1780;1780;1796;1796;1796;1762;1770;1756
"27 Alagoas";476;476;476;466;466;466;474;473;467;469;469;469;581;622;793;869;872;872;872;832;832;832;832;852;741;741;638;638;638;638;636;636;636;626;626;632;602;632;640;651;651;661;681;671;671;661;671;674
"28 Sergipe";345;344;344;344;344;344;344;344;344;344;344;344;468;468;524;618;658;663;678;642;573;558;423;414;392;392;393;393;393;382;390;390;389;389;392;398;398;398;398;398;399;407;408;408;408;413;446;446
"29 Bahia";1598;1592;1593;1593;1591;1542;1680;1658;1645;1651;1650;1650;2418;2723;2847;3185;3477;3685;3717;3643;3392;3281;3088;3083;2757;2788;2448;2420;2427;2422;2422;2416;2415;2423;2430;2399;2406;2407;2418;2422;2394;2417;2417;2426;2471;2478;2416;2400
"31 Minas Gerais";3314;3278;3270;3286;3299;3300;3323;3329;3341;3348;3353;3398;4819;4866;5728;6258;6852;7054;7089;7172;7065;7033;6748;6707;5459;5415;4224;4230;4200;4205;4197;4182;4163;4176;4179;4189;4193;4193;4223;4235;4218;4252;4238;4235;4230;4215;4252;4245
"32 Espírito Santo";640;640;640;643;637;631;622;631;631;630;630;631;1117;1285;1318;1578;1702;1742;1755;1744;1770;1770;1219;1230;1220;1204;959;959;959;957;972;976;976;994;994;1032;1025;1018;1048;1052;1051;1120;1090;1123;1123;1057;1123;1112
"33 Rio de Janeiro";2422;2455;2459;2455;2451;2418;2434;2463;2481;2509;2503;2507;3396;3520;3514;3658;4316;4482;4513;4542;4556;4559;4558;4546;4034;4034;3246;3308;3291;3345;3300;3281;3281;3301;3303;3359;3346;3343;3354;3400;3377;3415;3401;3432;3429;3439;3429;3434
"35 São Paulo";7015;7006;7037;7044;7029;7019;7024;7018;7017;7012;7022;7153;9686;9973;11960;13808;14400;14762;14907;15052;13852;13307;11867;11453;10369;10357;9141;9239;9237;9238;9244;9246;9251;9225;9200;9288;9279;9279;9190;9224;9216;9208;9210;9201;9221;9178;9239;9244
"41 Paraná";2138;2138;2162;2163;2163;2161;2157;2156;2202;2210;2210;2282;2981;3033;3603;3827;3918;3972;4023;4016;4014;3867;3443;3363;3281;3278;2587;2613;2603;2608;2610;2595;2603;2608;2593;2588;2591;2594;2617;2677;2679;2684;2671;2670;2677;2585;2669;2667
"42 Santa Catarina";949;947;927;954;961;945;959;959;959;951;953;956;1407;1553;1770;1842;2201;2311;2335;2294;2290;2257;2038;2002;1795;1754;1256;1259;1256;1259;1268;1270;1270;1281;1281;1302;1302;1300;1308;1316;1354;1361;1360;1359;1386;1363;1489;1490
"43 Rio Grande do Sul";2103;2103;2094;2140;2139;2136;2169;2161;2161;2143;2148;2143;2915;3068;3677;3916;3979;4106;4095;4025;3878;3821;3739;3701;3411;3389;2436;2441;2410;2420;2405;2404;2396;2395;2379;2405;2395;2398;2399;2393;2393;2411;2427;2425;2419;2375;2415;2402
"50 Mato Grosso do Sul";371;371;371;371;371;371;371;371;391;391;401;401;559;573;678;800;839;873;870;869;850;850;642;576;535;535;552;552;552;545;545;531;531;531;531;531;530;531;532;549;547;557;566;566;575;563;585;585
"51 Mato Grosso";429;430;430;430;447;444;444;446;446;444;442;444;627;653;977;1004;1200;1192;1217;1252;1243;1168;1156;1085;744;745;690;685;691;693;696;696;695;702;701;690;690;692;691;685;663;671;678;687;695;686;696;703
