CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade Não SUS por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";993;1014;1038;1038;1008;1001;1101;1100;1133;1039;1039;1118;1027;1021;1030;1033;1038;1052;1052;1052;1052;1049;1040;1020;1005;1026;1057;1087;1100;1028;1025;1036;1032;1025;1025;1025;1064;1055;1051;1040;1044;1069;1024;1015;1008;1026;1033;1078
"12 Acre";155;155;155;155;155;155;155;169;169;169;115;115;163;141;157;157;123;168;162;164;164;164;164;164;164;164;171;171;171;171;155;155;145;145;145;145;145;145;145;145;145;145;153;145;145;145;145;145
"13 Amazonas";806;805;805;825;825;825;825;800;800;825;813;871;742;805;805;805;806;806;806;835;916;916;908;910;912;912;850;786;858;845;905;906;902;879;895;836;837;829;829;789;789;809;750;855;914;914;914;914
"14 Roraima";85;85;85;81;82;82;82;82;82;62;62;60;155;147;66;62;62;62;62;104;104;104;104;104;104;98;98;98;98;98;98;98;98;98;98;98;98;98;98;97;97;109;135;135;135;135;135;135
"15 Pará";4528;4483;4446;4481;4529;4521;4517;4439;4458;4108;4192;4192;3622;3667;3572;3545;3555;3556;3459;3472;3524;3565;3476;3570;3582;3516;3554;3548;3541;3535;3558;3557;3496;3466;3548;3597;3621;3351;3527;3484;3393;3396;3379;3410;3438;3547;3308;3549
"16 Amapá";178;170;170;170;170;170;144;144;144;102;133;133;122;122;122;122;122;122;122;124;122;122;132;132;132;132;132;132;132;132;132;132;132;132;132;132;177;177;177;177;178;178;178;208;208;208;208;178
"17 Tocantins";447;457;457;457;470;525;525;525;526;515;546;546;644;644;629;631;636;636;636;700;709;729;725;725;725;722;722;723;723;712;708;713;743;719;722;722;719;663;645;642;642;647;651;647;644;644;644;644
"21 Maranhão";1624;1686;1592;1564;1543;1543;1605;1605;1605;1429;1417;1415;1661;1696;1692;1785;1786;1773;1778;1810;1810;1799;1794;1794;1767;1873;1859;1870;1997;1948;1991;1986;1895;1987;1992;2013;2013;2013;2040;2042;2043;2145;2137;2118;2026;2026;2008;2015
"22 Piauí";969;969;973;974;976;988;977;1017;1013;1046;1079;1040;1132;1152;1143;1154;1154;1154;1154;1167;1167;1167;1167;1181;1181;1178;1177;1177;1177;1166;1158;1262;1264;1283;1264;1371;1389;1323;1306;1314;1380;1383;1380;1397;1398;1394;1374;1374
"23 Ceará";4132;4109;4015;4047;4346;4382;4442;4408;4379;4397;3948;3948;4142;4146;4178;4061;4072;4071;4072;4097;4317;4320;4352;4272;4239;4237;4334;4404;4416;4336;4317;4426;4492;4517;4486;4505;4460;4536;4510;4492;4494;4386;4357;4384;4426;4306;4331;4334
