CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";3311;3311;3305;3305;3326;3336;3336;3325;3292;3356;3357;3289;3510;3512;3564;3604;3586;3555;3541;3619;3639;3651;3633;3653;3646;3634;3602;3609;3621;3717;3693;3653;3628;3615;3606;3606;3633;3635;3642;3637;3589;3604;3658;3698;3691;3660;3663;3675
"12 Acre";1297;1303;1304;1304;1304;1304;1304;1307;1307;1308;1311;1308;1460;1553;1553;1560;1536;1447;1439;1448;1421;1423;1414;1363;1380;1380;1405;1455;1484;1503;1483;1499;1495;1479;1479;1450;1452;1445;1445;1445;1470;1470;1401;1408;1408;1408;1409;1409
"13 Amazonas";5023;4930;4911;4937;4961;4964;4966;4952;4955;4959;4930;4939;5095;5117;5243;5187;5224;5217;5225;5208;5142;5252;5154;5175;5292;5265;5283;5227;5234;5240;5244;5226;5248;5243;5222;5282;5316;5294;5309;5321;5318;5329;5376;5368;5377;5375;5377;5364
"14 Roraima";856;856;849;970;970;970;970;970;987;988;988;988;1398;1413;1444;1403;1155;1217;1215;1215;1215;1231;1231;1239;1239;1340;1375;1375;1279;1279;1280;1280;1280;1285;1249;1249;1220;1220;1300;1300;1320;1318;1288;1288;1288;1305;1288;1280
"15 Pará";10792;10774;10750;10754;10735;10721;10705;10784;10610;10690;10674;10676;11749;11648;11726;11699;11629;11629;11650;11624;11665;11658;11689;11520;11342;11354;11383;11427;11346;11365;11330;11351;11322;11345;11324;11252;11209;11228;11188;11190;11382;11383;11304;11070;11059;10980;10930;10938
"16 Amapá";961;969;981;981;985;1014;1040;1035;1028;1028;1013;1013;1092;1118;1218;1289;1246;1240;1270;1275;1277;1112;1115;1027;1158;1113;1148;1225;1165;1181;1181;1181;1292;1214;1300;1280;1250;1281;1337;1217;1373;1353;1311;1297;1314;1339;1339;1289
"17 Tocantins";2213;2213;2331;2349;2352;2353;2343;2343;2343;2304;2304;2343;2354;2354;2374;2377;2381;2381;2398;2390;2381;2355;2343;2346;2350;2343;2321;2330;2329;2322;2315;2325;2389;2404;2371;2382;2388;2407;2430;2436;2442;2460;2466;2487;2497;2553;2552;2564
"21 Maranhão";12487;12434;12441;12408;12404;12413;12499;12520;12613;12453;12377;12377;13306;13308;13550;13505;13372;13461;13277;13236;13166;13134;13189;13053;13093;13156;13220;13254;13140;13162;13212;13256;13293;13293;13342;13330;13352;13329;13256;13242;13266;13242;13268;13243;13305;13282;13291;13184
"22 Piauí";6642;6625;6625;6624;6624;6620;6530;6546;6546;6517;6523;6519;6893;6900;6913;6899;6897;6897;6870;6891;6897;6899;6837;6833;6860;6860;6839;6822;6821;6600;6619;6510;6469;6316;6321;6302;6279;6200;6294;6326;6338;6240;6242;6207;6203;6242;6210;6220
"23 Ceará";13839;13851;13723;13855;13855;13914;13919;13985;13954;13982;14160;14146;15242;15250;15368;15731;15572;15546;15485;15585;15422;15368;15387;15476;15460;15440;15277;15306;15301;15350;15403;15331;15217;15321;15320;15347;15395;15254;15181;15197;15213;15200;15117;15068;15090;15055;15039;15192
"24 Rio Grande do Norte";6154;6117;6112;6090;6103;6111;6117;6110;6112;6064;6044;6049;6433;6401;6427;6399;6311;6307;6344;6305;6325;6354;6263;6278;6316;6280;6191;6196;6245;6225;6144;6070;6075;6075;6075;6098;6074;6103;6095;6092;6109;6074;6152;6210;6217;6163;6165;6188
"25 Paraíba";6882;6873;6854;6833;6820;6850;6843;6838;6829;6861;6919;6918;6978;7050;7048;7056;7098;7110;7132;7147;7146;7157;7131;7144;7143;7065;7045;7066;7065;7124;7066;6938;6942;6944;7102;7110;7124;7164;7152;7152;7160;7151;7212;7268;7307;7344;7341;7387
