CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Fem por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";58;58;58;58;54;54;58;58;58;58;58;58;83;83;83;93;99;94;95;95;91;95;95;90;95;91;96;92;94;98;96;99;95;96;95;99;99;99;100;93;96;99;98;98;100;99;104;104
"12 Acre";39;39;39;39;39;39;39;39;39;39;39;39;52;52;52;52;52;52;52;55;48;56;56;57;50;47;55;63;60;55;52;60;56;57;54;57;64;64;54;64;54;57;64;54;53;60;65;65
"13 Amazonas";233;232;234;234;234;234;234;231;231;235;243;254;286;291;287;290;293;295;289;292;292;290;284;286;284;287;283;287;285;291;295;297;292;289;288;288;290;293;291;297;292;292;296;296;300;300;298;302
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;22;22;22;22;22;22;23;23;24;24;24;24;24;24;24;24;24;25;26;26;27;27;27;27;27;27;27;28;28;32;27;29;29;28;28;26
"15 Pará";291;291;296;301;301;299;299;299;295;285;285;285;349;352;356;355;355;357;356;358;367;361;356;356;356;361;363;363;364;375;388;387;385;380;380;368;372;367;367;381;384;384;398;402;419;439;430;440
"16 Amapá";20;20;20;20;20;20;20;20;20;20;20;20;22;22;22;22;22;22;22;22;24;24;24;24;24;24;24;26;26;26;27;27;27;27;27;27;27;29;29;29;30;30;31;31;31;31;33;34
"17 Tocantins";156;159;159;159;161;158;158;158;158;158;158;158;163;163;165;165;165;166;167;170;170;170;176;176;176;175;175;176;176;174;174;174;174;174;173;172;171;171;171;168;169;170;170;168;168;169;169;169
"21 Maranhão";211;211;211;211;211;211;206;206;206;202;202;202;298;303;302;305;310;313;313;314;313;311;311;311;296;297;298;300;303;303;304;296;296;296;296;296;296;294;294;292;296;291;294;294;294;294;292;292
"22 Piauí";89;89;89;89;89;89;82;85;91;91;91;91;114;116;117;117;117;115;117;115;117;117;117;115;117;117;104;105;106;107;111;117;125;133;133;130;127;125;133;137;143;144;141;147;146;146;147;150
"23 Ceará";302;299;299;301;304;304;304;306;302;301;290;298;565;568;571;587;592;594;599;604;604;606;607;607;605;609;609;616;613;613;617;619;616;635;635;648;635;634;645;633;633;647;645;651;638;655;652;638
