CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";279;277;277;277;277;277;277;283;283;280;280;280;290;301;296;291;301;306;307;335;348;349;351;334;351;334;362;351;354;353;321;363;341;343;376;372;351;366;362;342;353;345;327;355;355;324;343;340
"12 Acre";120;120;120;120;120;120;120;120;120;120;78;78;92;91;77;79;78;78;87;90;103;102;103;103;103;103;107;98;97;98;100;100;101;101;102;101;99;100;100;109;108;109;99;98;98;100;99;103
"13 Amazonas";473;478;478;481;483;483;483;472;472;485;485;487;466;477;500;504;501;503;487;489;486;486;482;487;495;491;462;468;485;456;456;464;456;463;455;454;449;454;455;450;449;455;426;439;452;438;443;446
"14 Roraima";70;70;70;70;70;70;70;70;71;69;69;69;96;89;95;102;104;104;90;94;95;106;106;107;100;105;99;107;107;86;104;90;80;91;93;54;47;70;57;54;70;49;56;59;68;55;56;54
"15 Pará";722;722;719;740;751;746;751;748;749;741;742;758;839;839;845;847;844;847;843;845;834;823;833;832;846;873;869;874;872;893;896;895;885;901;899;896;894;865;870;876;910;890;919;924;897;924;881;899
"16 Amapá";74;74;74;74;74;74;79;79;79;83;83;83;104;104;104;104;104;104;104;104;106;106;106;106;106;106;106;106;106;106;106;106;107;107;107;107;107;107;107;115;115;115;116;115;116;114;114;118
"17 Tocantins";205;205;209;209;203;207;210;210;210;201;201;210;223;223;235;235;235;235;235;227;225;225;235;235;235;239;241;241;227;215;215;216;228;259;281;294;294;294;307;307;307;307;307;307;307;307;307;307
"21 Maranhão";705;708;708;712;717;715;713;714;711;686;686;688;741;751;751;776;777;775;765;781;781;784;774;741;724;724;732;734;742;739;737;747;742;755;750;768;752;768;772;761;758;745;795;794;780;783;782;779
"22 Piauí";220;220;220;220;220;223;218;226;233;233;233;233;211;192;209;192;211;211;192;192;217;207;208;205;199;210;214;214;205;214;205;219;226;226;217;255;256;255;247;256;254;254;265;265;256;256;257;249
"23 Ceará";850;850;847;850;850;862;864;864;864;865;886;899;1031;1023;1022;1033;1041;1043;1045;1041;1044;1042;1020;1004;947;951;947;948;943;943;942;963;979;988;988;985;1003;991;999;1009;1007;1007;1015;1088;1094;1095;1104;1103
"24 Rio Grande do Norte";460;458;455;455;457;457;457;458;458;416;415;415;474;475;477;477;477;477;476;490;490;491;485;481;484;492;496;501;501;481;484;483;489;491;491;491;491;491;491;491;488;488;489;493;479;479;479;471
"25 Paraíba";342;342;361;360;342;356;356;356;359;359;335;335;371;381;381;394;390;404;404;404;407;407;408;408;405;405;408;412;433;430;417;426;423;426;426;426;423;426;426;426;426;430;431;432;432;432;431;431
"26 Pernambuco";1023;1024;1037;1047;1060;1065;1059;1050;1057;1034;1026;1080;1147;1146;1182;1187;1190;1216;1213;1203;1204;1210;1210;1213;1231;1236;1247;1246;1251;1249;1247;1257;1274;1269;1279;1308;1303;1322;1318;1367;1353;1375;1380;1377;1374;1343;1347;1359
"27 Alagoas";272;272;272;278;279;279;279;279;279;270;274;274;321;323;322;322;330;332;333;338;354;354;354;354;352;352;351;352;350;350;350;348;350;347;350;350;349;351;356;356;354;353;353;357;358;358;357;358
"28 Sergipe";166;166;166;166;166;166;166;166;165;165;161;161;180;185;185;184;183;183;183;183;184;183;185;185;184;184;185;186;180;180;181;180;182;182;182;182;181;182;182;182;170;169;168;167;168;148;155;155
"29 Bahia";1613;1620;1620;1622;1609;1617;1665;1662;1659;1650;1639;1650;1815;1820;1817;1817;1814;1832;1896;1896;1886;1885;1878;1865;1865;1864;1868;1882;1904;1905;1936;1972;1971;1964;1949;1923;1916;1925;1929;1935;1942;1931;1940;1949;1938;1955;1955;1962
"31 Minas Gerais";2144;2149;2136;2146;2142;2121;2117;2091;2094;2097;2094;2101;2477;2461;2516;2560;2581;2556;2551;2517;2535;2533;2531;2552;2555;2569;2593;2574;2570;2560;2530;2527;2548;2531;2602;2598;2636;2565;2628;2574;2575;2598;2662;2552;2550;2564;2635;2625
"32 Espírito Santo";413;414;414;419;419;419;419;419;414;414;410;410;458;461;470;473;477;485;486;490;489;489;486;490;486;486;490;490;494;495;488;492;488;479;479;474;480;480;478;471;477;476;479;483;479;483;485;480
"33 Rio de Janeiro";2803;2793;2809;2807;2831;2854;2892;2879;2901;2645;2646;2646;2771;2773;2817;2750;2755;2761;2772;2755;2734;2746;2755;2711;2763;2578;2604;2561;2565;2526;2535;2492;2468;2473;2511;2461;2474;2500;2486;2504;2488;2514;2546;2502;2540;2556;2547;2558
"35 São Paulo";5125;5148;5135;5148;5231;5259;5308;5376;5381;5372;5365;5368;5768;5757;5895;5906;5953;5960;5942;5978;5973;5937;6043;6069;6079;6036;6084;6093;6165;6168;6093;6091;6120;6149;6123;6153;6156;6183;6173;6161;6196;6192;6206;6216;6308;6332;6344;6329
"41 Paraná";1358;1359;1362;1358;1371;1378;1371;1377;1383;1383;1387;1385;1423;1429;1428;1435;1434;1434;1414;1436;1419;1436;1422;1431;1436;1407;1417;1432;1421;1440;1446;1447;1442;1450;1450;1461;1453;1486;1476;1469;1499;1512;1514;1505;1498;1526;1504;1527
"42 Santa Catarina";862;872;867;870;881;883;898;891;891;894;894;905;977;996;1002;996;999;1006;1021;1050;1050;1067;1068;1068;1068;1070;1072;1078;1076;1070;1058;1069;1061;1059;1061;1069;1068;1053;1065;1070;1068;1060;1106;1110;1125;1124;1129;1163
"43 Rio Grande do Sul";1512;1511;1514;1517;1504;1446;1461;1458;1454;1454;1450;1435;1603;1603;1612;1616;1621;1575;1577;1574;1569;1551;1590;1583;1579;1560;1561;1556;1556;1587;1563;1561;1589;1556;1503;1517;1539;1505;1541;1552;1568;1559;1557;1546;1564;1551;1554;1567
"50 Mato Grosso do Sul";394;395;398;398;399;399;399;399;402;402;403;418;436;438;438;438;439;439;439;439;454;456;458;458;458;466;457;457;456;476;483;479;479;495;488;488;495;489;498;484;494;494;461;463;463;456;459;450
"51 Mato Grosso";316;316;317;323;322;322;322;327;327;348;347;347;411;418;423;431;421;420;429;419;428;428;438;438;423;428;433;411;425;445;442;437;439;429;444;441;440;430;411;424;424;431;434;447;437;440;442;457
"52 Goiás";536;536;535;542;544;546;546;543;593;592;592;605;671;684;685;740;740;748;713;717;716;730;729;729;722;720;739;735;730;746;770;771;779;768;779;802;767;778;774;783;777;783;773;777;783;794;769;770
"53 Distrito Federal";889;889;889;895;895;895;913;913;913;888;899;902;835;830;833;843;833;824;837;825;839;846;855;892;889;894;891;917;904;918;904;904;914;915;909;893;919;910;909;911;907;924;913;925;925;925;926;923
"Total";23946;23988;24009;24104;24217;24239;24413;24430;24522;24146;24080;24222;26231;26270;26617;26732;26833;26858;26841;26912;26970;26979;27113;27081;27085;26883;27035;27024;27119;27129;27009;27099;27161;27217;27294;27323;27342;27346;27417;27439;27537;27565;27737;27745;27844;27862;27904;27983
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
