CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Ped por Unidade da Federação e Ano/mês compet.
Período:2018, 2021-2023
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"11 Rondônia";78;78;78;78;74;74;78;78;78;77;77;77;114;114;120;119;124;124;125;121;121;122;122;118;118;120;122;123;124;127;128;128;128;128;129;129;129;130;129;130;129;132;132;133;132;135;139;141
"12 Acre";64;64;64;64;64;64;64;64;64;64;43;43;62;62;62;62;61;63;64;69;58;61;60;58;58;52;60;64;60;63;57;58;65;66;85;69;92;69;92;85;85;69;92;63;86;87;87;94
"13 Amazonas";266;266;266;266;266;266;266;261;261;268;273;277;274;275;275;274;275;275;275;273;273;274;274;274;274;275;273;262;265;264;266;266;266;260;260;260;260;260;260;260;260;261;257;258;263;264;263;254
"14 Roraima";13;13;13;13;13;13;13;13;13;13;13;13;24;24;23;23;23;23;23;26;26;26;27;27;27;27;28;28;28;28;29;29;29;29;29;29;29;29;29;29;29;29;29;30;30;30;30;30
"15 Pará";350;350;356;368;375;373;373;373;373;364;363;363;415;418;421;419;419;425;425;426;419;403;399;399;405;411;416;417;416;441;453;454;444;444;444;442;442;423;429;440;442;443;450;455;478;486;486;489
"16 Amapá";31;31;31;31;31;31;34;34;34;37;37;37;47;47;47;47;47;57;57;57;59;59;59;59;59;59;59;59;59;59;60;60;60;60;60;60;83;86;86;86;86;86;87;87;87;87;88;89
"17 Tocantins";135;135;135;135;135;132;132;132;132;132;132;132;153;153;153;153;153;154;155;170;167;167;171;171;171;171;170;171;174;174;176;178;178;173;162;162;162;162;162;157;157;157;157;155;155;156;156;156
"21 Maranhão";236;234;234;245;245;242;240;240;240;231;231;231;333;344;344;346;344;347;347;348;347;347;347;347;347;348;349;350;353;352;354;363;363;363;363;364;364;364;362;355;355;368;375;376;382;383;383;383
"22 Piauí";74;74;74;74;74;74;72;72;82;87;87;87;96;98;98;98;98;96;96;96;98;98;98;96;98;98;104;106;106;108;110;111;116;118;117;137;137;134;136;141;141;142;141;146;145;145;149;147
"23 Ceará";361;360;360;360;360;363;363;370;370;370;370;386;607;611;621;619;619;619;620;619;616;617;619;619;619;620;616;608;614;608;607;611;616;617;616;622;620;615;619;644;645;643;643;643;639;645;645;645
