 Morbidade Hospitalar do SUS - por local de residência - Brasil
Dias permanência por Unidade da Federação e Ano atendimento
Período:Jan/2018-Mar/2026
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;60894;559718;578318;471320;560682;561608;658393;669088;690239;71202;4881462
"12 Acre";-;-;-;-;-;-;-;-;-;22710;216073;214668;199369;230885;226274;261573;269561;276557;24698;1942368
"13 Amazonas";-;-;-;-;-;-;-;-;-;88397;995587;1037600;978079;1130623;1074332;1067635;1154878;1199301;197802;8924234
"14 Roraima";-;-;-;-;-;-;-;-;-;19060;242849;266072;230182;298597;329081;324291;261494;238177;8357;2218160
"15 Pará";-;-;-;-;122;-;-;-;-;189594;2055903;1994879;1842310;2093941;2202509;2289077;2357759;2507350;363819;17897263
"16 Amapá";-;-;-;-;-;-;-;-;-;14421;194980;206957;166710;195620;214149;241722;267095;265474;41985;1809113
"17 Tocantins";-;-;-;-;-;-;-;1396;-;43471;397890;468511;411249;449342;467213;503560;539486;551530;67115;3900763
"21 Maranhão";-;-;-;-;-;6111;4936;23794;27985;191954;2122834;2131488;1930232;2235016;2356136;2436619;2539041;2555774;362699;18924619
"22 Piauí";-;1996;2800;11654;212;4280;9156;10784;8788;82189;984619;1026595;850597;1002210;1069579;1130000;1113322;1039019;173458;8521258
"23 Ceará";-;-;-;-;-;-;9464;4077;2546;288849;2809399;2978927;2572851;2974614;3160739;3242633;3330710;3422139;498117;25295065
"24 Rio Grande do Norte";-;10070;1696;6980;7517;1733;2298;8511;8578;141153;1014910;1020907;908445;994929;960209;981603;1012132;1021563;95107;8198341
"25 Paraíba";1000;-;-;-;446;636;3004;-;3458;98147;1058445;1072190;877567;1079585;1136938;1264554;1341165;1393200;219253;9549588
"26 Pernambuco";12542;1520;118173;13280;10889;15717;11957;6447;15104;196928;2985769;3050770;2650810;3075797;3185750;3254602;3276640;3329079;607768;25819542
"27 Alagoas";17018;1054;-;-;-;625;16024;5192;5324;83890;871602;928803;805147;894852;882644;953864;1006755;1017847;138620;7629261
"28 Sergipe";-;-;-;-;-;-;27;333;473;85000;531559;545281;491575;554862;585094;624304;657744;657678;55252;4789182
"29 Bahia";133885;2448;3372;28007;81220;9091;14346;15245;28127;441381;3857111;3892260;3374071;3827724;3972152;4213296;4413870;4507322;635218;33450146
"31 Minas Gerais";79640;5895;6663;16090;19991;31390;20858;22673;42640;638367;6377639;6481906;5655379;6469247;6671169;7079014;7389456;7488290;1184128;55680435
"32 Espírito Santo";-;-;-;-;-;-;467;-;1347;117763;1196753;1201348;1128476;1326920;1325543;1444450;1497359;1497015;249291;10986732
"33 Rio de Janeiro";230492;26692;21667;31840;72708;218538;144934;199927;551306;789720;4837449;5063638;4395139;4896246;5239808;5345425;5336784;5313582;707786;43423681
"35 São Paulo";3099176;165291;386846;222316;325601;412931;499405;319394;357158;1510218;12804212;13264524;11940086;13222002;12860439;13273275;13750483;13921452;2462950;114797759
"41 Paraná";6014;821;2738;-;892;-;1546;4755;4955;355358;3861510;3788284;3398543;3899472;3840831;4016939;4307368;4382895;676522;32549443
"42 Santa Catarina";-;-;-;-;-;-;5166;4406;240943;193935;2282051;2266597;2022179;2388031;2413151;2519396;2690322;2795546;419134;20240857
"43 Rio Grande do Sul";-;-;-;-;-;132;1703;65;986;416422;4583311;4643329;4043463;4566067;4638520;4778346;4899708;4938338;707206;38217596
"50 Mato Grosso do Sul";31;-;-;-;-;2191;-;1057;1213;118107;811007;835683;770512;874532;905032;944835;973235;983998;96731;7318164
"51 Mato Grosso";-;-;-;-;1657;-;-;-;820;77637;892932;902024;761526;907679;922627;1008401;1114453;1164792;151081;7905629
"52 Goiás";217987;20548;10522;18434;36168;24171;24439;45013;53060;193670;1839520;1881415;1716826;1940879;1993453;2150209;2186585;2236087;355642;16944628
"53 Distrito Federal";1664;-;-;-;-;-;-;1167;-;158495;975004;1030658;900036;1039298;1026901;1090082;1105899;1108933;185229;8623366
"Total";3799449;236335;554477;348601;557423;727546;769730;674236;1354811;6617730;61360636;62773632;55492679;63129652;64221881;67098098;69462392;70503177;10756170;540438655
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
