 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Unidade da Federação e Ano atendimento
Período:Jan/2018-Mar/2026
"Unidade da Federação";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"11 Rondônia";7505;120605;121505;102361;117091;119802;132743;133460;140915;18537;1014524
"12 Acre";2875;44484;43837;41070;47544;48975;56843;56484;58830;6457;407399
"13 Amazonas";12488;189023;199037;183969;215288;213892;216155;230844;262303;50054;1773053
"14 Roraima";2273;44403;45745;39908;44354;51047;49611;35016;35631;1323;349311
"15 Pará";29993;499670;488503;437972;481204;502466;534799;561019;579854;95468;4210948
"16 Amapá";2020;36306;39053;33154;37665;40092;54372;54720;56553;11269;365204
"17 Tocantins";6174;72722;85112;78458;85791;89133;98574;105116;109560;17637;748277
"21 Maranhão";18481;471053;463173;395167;456437;482348;486430;501647;510836;82196;3867768
"22 Piauí";9405;206219;213058;177651;201523;207218;218826;216272;211956;39802;1701930
"23 Ceará";31043;505865;527114;454473;500912;526578;552085;578639;597763;106726;4381198
"24 Rio Grande do Norte";12075;175484;180367;159039;178049;187325;201743;215268;220141;27420;1556911
"25 Paraíba";8002;189449;192463;157569;186351;203548;232020;256760;260700;48788;1735650
"26 Pernambuco";17283;551507;571586;478332;545104;582363;609104;653423;665238;134159;4808099
"27 Alagoas";8136;175333;175302;145644;163984;161872;164027;174767;176163;30098;1375326
"28 Sergipe";8026;93194;95047;84170;95407;105080;114790;120843;121807;15097;853461
"29 Bahia";49210;830924;852755;704371;767965;834551;904819;951247;969246;161157;7026245
"31 Minas Gerais";74100;1248311;1286824;1114796;1226247;1342708;1439746;1550548;1603144;298621;11185045
"32 Espírito Santo";18611;242427;249937;223011;260408;265352;288353;305051;315030;58531;2226711
"33 Rio de Janeiro";42336;705270;729083;651522;742018;789950;881067;904986;921606;154920;6522758
"35 São Paulo";100803;2449180;2512261;2197577;2313225;2460492;2604291;2778039;2881322;610686;20907876
"41 Paraná";51370;867391;883099;734514;775718;850393;923865;1022542;1083799;193486;7386177
"42 Santa Catarina";29018;492952;511397;432439;471649;532976;579571;651127;693449;124292;4518870
"43 Rio Grande do Sul";46055;747394;769415;664747;719533;772181;799639;829224;857281;151713;6357182
"50 Mato Grosso do Sul";17732;172062;180103;157192;172396;197798;211698;216281;215778;26909;1567949
"51 Mato Grosso";8977;193689;198626;169315;193524;206629;227838;248952;261383;40328;1749261
"52 Goiás";18869;370785;388602;348973;382751;410751;462847;490360;506626;91792;3472356
"53 Distrito Federal";16824;161945;182433;164429;184386;178286;185415;192789;192797;39084;1498388
"Total";649684;11857647;12185437;10531823;11566524;12363806;13231271;14035424;14509711;2636550;103567877
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
