 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano atendimento
Período:Jan/2018-Mar/2026
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;319;3476;3371;4053;5707;3809;3962;3919;4353;515;33484
"12 Acre";-;-;-;-;-;-;-;-;-;129;1500;1509;1807;2230;1570;1695;1741;1682;179;14042
"13 Amazonas";-;-;-;-;-;-;-;-;-;674;5957;6450;10055;11727;7456;7039;7348;7918;1626;66250
"14 Roraima";-;-;-;-;-;-;-;-;-;57;1349;1461;1728;2323;1543;1524;1127;943;24;12079
"15 Pará";-;-;-;-;-;-;-;-;-;1189;11779;11595;15427;18238;14411;14657;15128;16661;2384;121469
"16 Amapá";-;-;-;-;-;-;-;-;-;58;1037;1089;1486;1625;1372;1434;1364;1385;249;11099
"17 Tocantins";-;-;-;-;-;-;-;-;-;308;2415;2874;3465;4194;3142;3183;3570;3931;599;27681
"21 Maranhão";-;-;-;-;-;1;2;-;1;677;11006;11349;14780;17708;14020;14156;14733;15369;2532;116334
"22 Piauí";-;-;-;-;-;1;1;1;-;389;5860;6403;7167;9493;7902;7968;8215;7628;1352;62380
"23 Ceará";-;-;-;-;-;-;-;-;-;1528;19360;20345;23821;28431;23720;22443;23735;23752;4010;191145
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;1;700;6713;7068;7967;9777;7587;7191;7922;8214;909;64049
"25 Paraíba";-;-;-;-;-;-;-;-;-;580;8916;9412;10435;13212;11016;10751;12490;12968;2443;92223
"26 Pernambuco";-;-;4;1;4;-;1;2;1;838;23679;24772;28629;34009;28413;26735;27849;28133;5486;228556
"27 Alagoas";2;1;-;-;-;1;-;2;1;462;6588;6675;7402;9486;7152;7871;8019;8114;1294;63070
"28 Sergipe";-;-;-;-;-;-;-;-;-;815;4664;4904;5458;6401;5523;5415;5714;5621;444;44959
"29 Bahia";19;1;1;5;1;1;6;4;9;2629;29800;32071;35297;40576;34961;34682;36838;37704;5363;289968
"31 Minas Gerais";8;-;-;5;7;1;6;3;9;4219;57338;59621;63864;85876;68334;68780;72602;71887;12068;564628
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;935;9001;9330;12334;14696;11170;11488;11931;12313;2066;95264
"33 Rio de Janeiro";4;-;1;3;15;25;28;23;107;3876;47758;49762;59982;71689;57480;56777;57654;58894;8305;472383
"35 São Paulo";275;14;46;19;52;41;44;38;55;7543;122932;126462;146626;181940;139824;137514;145969;147357;26853;1183604
"41 Paraná";-;-;-;-;-;-;-;1;4;2768;33272;34007;38619;54804;39918;38804;42482;41995;6216;332890
"42 Santa Catarina";-;-;-;-;-;-;2;1;38;1444;20570;21173;23521;31025;24818;23327;25772;26413;4046;202150
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;2861;39097;39823;42656;56473;45636;42143;45524;44670;6581;365464
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;982;6669;6931;8392;11740;9096;8570;8997;9039;761;71177
"51 Mato Grosso";-;-;-;-;1;-;-;-;1;439;7191;7225;7899;11217;6804;7104;8019;8321;1181;65402
"52 Goiás";7;-;-;2;1;1;1;5;7;937;12421;13516;16655;22832;16722;16549;16837;17332;2793;136618
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;705;5282;5831;7087;8746;6146;6118;6355;6129;1200;53599
"Total";315;16;52;35;81;72;91;80;234;38061;505630;525029;606612;766175;599545;587880;621854;628726;101479;4981967
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
