 Óbitos por causas evitáveis de 5 a 74 anos - Ceará
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - CE";1
"230010 ABAIARA";41
"230015 ACARAPE";49
"230020 ACARAU";238
"230030 ACOPIARA";216
"230040 AIUABA";46
"230050 ALCANTARAS";37
"230060 ALTANEIRA";27
"230070 ALTO SANTO";69
"230075 AMONTADA";151
"230080 ANTONINA DO NORTE";24
"230090 APUIARES";57
"230100 AQUIRAZ";320
"230110 ARACATI";253
"230120 ARACOIABA";137
"230125 ARARENDA";60
"230130 ARARIPE";79
"230140 ARATUBA";66
"230150 ARNEIROZ";31
"230160 ASSARE";77
"230170 AURORA";85
"230180 BAIXIO";26
"230185 BANABUIU";63
"230190 BARBALHA";256
"230195 BARREIRA";93
"230200 BARRO";78
"230205 BARROQUINHA";64
"230210 BATURITE";129
"230220 BEBERIBE";202
"230230 BELA CRUZ";110
"230240 BOA VIAGEM";209
"230250 BREJO SANTO";189
"230260 CAMOCIM";216
"230270 CAMPOS SALES";107
"230280 CANINDE";276
"230290 CAPISTRANO";62
"230300 CARIDADE";61
"230310 CARIRE";60
"230320 CARIRIACU";95
"230330 CARIUS";61
"230340 CARNAUBAL";63
"230350 CASCAVEL";288
"230360 CATARINA";42
"230365 CATUNDA";36
"230370 CAUCAIA";1286
"230380 CEDRO";103
"230390 CHAVAL";50
"230393 CHORO";33
"230395 CHOROZINHO";85
"230400 COREAU";96
"230410 CRATEUS";351
"230420 CRATO";515
"230423 CROATA";72
"230425 CRUZ";101
"230426 DEPUTADO IRAPUAN PINHEIRO";39
"230427 ERERE";21
"230428 EUSEBIO";204
"230430 FARIAS BRITO";71
"230435 FORQUILHA";104
"230440 FORTALEZA";9560
"230445 FORTIM";61
"230450 FRECHEIRINHA";55
"230460 GENERAL SAMPAIO";26
"230465 GRACA";56
"230470 GRANJA";164
"230480 GRANJEIRO";21
"230490 GROAIRAS";41
"230495 GUAIUBA";84
"230500 GUARACIABA DO NORTE";169
"230510 GUARAMIRANGA";21
"230520 HIDROLANDIA";59
"230523 HORIZONTE";242
"230526 IBARETAMA";44
"230530 IBIAPINA";93
"230533 IBICUITINGA";62
"230535 ICAPUI";67
"230540 ICO";223
"230550 IGUATU";416
"230560 INDEPENDENCIA";112
"230565 IPAPORANGA";37
"230570 IPAUMIRIM";35
"230580 IPU";139
"230590 IPUEIRAS";172
"230600 IRACEMA";62
"230610 IRAUCUBA";73
"230620 ITAICABA";31
"230625 ITAITINGA";158
"230630 ITAPAJE";180
"230640 ITAPIPOCA";379
"230650 ITAPIUNA";60
"230655 ITAREMA";144
"230660 ITATIRA";56
"230670 JAGUARETAMA";58
"230680 JAGUARIBARA";55
"230690 JAGUARIBE";139
"230700 JAGUARUANA";116
"230710 JARDIM";103
"230720 JATI";28
"230725 JIJOCA DE JERICOACOARA";75
"230730 JUAZEIRO DO NORTE";1055
"230740 JUCAS";86
"230750 LAVRAS DA MANGABEIRA";97
"230760 LIMOEIRO DO NORTE";247
"230763 MADALENA";53
"230765 MARACANAU";919
"230770 MARANGUAPE";341
"230780 MARCO";94
"230790 MARTINOPOLE";31
"230800 MASSAPE";131
"230810 MAURITI";172
"230820 MERUOCA";52
"230830 MILAGRES";95
"230835 MILHA";48
"230837 MIRAIMA";38
"230840 MISSAO VELHA";136
"230850 MOMBACA";148
"230860 MONSENHOR TABOSA";72
"230870 MORADA NOVA";258
"230880 MORAUJO";40
"230890 MORRINHOS";59
"230900 MUCAMBO";51
"230910 MULUNGU";56
"230920 NOVA OLINDA";62
"230930 NOVA RUSSAS";136
"230940 NOVO ORIENTE";139
"230945 OCARA";92
"230950 OROS";108
"230960 PACAJUS";267
"230970 PACATUBA";261
"230980 PACOTI";47
"230990 PACUJA";19
"231000 PALHANO";46
"231010 PALMACIA";39
"231020 PARACURU";164
"231025 PARAIPABA";120
"231030 PARAMBU";134
"231040 PARAMOTI";37
"231050 PEDRA BRANCA";168
"231060 PENAFORTE";50
"231070 PENTECOSTE";136
"231080 PEREIRO";65
"231085 PINDORETAMA";80
"231090 PIQUET CARNEIRO";65
"231095 PIRES FERREIRA";25
"231100 PORANGA";60
"231110 PORTEIRAS";53
"231120 POTENGI";36
"231123 POTIRETAMA";28
"231126 QUITERIANOPOLIS";73
