 Óbitos por causas evitáveis de 5 a 74 anos - Espírito Santo
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - ES";25
"320010 AFONSO CLAUDIO";132
"320013 AGUIA BRANCA";39
"320016 AGUA DOCE DO NORTE";56
"320020 ALEGRE";160
"320030 ALFREDO CHAVES";54
"320035 ALTO RIO NOVO";26
"320040 ANCHIETA";101
"320050 APIACA";37
"320060 ARACRUZ";323
"320070 ATILIO VIVACQUA";38
"320080 BAIXO GUANDU";145
"320090 BARRA DE SAO FRANCISCO";198
"320100 BOA ESPERANCA";68
"320110 BOM JESUS DO NORTE";41
"320115 BREJETUBA";38
"320120 CACHOEIRO DE ITAPEMIRIM";798
"320130 CARIACICA";1613
"320140 CASTELO";138
"320150 COLATINA";448
"320160 CONCEICAO DA BARRA";128
"320170 CONCEICAO DO CASTELO";54
"320180 DIVINO DE SAO LOURENCO";19
"320190 DOMINGOS MARTINS";129
"320200 DORES DO RIO PRETO";34
"320210 ECOPORANGA";102
"320220 FUNDAO";83
"320225 GOVERNADOR LINDENBERG";47
"320230 GUACUI";129
"320240 GUARAPARI";537
"320245 IBATIBA";117
"320250 IBIRACU";40
"320255 IBITIRAMA";43
"320260 ICONHA";47
"320265 IRUPI";42
"320270 ITAGUACU";65
"320280 ITAPEMIRIM";190
"320290 ITARANA";29
"320300 IUNA";126
"320305 JAGUARE";136
"320310 JERONIMO MONTEIRO";70
"320313 JOAO NEIVA";70
"320316 LARANJA DA TERRA";43
"320320 LINHARES";646
"320330 MANTENOPOLIS";60
"320332 MARATAIZES";186
"320334 MARECHAL FLORIANO";73
"320335 MARILANDIA";53
"320340 MIMOSO DO SUL";125
"320350 MONTANHA";100
"320360 MUCURICI";43
"320370 MUNIZ FREIRE";73
"320380 MUQUI";69
"320390 NOVA VENECIA";204
"320400 PANCAS";72
"320405 PEDRO CANARIO";112
"320410 PINHEIROS";101
"320420 PIUMA";97
"320425 PONTO BELO";36
"320430 PRESIDENTE KENNEDY";58
"320435 RIO BANANAL";64
"320440 RIO NOVO DO SUL";54
"320450 SANTA LEOPOLDINA";29
"320455 SANTA MARIA DE JETIBA";160
"320460 SANTA TERESA";98
"320465 SAO DOMINGOS DO NORTE";34
"320470 SAO GABRIEL DA PALHA";138
"320480 SAO JOSE DO CALCADO";62
"320490 SAO MATEUS";535
"320495 SAO ROQUE DO CANAA";36
"320500 SERRA";1903
"320501 SOORETAMA";109
"320503 VARGEM ALTA";61
"320506 VENDA NOVA DO IMIGRANTE";79
"320510 VIANA";282
"320515 VILA PAVAO";32
"320517 VILA VALERIO";61
"320520 VILA VELHA";1792
"320530 VITORIA";1185
"Total";15580
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
