 Óbitos por causas evitáveis de 5 a 74 anos - Maranhão
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MA";7
"210005 ACAILANDIA";400
"210010 AFONSO CUNHA";13
"210015 AGUA DOCE DO MARANHAO";37
"210020 ALCANTARA";57
"210030 ALDEIAS ALTAS";69
"210040 ALTAMIRA DO MARANHAO";21
"210043 ALTO ALEGRE DO MARANHAO";114
"210047 ALTO ALEGRE DO PINDARE";82
"210050 ALTO PARNAIBA";43
"210055 AMAPA DO MARANHAO";19
"210060 AMARANTE DO MARANHAO";109
"210070 ANAJATUBA";66
"210080 ANAPURUS";34
"210083 APICUM-ACU";38
"210087 ARAGUANA";27
"210090 ARAIOSES";116
"210095 ARAME";98
"210100 ARARI";96
"210110 AXIXA";35
"210120 BACABAL";411
"210125 BACABEIRA";34
"210130 BACURI";60
"210135 BACURITUBA";16
"210140 BALSAS";387
"210150 BARAO DE GRAJAU";59
"210160 BARRA DO CORDA";269
"210170 BARREIRINHAS";172
"210173 BELAGUA";14
"210177 BELA VISTA DO MARANHAO";43
"210180 BENEDITO LEITE";28
"210190 BEQUIMAO";61
"210193 BERNARDO DO MEARIM";21
"210197 BOA VISTA DO GURUPI";22
"210200 BOM JARDIM";109
"210203 BOM JESUS DAS SELVAS";105
"210207 BOM LUGAR";30
"210210 BREJO";96
"210215 BREJO DE AREIA";23
"210220 BURITI";79
"210230 BURITI BRAVO";86
"210232 BURITICUPU";214
"210235 BURITIRANA";45
"210237 CACHOEIRA GRANDE";22
"210240 CAJAPIO";27
"210250 CAJARI";51
"210255 CAMPESTRE DO MARANHAO";50
"210260 CANDIDO MENDES";41
"210270 CANTANHEDE";49
"210275 CAPINZAL DO NORTE";36
"210280 CAROLINA";90
"210290 CARUTAPERA";71
"210300 CAXIAS";637
"210310 CEDRAL";27
"210312 CENTRAL DO MARANHAO";33
"210315 CENTRO DO GUILHERME";20
"210317 CENTRO NOVO DO MARANHAO";40
"210320 CHAPADINHA";272
"210325 CIDELANDIA";46
"210330 CODO";417
"210340 COELHO NETO";190
"210350 COLINAS";146
"210355 CONCEICAO DO LAGO-ACU";31
"210360 COROATA";264
"210370 CURURUPU";120
"210375 DAVINOPOLIS";65
"210380 DOM PEDRO";90
"210390 DUQUE BACELAR";37
"210400 ESPERANTINOPOLIS";59
"210405 ESTREITO";126
"210407 FEIRA NOVA DO MARANHAO";18
"210408 FERNANDO FALCAO";26
"210409 FORMOSA DA SERRA NEGRA";46
"210410 FORTALEZA DOS NOGUEIRAS";40
"210420 FORTUNA";49
"210430 GODOFREDO VIANA";25
"210440 GONCALVES DIAS";67
"210450 GOVERNADOR ARCHER";28
"210455 GOVERNADOR EDISON LOBAO";80
"210460 GOVERNADOR EUGENIO BARROS";53
"210462 GOVERNADOR LUIZ ROCHA";16
"210465 GOVERNADOR NEWTON BELLO";19
"210467 GOVERNADOR NUNES FREIRE";69
"210470 GRACA ARANHA";21
"210480 GRAJAU";265
"210490 GUIMARAES";43
"210500 HUMBERTO DE CAMPOS";71
"210510 ICATU";54
"210515 IGARAPE DO MEIO";31
"210520 IGARAPE GRANDE";45
"210530 IMPERATRIZ";1056
"210535 ITAIPAVA DO GRAJAU";32
"210540 ITAPECURU MIRIM";212
"210542 ITINGA DO MARANHAO";94
"210545 JATOBA";26
"210547 JENIPAPO DOS VIEIRAS";42
"210550 JOAO LISBOA";99
"210560 JOSELANDIA";44
"210565 JUNCO DO MARANHAO";13
"210570 LAGO DA PEDRA";170
"210580 LAGO DO JUNCO";32
"210590 LAGO VERDE";44
"210592 LAGOA DO MATO";36
"210594 LAGO DOS RODRIGUES";33
"210596 LAGOA GRANDE DO MARANHAO";39
"210598 LAJEADO NOVO";18
"210600 LIMA CAMPOS";48
"210610 LORETO";42
"210620 LUIS DOMINGUES";20
"210630 MAGALHAES DE ALMEIDA";43
"210632 MARACACUME";63
"210635 MARAJA DO SENA";14
"210637 MARANHAOZINHO";35
"210640 MATA ROMA";52
"210650 MATINHA";69
"210660 MATOES";86
"210663 MATOES DO NORTE";18
"210667 MILAGRES DO MARANHAO";23
"210670 MIRADOR";65
"210675 MIRANDA DO NORTE";68
"210680 MIRINZAL";38
"210690 MONCAO";119
"210700 MONTES ALTOS";37
"210710 MORROS";33
"210720 NINA RODRIGUES";24
"210725 NOVA COLINAS";18
"210730 NOVA IORQUE";12
"210735 NOVA OLINDA DO MARANHAO";42
"210740 OLHO D'AGUA DAS CUNHAS";65
"210745 OLINDA NOVA DO MARANHAO";43
"210750 PACO DO LUMIAR";357
"210760 PALMEIRANDIA";68
"210770 PARAIBANO";80
"210780 PARNARAMA";105
"210790 PASSAGEM FRANCA";73
"210800 PASTOS BONS";65
"210805 PAULINO NEVES";36
"210810 PAULO RAMOS";66
"210820 PEDREIRAS";152
"210825 PEDRO DO ROSARIO";53
"210830 PENALVA";117
"210840 PERI MIRIM";50
"210845 PERITORO";76
"210850 PINDARE-MIRIM";115
"210860 PINHEIRO";283
"210870 PIO XII";85
"210880 PIRAPEMAS";61
"210890 POCAO DE PEDRAS";58
"210900 PORTO FRANCO";102
"210905 PORTO RICO DO MARANHAO";19
"210910 PRESIDENTE DUTRA";160
"210920 PRESIDENTE JUSCELINO";20
"210923 PRESIDENTE MEDICI";14
"210927 PRESIDENTE SARNEY";47
"210930 PRESIDENTE VARGAS";35
"210940 PRIMEIRA CRUZ";22
"210945 RAPOSA";94
"210950 RIACHAO";93
"210955 RIBAMAR FIQUENE";25
"210960 ROSARIO";152
"210970 SAMBAIBA";5
"210975 SANTA FILOMENA DO MARANHAO";20
"210980 SANTA HELENA";105
"210990 SANTA INES";334
"211000 SANTA LUZIA";201
"211003 SANTA LUZIA DO PARUA";74
"211010 SANTA QUITERIA DO MARANHAO";68
"211020 SANTA RITA";114
"211023 SANTANA DO MARANHAO";27
"211027 SANTO AMARO DO MARANHAO";29
"211030 SANTO ANTONIO DOS LOPES";41
"211040 SAO BENEDITO DO RIO PRETO";48
"211050 SAO BENTO";116
"211060 SAO BERNARDO";79
"211065 SAO DOMINGOS DO AZEITAO";33
"211070 SAO DOMINGOS DO MARANHAO";111
"211080 SAO FELIX DE BALSAS";20
"211085 SAO FRANCISCO DO BREJAO";28
"211090 SAO FRANCISCO DO MARANHAO";37
"211100 SAO JOAO BATISTA";52
"211102 SAO JOAO DO CARU";45
"211105 SAO JOAO DO PARAISO";35
"211107 SAO JOAO DO SOTER";64
"211110 SAO JOAO DOS PATOS";115
"211120 SAO JOSE DE RIBAMAR";626
"211125 SAO JOSE DOS BASILIOS";16
"211130 SAO LUIS";3736
"211140 SAO LUIS GONZAGA DO MARANHAO";67
"211150 SAO MATEUS DO MARANHAO";151
"211153 SAO PEDRO DA AGUA BRANCA";42
"211157 SAO PEDRO DOS CRENTES";13
"211160 SAO RAIMUNDO DAS MANGABEIRAS";84
"211163 SAO RAIMUNDO DO DOCA BEZERRA";15
"211167 SAO ROBERTO";17
"211170 SAO VICENTE FERRER";47
"211172 SATUBINHA";23
"211174 SENADOR ALEXANDRE COSTA";37
"211176 SENADOR LA ROCQUE";70
"211178 SERRANO DO MARANHAO";30
"211180 SITIO NOVO";63
"211190 SUCUPIRA DO NORTE";31
"211195 SUCUPIRA DO RIACHAO";16
"211200 TASSO FRAGOSO";18
"211210 TIMBIRAS";81
"211220 TIMON";703
"211223 TRIZIDELA DO VALE";85
"211227 TUFILANDIA";15
"211230 TUNTUM";121
"211240 TURIACU";81
"211245 TURILANDIA";60
"211250 TUTOIA";146
"211260 URBANO SANTOS";64
"211270 VARGEM GRANDE";131
"211280 VIANA";171
"211285 VILA NOVA DOS MARTIRIOS";37
"211290 VITORIA DO MEARIM";107
"211300 VITORINO FREIRE";101
"211400 ZE DOCA";139
"Total";22683
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
