 Óbitos por causas evitáveis de 5 a 74 anos - Mato Grosso
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MT";2
"510010 ACORIZAL";20
"510020 AGUA BOA";96
"510025 ALTA FLORESTA";245
"510030 ALTO ARAGUAIA";51
"510035 ALTO BOA VISTA";17
"510040 ALTO GARCAS";46
"510050 ALTO PARAGUAI";50
"510060 ALTO TAQUARI";37
"510080 APIACAS";35
"510100 ARAGUAIANA";18
"510120 ARAGUAINHA";3
"510125 ARAPUTANGA";63
"510130 ARENAPOLIS";46
"510140 ARIPUANA";94
"510160 BARAO DE MELGACO";21
"510170 BARRA DO BUGRES";113
"510180 BARRA DO GARCAS";264
"510185 BOM JESUS DO ARAGUAIA";21
"510190 BRASNORTE";45
"510250 CACERES";458
"510260 CAMPINAPOLIS";62
"510263 CAMPO NOVO DO PARECIS";131
"510267 CAMPO VERDE";146
"510268 CAMPOS DE JULIO";27
"510269 CANABRAVA DO NORTE";16
"510270 CANARANA";88
"510279 CARLINDA";47
"510285 CASTANHEIRA";26
"510300 CHAPADA DOS GUIMARAES";70
"510305 CLAUDIA";48
"510310 COCALINHO";30
"510320 COLIDER";130
"510325 COLNIZA";88
"510330 COMODORO";83
"510335 CONFRESA";107
"510336 CONQUISTA D'OESTE";8
"510337 COTRIGUACU";33
"510340 CUIABA";2358
"510343 CURVELANDIA";22
"510345 DENISE";34
"510350 DIAMANTINO";95
"510360 DOM AQUINO";41
"510370 FELIZ NATAL";31
"510380 FIGUEIROPOLIS D'OESTE";14
"510385 GAUCHA DO NORTE";18
"510390 GENERAL CARNEIRO";26
"510395 GLORIA D'OESTE";15
"510410 GUARANTA DO NORTE";140
"510420 GUIRATINGA";67
"510450 INDIAVAI";5
"510452 IPIRANGA DO NORTE";23
"510454 ITANHANGA";18
"510455 ITAUBA";23
"510460 ITIQUIRA";41
"510480 JACIARA";110
"510490 JANGADA";25
"510500 JAURU";44
"510510 JUARA";145
"510515 JUINA";171
"510517 JURUENA";33
"510520 JUSCIMEIRA";34
"510523 LAMBARI D'OESTE";16
"510525 LUCAS DO RIO VERDE";252
"510530 LUCIARA";10
"510550 VILA BELA DA SANTISSIMA TRINDADE";57
"510558 MARCELANDIA";48
"510560 MATUPA";77
"510562 MIRASSOL D'OESTE";112
"510590 NOBRES";81
"510600 NORTELANDIA";31
"510610 NOSSA SENHORA DO LIVRAMENTO";49
"510615 NOVA BANDEIRANTES";52
"510617 NOVA NAZARE";15
"510618 NOVA LACERDA";22
"510619 NOVA SANTA HELENA";14
"510620 NOVA BRASILANDIA";17
"510621 NOVA CANAA DO NORTE";43
"510622 NOVA MUTUM";151
"510623 NOVA OLIMPIA";61
"510624 NOVA UBIRATA";34
"510625 NOVA XAVANTINA";96
"510626 NOVO MUNDO";32
"510627 NOVO HORIZONTE DO NORTE";21
"510628 NOVO SAO JOAQUIM";27
"510629 PARANAITA";43
"510630 PARANATINGA";104
"510631 NOVO SANTO ANTONIO";4
"510637 PEDRA PRETA";66
"510642 PEIXOTO DE AZEVEDO";151
"510645 PLANALTO DA SERRA";15
"510650 POCONE";163
"510665 PONTAL DO ARAGUAIA";32
"510670 PONTE BRANCA";7
"510675 PONTES E LACERDA";211
"510677 PORTO ALEGRE DO NORTE";51
"510680 PORTO DOS GAUCHOS";31
"510682 PORTO ESPERIDIAO";34
"510685 PORTO ESTRELA";10
"510700 POXOREO";81
"510704 PRIMAVERA DO LESTE";253
"510706 QUERENCIA";66
"510710 SAO JOSE DOS QUATRO MARCOS";79
"510715 RESERVA DO CABACAL";15
"510718 RIBEIRAO CASCALHEIRA";41
"510719 RIBEIRAOZINHO";12
"510720 RIO BRANCO";20
"510724 SANTA CARMEM";20
"510726 SANTO AFONSO";13
"510729 SAO JOSE DO POVO";10
"510730 SAO JOSE DO RIO CLARO";76
"510735 SAO JOSE DO XINGU";17
"510740 SAO PEDRO DA CIPA";15
"510757 RONDOLANDIA";10
"510760 RONDONOPOLIS";977
"510770 ROSARIO OESTE";72
"510774 SANTA CRUZ DO XINGU";5
"510775 SALTO DO CEU";15
"510776 SANTA RITA DO TRIVELATO";7
"510777 SANTA TEREZINHA";19
"510779 SANTO ANTONIO DO LESTE";9
"510780 SANTO ANTONIO DO LEVERGER";84
"510785 SAO FELIX DO ARAGUAIA";50
"510787 SAPEZAL";68
"510788 SERRA NOVA DOURADA";4
"510790 SINOP";540
"510792 SORRISO";335
