 Óbitos por causas evitáveis de 5 a 74 anos - Minas Gerais
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MG";125
"310010 ABADIA DOS DOURADOS";35
"310020 ABAETE";103
"310030 ABRE CAMPO";64
"310040 ACAIACA";15
"310050 ACUCENA";31
"310060 AGUA BOA";49
"310070 AGUA COMPRIDA";7
"310080 AGUANIL";18
"310090 AGUAS FORMOSAS";88
"310100 AGUAS VERMELHAS";41
"310110 AIMORES";125
"310120 AIURUOCA";39
"310130 ALAGOA";17
"310140 ALBERTINA";10
"310150 ALEM PARAIBA";194
"310160 ALFENAS";342
"310163 ALFREDO VASCONCELOS";36
"310170 ALMENARA";169
"310180 ALPERCATA";42
"310190 ALPINOPOLIS";82
"310200 ALTEROSA";65
"310205 ALTO CAPARAO";24
"310210 ALTO RIO DOCE";54
"310220 ALVARENGA";28
"310230 ALVINOPOLIS";54
"310240 ALVORADA DE MINAS";15
"310250 AMPARO DO SERRA";35
"310260 ANDRADAS";179
"310270 CACHOEIRA DE PAJEU";39
"310280 ANDRELANDIA";66
"310285 ANGELANDIA";13
"310290 ANTONIO CARLOS";63
"310300 ANTONIO DIAS";37
"310310 ANTONIO PRADO DE MINAS";11
"310320 ARACAI";5
"310330 ARACITABA";11
"310340 ARACUAI";150
"310350 ARAGUARI";518
"310360 ARANTINA";20
"310370 ARAPONGA";17
"310375 ARAPORA";34
"310380 ARAPUA";12
"310390 ARAUJOS";27
"310400 ARAXA";546
"310410 ARCEBURGO";41
"310420 ARCOS";192
"310430 AREADO";82
"310440 ARGIRITA";15
"310445 ARICANDUVA";15
"310450 ARINOS";57
"310460 ASTOLFO DUTRA";56
"310470 ATALEIA";57
"310480 AUGUSTO DE LIMA";21
"310490 BAEPENDI";84
"310500 BALDIM";43
"310510 BAMBUI";124
"310520 BANDEIRA";20
"310530 BANDEIRA DO SUL";32
"310540 BARAO DE COCAIS";129
"310550 BARAO DE MONTE ALTO";33
"310560 BARBACENA";597
"310570 BARRA LONGA";33
"310590 BARROSO";111
"310600 BELA VISTA DE MINAS";51
"310610 BELMIRO BRAGA";17
"310620 BELO HORIZONTE";8610
"310630 BELO ORIENTE";101
"310640 BELO VALE";36
"310650 BERILO";46
"310660 BERTOPOLIS";19
"310665 BERIZAL";15
"310670 BETIM";1617
"310680 BIAS FORTES";14
"310690 BICAS";83
"310700 BIQUINHAS";9
"310710 BOA ESPERANCA";178
"310720 BOCAINA DE MINAS";24
"310730 BOCAIUVA";223
"310740 BOM DESPACHO";236
"310750 BOM JARDIM DE MINAS";40
"310760 BOM JESUS DA PENHA";18
"310770 BOM JESUS DO AMPARO";14
"310780 BOM JESUS DO GALHO";54
"310790 BOM REPOUSO";53
"310800 BOM SUCESSO";96
"310810 BONFIM";26
"310820 BONFINOPOLIS DE MINAS";25
"310825 BONITO DE MINAS";29
"310830 BORDA DA MATA";62
"310840 BOTELHOS";74
"310850 BOTUMIRIM";24
"310855 BRASILANDIA DE MINAS";56
"310860 BRASILIA DE MINAS";144
"310870 BRAS PIRES";30
"310880 BRAUNAS";18
"310890 BRAZOPOLIS";73
"310900 BRUMADINHO";163
"310910 BUENO BRANDAO";50
"310920 BUENOPOLIS";53
"310925 BUGRE";18
"310930 BURITIS";102
"310940 BURITIZEIRO";111
"310945 CABECEIRA GRANDE";24
"310950 CABO VERDE";52
"310960 CACHOEIRA DA PRATA";21
"310970 CACHOEIRA DE MINAS";33
"310980 CACHOEIRA DOURADA";10
"310990 CAETANOPOLIS";60
"311000 CAETE";176
"311010 CAIANA";17
"311020 CAJURI";21
"311030 CALDAS";63
"311040 CAMACHO";13
"311050 CAMANDUCAIA";107
"311060 CAMBUI";149
"311070 CAMBUQUIRA";63
"311080 CAMPANARIO";11
"311090 CAMPANHA";77
"311100 CAMPESTRE";91
"311110 CAMPINA VERDE";65
"311115 CAMPO AZUL";29
"311120 CAMPO BELO";253
"311130 CAMPO DO MEIO";68
"311140 CAMPO FLORIDO";39
"311150 CAMPOS ALTOS";63
"311160 CAMPOS GERAIS";125
"311170 CANAA";15
"311180 CANAPOLIS";48
"311190 CANA VERDE";20
"311200 CANDEIAS";78
"311205 CANTAGALO";18
"311210 CAPARAO";22
"311220 CAPELA NOVA";20
"311230 CAPELINHA";137
"311240 CAPETINGA";41
"311250 CAPIM BRANCO";43
"311260 CAPINOPOLIS";72
"311265 CAPITAO ANDRADE";24
"311270 CAPITAO ENEAS";63
"311280 CAPITOLIO";38
"311290 CAPUTIRA";32
"311300 CARAI";112
"311310 CARANAIBA";8
"311320 CARANDAI";114
"311330 CARANGOLA";185
"311340 CARATINGA";381
"311350 CARBONITA";37
"311360 CAREACU";33
"311370 CARLOS CHAGAS";101
"311380 CARMESIA";6
"311390 CARMO DA CACHOEIRA";46
"311400 CARMO DA MATA";47
"311410 CARMO DE MINAS";64
"311420 CARMO DO CAJURU";108
"311430 CARMO DO PARANAIBA";137
"311440 CARMO DO RIO CLARO";83
"311450 CARMOPOLIS DE MINAS";65
"311455 CARNEIRINHO";43
"311460 CARRANCAS";25
"311470 CARVALHOPOLIS";13
"311480 CARVALHOS";23
"311490 CASA GRANDE";6
"311500 CASCALHO RICO";9
"311510 CASSIA";87
"311520 CONCEICAO DA BARRA DE MINAS";10
"311530 CATAGUASES";390
"311535 CATAS ALTAS";22
"311540 CATAS ALTAS DA NORUEGA";17
"311545 CATUJI";36
"311547 CATUTI";20
"311550 CAXAMBU";112
"311560 CEDRO DO ABAETE";8
"311570 CENTRAL DE MINAS";43
"311580 CENTRALINA";46
"311590 CHACARA";11
"311600 CHALE";32
"311610 CHAPADA DO NORTE";32
"311615 CHAPADA GAUCHA";29
"311620 CHIADOR";13
"311630 CIPOTANEA";26
"311640 CLARAVAL";15
"311650 CLARO DOS POCOES";38
"311660 CLAUDIO";113
"311670 COIMBRA";42
"311680 COLUNA";21
"311690 COMENDADOR GOMES";11
"311700 COMERCINHO";24
"311710 CONCEICAO DA APARECIDA";39
"311720 CONCEICAO DAS PEDRAS";10
"311730 CONCEICAO DAS ALAGOAS";111
"311740 CONCEICAO DE IPANEMA";13
"311750 CONCEICAO DO MATO DENTRO";83
"311760 CONCEICAO DO PARA";13
"311770 CONCEICAO DO RIO VERDE";53
"311780 CONCEICAO DOS OUROS";37
"311783 CONEGO MARINHO";35
"311787 CONFINS";37
"311790 CONGONHAL";49
"311800 CONGONHAS";224
"311810 CONGONHAS DO NORTE";25
"311820 CONQUISTA";22
"311830 CONSELHEIRO LAFAIETE";559
"311840 CONSELHEIRO PENA";107
"311850 CONSOLACAO";5
"311860 CONTAGEM";2410
"311870 COQUEIRAL";36
"311880 CORACAO DE JESUS";98
"311890 CORDISBURGO";33
"311900 CORDISLANDIA";18
"311910 CORINTO";103
"311920 COROACI";45
"311930 COROMANDEL";131
"311940 CORONEL FABRICIANO";410
"311950 CORONEL MURTA";30
"311960 CORONEL PACHECO";9
"311970 CORONEL XAVIER CHAVES";7
"311980 CORREGO DANTA";16
"311990 CORREGO DO BOM JESUS";13
"311995 CORREGO FUNDO";22
"312000 CORREGO NOVO";21
"312010 COUTO DE MAGALHAES DE MINAS";30
"312015 CRISOLITA";19
"312020 CRISTAIS";51
"312030 CRISTALIA";12
"312040 CRISTIANO OTONI";15
"312050 CRISTINA";34
"312060 CRUCILANDIA";18
"312070 CRUZEIRO DA FORTALEZA";20
"312080 CRUZILIA";76
"312083 CUPARAQUE";26
"312087 CURRAL DE DENTRO";28
"312090 CURVELO";334
"312100 DATAS";24
"312110 DELFIM MOREIRA";39
"312120 DELFINOPOLIS";34
"312125 DELTA";31
"312130 DESCOBERTO";27
"312140 DESTERRO DE ENTRE RIOS";43
"312150 DESTERRO DO MELO";13
"312160 DIAMANTINA";172
"312170 DIOGO DE VASCONCELOS";15
"312180 DIONISIO";26
"312190 DIVINESIA";24
"312200 DIVINO";118
"312210 DIVINO DAS LARANJEIRAS";24
"312220 DIVINOLANDIA DE MINAS";20
"312230 DIVINOPOLIS";944
"312235 DIVISA ALEGRE";37
"312240 DIVISA NOVA";36
"312245 DIVISOPOLIS";38
"312247 DOM BOSCO";10
"312250 DOM CAVATI";25
"312260 DOM JOAQUIM";20
"312270 DOM SILVERIO";23
"312280 DOM VICOSO";12
"312290 DONA EUSEBIA";33
"312300 DORES DE CAMPOS";50
"312310 DORES DE GUANHAES";24
"312320 DORES DO INDAIA";75
"312330 DORES DO TURVO";32
"312340 DORESOPOLIS";6
"312350 DOURADOQUARA";3
"312352 DURANDE";33
"312360 ELOI MENDES";129
"312370 ENGENHEIRO CALDAS";45
"312380 ENGENHEIRO NAVARRO";35
"312385 ENTRE FOLHAS";23
"312390 ENTRE RIOS DE MINAS";74
"312400 ERVALIA";79
"312410 ESMERALDAS";290
"312420 ESPERA FELIZ";124
"312430 ESPINOSA";111
"312440 ESPIRITO SANTO DO DOURADO";28
"312450 ESTIVA";51
"312460 ESTRELA DALVA";15
"312470 ESTRELA DO INDAIA";14
"312480 ESTRELA DO SUL";21
"312490 EUGENOPOLIS";43
"312500 EWBANK DA CAMARA";24
"312510 EXTREMA";170
"312520 FAMA";13
"312530 FARIA LEMOS";17
"312540 FELICIO DOS SANTOS";10
"312550 SAO GONCALO DO RIO PRETO";10
"312560 FELISBURGO";29
"312570 FELIXLANDIA";59
"312580 FERNANDES TOURINHO";15
"312590 FERROS";47
"312595 FERVEDOURO";31
"312600 FLORESTAL";20
"312610 FORMIGA";303
"312620 FORMOSO";22
"312630 FORTALEZA DE MINAS";19
"312640 FORTUNA DE MINAS";14
"312650 FRANCISCO BADARO";37
"312660 FRANCISCO DUMONT";19
"312670 FRANCISCO SA";109
"312675 FRANCISCOPOLIS";16
"312680 FREI GASPAR";25
"312690 FREI INOCENCIO";70
"312695 FREI LAGONEGRO";6
"312700 FRONTEIRA";44
"312705 FRONTEIRA DOS VALES";12
"312707 FRUTA DE LEITE";38
"312710 FRUTAL";248
"312720 FUNILANDIA";20
"312730 GALILEIA";44
"312733 GAMELEIRAS";21
"312735 GLAUCILANDIA";12
"312737 GOIABEIRA";18
"312738 GOIANA";19
"312740 GONCALVES";26
"312750 GONZAGA";24
"312760 GOUVEIA";49
"312770 GOVERNADOR VALADARES";1284
"312780 GRAO MOGOL";51
"312790 GRUPIARA";5
"312800 GUANHAES";120
"312810 GUAPE";54
"312820 GUARACIABA";31
"312825 GUARACIAMA";21
"312830 GUARANESIA";77
"312840 GUARANI";42
"312850 GUARARA";27
"312860 GUARDA-MOR";22
"312870 GUAXUPE";233
"312880 GUIDOVAL";39
"312890 GUIMARANIA";30
"312900 GUIRICEMA";35
"312910 GURINHATA";21
"312920 HELIODORA";41
"312930 IAPU";41
"312940 IBERTIOGA";36
"312950 IBIA";111
"312960 IBIAI";26
"312965 IBIRACATU";28
"312970 IBIRACI";50
"312980 IBIRITE";699
"312990 IBITIURA DE MINAS";22
"313000 IBITURUNA";13
"313005 ICARAI DE MINAS";36
"313010 IGARAPE";169
"313020 IGARATINGA";40
"313030 IGUATAMA";42
"313040 IJACI";29
"313050 ILICINEA";54
"313055 IMBE DE MINAS";25
"313060 INCONFIDENTES";26
"313065 INDAIABIRA";26
"313070 INDIANOPOLIS";20
"313080 INGAI";14
"313090 INHAPIM";104
"313100 INHAUMA";27
"313110 INIMUTABA";28
"313115 IPABA";62
"313120 IPANEMA";92
"313130 IPATINGA";817
"313140 IPIACU";16
"313150 IPUIUNA";43
"313160 IRAI DE MINAS";30
"313170 ITABIRA";439
"313180 ITABIRINHA";48
"313190 ITABIRITO";184
"313200 ITACAMBIRA";11
"313210 ITACARAMBI";73
"313220 ITAGUARA";45
"313230 ITAIPE";53
"313240 ITAJUBA";394
"313250 ITAMARANDIBA";112
"313260 ITAMARATI DE MINAS";24
"313270 ITAMBACURI";96
"313280 ITAMBE DO MATO DENTRO";10
"313290 ITAMOGI";58
"313300 ITAMONTE";66
"313310 ITANHANDU";61
"313320 ITANHOMI";47
"313330 ITAOBIM";81
"313340 ITAPAGIPE";33
"313350 ITAPECERICA";89
"313360 ITAPEVA";46
"313370 ITATIAIUCU";54
"313375 ITAU DE MINAS";63
"313380 ITAUNA";467
"313390 ITAVERAVA";17
"313400 ITINGA";55
"313410 ITUETA";25
"313420 ITUIUTABA";445
"313430 ITUMIRIM";20
"313440 ITURAMA";142
"313450 ITUTINGA";18
"313460 JABOTICATUBAS";75
"313470 JACINTO";59
"313480 JACUI";34
"313490 JACUTINGA";95
"313500 JAGUARACU";9
"313505 JAIBA";155
"313507 JAMPRUCA";28
"313510 JANAUBA";331
"313520 JANUARIA";248
"313530 JAPARAIBA";8
"313535 JAPONVAR";43
"313540 JECEABA";34
"313545 JENIPAPO DE MINAS";20
"313550 JEQUERI";62
"313560 JEQUITAI";36
"313570 JEQUITIBA";33
"313580 JEQUITINHONHA";104
"313590 JESUANIA";29
"313600 JOAIMA";64
"313610 JOANESIA";22
"313620 JOAO MONLEVADE";291
"313630 JOAO PINHEIRO";200
"313640 JOAQUIM FELICIO";14
"313650 JORDANIA";46
"313652 JOSE GONCALVES DE MINAS";19
"313655 JOSE RAYDAN";16
"313657 JOSENOPOLIS";15
"313660 NOVA UNIAO";29
"313665 JUATUBA";124
"313670 JUIZ DE FORA";2575
"313680 JURAMENTO";15
"313690 JURUAIA";39
"313695 JUVENILIA";28
"313700 LADAINHA";50
"313710 LAGAMAR";42
"313720 LAGOA DA PRATA";215
"313730 LAGOA DOS PATOS";22
"313740 LAGOA DOURADA";42
"313750 LAGOA FORMOSA";83
"313753 LAGOA GRANDE";35
"313760 LAGOA SANTA";241
"313770 LAJINHA";93
"313780 LAMBARI";104
"313790 LAMIM";19
"313800 LARANJAL";32
"313810 LASSANCE";37
"313820 LAVRAS";409
"313830 LEANDRO FERREIRA";13
"313835 LEME DO PRADO";15
"313840 LEOPOLDINA";242
"313850 LIBERDADE";29
"313860 LIMA DUARTE";86
"313862 LIMEIRA DO OESTE";33
"313865 LONTRA";36
"313867 LUISBURGO";26
"313868 LUISLANDIA";26
"313870 LUMINARIAS";22
"313880 LUZ";84
"313890 MACHACALIS";24
"313900 MACHADO";164
"313910 MADRE DE DEUS DE MINAS";28
"313920 MALACACHETA";90
"313925 MAMONAS";20
"313930 MANGA";72
"313940 MANHUACU";366
"313950 MANHUMIRIM";108
"313960 MANTENA";97
"313970 MARAVILHAS";36
"313980 MAR DE ESPANHA";56
"313990 MARIA DA FE";71
"314000 MARIANA";237
"314010 MARILAC";20
"314015 MARIO CAMPOS";48
"314020 MARIPA DE MINAS";23
"314030 MARLIERIA";23
"314040 MARMELOPOLIS";20
"314050 MARTINHO CAMPOS";65
"314053 MARTINS SOARES";31
"314055 MATA VERDE";31
"314060 MATERLANDIA";15
"314070 MATEUS LEME";149
"314080 MATIAS BARBOSA";56
"314085 MATIAS CARDOSO";24
"314090 MATIPO";93
"314100 MATO VERDE";57
"314110 MATOZINHOS";147
"314120 MATUTINA";14
"314130 MEDEIROS";11
"314140 MEDINA";85
"314150 MENDES PIMENTEL";28
"314160 MERCES";75
"314170 MESQUITA";25
"314180 MINAS NOVAS";74
"314190 MINDURI";20
"314200 MIRABELA";57
"314210 MIRADOURO";50
"314220 MIRAI";52
"314225 MIRAVANIA";21
"314230 MOEDA";14
"314240 MOEMA";35
"314250 MONJOLOS";10
"314260 MONSENHOR PAULO";32
"314270 MONTALVANIA";77
"314280 MONTE ALEGRE DE MINAS";79
"314290 MONTE AZUL";79
"314300 MONTE BELO";74
"314310 MONTE CARMELO";217
"314315 MONTE FORMOSO";16
"314320 MONTE SANTO DE MINAS";92
"314330 MONTES CLAROS";1406
"314340 MONTE SIAO";92
"314345 MONTEZUMA";21
"314350 MORADA NOVA DE MINAS";34
"314360 MORRO DA GARCA";14
"314370 MORRO DO PILAR";11
"314380 MUNHOZ";25
"314390 MURIAE";539
"314400 MUTUM";122
"314410 MUZAMBINHO";100
"314420 NACIP RAYDAN";5
"314430 NANUQUE";195
"314435 NAQUE";32
"314437 NATALANDIA";23
"314440 NATERCIA";28
"314450 NAZARENO";33
"314460 NEPOMUCENO";107
"314465 NINHEIRA";33
"314467 NOVA BELEM";20
"314470 NOVA ERA";72
"314480 NOVA LIMA";318
"314490 NOVA MODICA";10
"314500 NOVA PONTE";58
"314505 NOVA PORTEIRINHA";33
"314510 NOVA RESENDE";56
"314520 NOVA SERRANA";284
"314530 NOVO CRUZEIRO";121
"314535 NOVO ORIENTE DE MINAS";45
"314537 NOVORIZONTE";18
"314540 OLARIA";23
"314545 OLHOS-D'AGUA";24
"314550 OLIMPIO NORONHA";14
"314560 OLIVEIRA";196
"314570 OLIVEIRA FORTES";9
"314580 ONCA DE PITANGUI";9
"314585 ORATORIOS";28
"314587 ORIZANIA";33
"314590 OURO BRANCO";121
"314600 OURO FINO";141
"314610 OURO PRETO";308
"314620 OURO VERDE DE MINAS";27
"314625 PADRE CARVALHO";34
"314630 PADRE PARAISO";94
"314640 PAINEIRAS";23
"314650 PAINS";29
"314655 PAI PEDRO";32
"314660 PAIVA";6
"314670 PALMA";39
"314675 PALMOPOLIS";32
"314690 PAPAGAIOS";68
"314700 PARACATU";313
"314710 PARA DE MINAS";380
"314720 PARAGUACU";109
"314730 PARAISOPOLIS";91
"314740 PARAOPEBA";118
"314750 PASSABEM";9
"314760 PASSA QUATRO";86
"314770 PASSA TEMPO";39
"314780 PASSA VINTE";15
"314790 PASSOS";500
"314795 PATIS";17
"314800 PATOS DE MINAS";669
"314810 PATROCINIO";331
"314820 PATROCINIO DO MURIAE";30
"314830 PAULA CANDIDO";42
"314840 PAULISTAS";11
"314850 PAVAO";33
"314860 PECANHA";52
"314870 PEDRA AZUL";97
"314875 PEDRA BONITA";20
"314880 PEDRA DO ANTA";12
"314890 PEDRA DO INDAIA";15
"314900 PEDRA DOURADA";7
"314910 PEDRALVA";51
"314915 PEDRAS DE MARIA DA CRUZ";39
"314920 PEDRINOPOLIS";17
"314930 PEDRO LEOPOLDO";264
"314940 PEDRO TEIXEIRA";11
"314950 PEQUERI";15
"314960 PEQUI";23
"314970 PERDIGAO";34
"314980 PERDIZES";61
"314990 PERDOES";79
"314995 PERIQUITO";38
"315000 PESCADOR";25
"315010 PIAU";16
"315015 PIEDADE DE CARATINGA";25
"315020 PIEDADE DE PONTE NOVA";21
"315030 PIEDADE DO RIO GRANDE";37
"315040 PIEDADE DOS GERAIS";20
"315050 PIMENTA";41
"315053 PINGO-D'AGUA";19
"315057 PINTOPOLIS";26
"315060 PIRACEMA";32
"315070 PIRAJUBA";22
"315080 PIRANGA";68
"315090 PIRANGUCU";30
"315100 PIRANGUINHO";31
"315110 PIRAPETINGA";71
"315120 PIRAPORA";253
"315130 PIRAUBA";55
"315140 PITANGUI";101
"315150 PIUMHI";168
"315160 PLANURA";56
"315170 POCO FUNDO";72
"315180 POCOS DE CALDAS";823
"315190 POCRANE";41
"315200 POMPEU";155
"315210 PONTE NOVA";287
"315213 PONTO CHIQUE";14
"315217 PONTO DOS VOLANTES";49
"315220 PORTEIRINHA";164
"315230 PORTO FIRME";29
"315240 POTE";61
"315250 POUSO ALEGRE";572
"315260 POUSO ALTO";24
"315270 PRADOS";43
"315280 PRATA";124
"315290 PRATAPOLIS";43
"315300 PRATINHA";14
"315310 PRESIDENTE BERNARDES";33
"315320 PRESIDENTE JUSCELINO";14
"315330 PRESIDENTE KUBITSCHEK";18
"315340 PRESIDENTE OLEGARIO";58
"315350 ALTO JEQUITIBA";38
"315360 PRUDENTE DE MORAIS";48
"315370 QUARTEL GERAL";16
"315380 QUELUZITO";10
"315390 RAPOSOS";63
"315400 RAUL SOARES";96
"315410 RECREIO";53
"315415 REDUTO";40
"315420 RESENDE COSTA";45
"315430 RESPLENDOR";86
"315440 RESSAQUINHA";29
"315445 RIACHINHO";35
