 Óbitos por causas evitáveis de 5 a 74 anos - Pará
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PA";21
"150010 ABAETETUBA";488
"150013 ABEL FIGUEIREDO";27
"150020 ACARA";166
"150030 AFUA";58
"150034 AGUA AZUL DO NORTE";42
"150040 ALENQUER";161
"150050 ALMEIRIM";92
"150060 ALTAMIRA";512
"150070 ANAJAS";50
"150080 ANANINDEUA";1739
"150085 ANAPU";102
"150090 AUGUSTO CORREA";121
"150095 AURORA DO PARA";81
"150100 AVEIRO";34
"150110 BAGRE";46
"150120 BAIAO";88
"150125 BANNACH";9
"150130 BARCARENA";326
"150140 BELEM";5413
"150145 BELTERRA";65
"150150 BENEVIDES";236
"150157 BOM JESUS DO TOCANTINS";58
"150160 BONITO";44
"150170 BRAGANCA";435
"150172 BRASIL NOVO";64
"150175 BREJO GRANDE DO ARAGUAIA";31
"150178 BREU BRANCO";148
"150180 BREVES";204
"150190 BUJARU";68
"150195 CACHOEIRA DO PIRIA";50
"150200 CACHOEIRA DO ARARI";69
"150210 CAMETA";318
"150215 CANAA DOS CARAJAS";171
"150220 CAPANEMA";256
"150230 CAPITAO POCO";177
"150240 CASTANHAL";715
"150250 CHAVES";17
"150260 COLARES";35
"150270 CONCEICAO DO ARAGUAIA";214
"150275 CONCORDIA DO PARA";77
"150276 CUMARU DO NORTE";53
"150277 CURIONOPOLIS";77
"150280 CURRALINHO";49
"150285 CURUA";41
"150290 CURUCA";135
"150293 DOM ELISEU";152
"150295 ELDORADO DOS CARAJAS";132
"150300 FARO";21
"150304 FLORESTA DO ARAGUAIA";52
"150307 GARRAFAO DO NORTE";80
"150309 GOIANESIA DO PARA";118
"150310 GURUPA";53
"150320 IGARAPE-ACU";147
"150330 IGARAPE-MIRI";175
"150340 INHANGAPI";48
"150345 IPIXUNA DO PARA";124
"150350 IRITUIA";107
"150360 ITAITUBA";560
"150370 ITUPIRANGA";147
"150375 JACAREACANGA";71
"150380 JACUNDA";159
"150390 JURUTI";114
"150400 LIMOEIRO DO AJURU";50
"150405 MAE DO RIO";139
"150410 MAGALHAES BARATA";25
"150420 MARABA";1034
"150430 MARACANA";75
"150440 MARAPANIM";88
"150442 MARITUBA";462
"150445 MEDICILANDIA";85
"150450 MELGACO";28
"150460 MOCAJUBA";80
"150470 MOJU";183
"150475 MOJUI DOS CAMPOS";44
"150480 MONTE ALEGRE";189
"150490 MUANA";84
"150495 NOVA ESPERANCA DO PIRIA";52
"150497 NOVA IPIXUNA";53
"150500 NOVA TIMBOTEUA";48
"150503 NOVO PROGRESSO";143
"150506 NOVO REPARTIMENTO";201
"150510 OBIDOS";138
"150520 OEIRAS DO PARA";79
"150530 ORIXIMINA";182
"150540 OUREM";56
"150543 OURILANDIA DO NORTE";115
"150548 PACAJA";142
"150549 PALESTINA DO PARA";29
"150550 PARAGOMINAS";338
"150553 PARAUAPEBAS";723
"150555 PAU D'ARCO";28
"150560 PEIXE-BOI";40
"150563 PICARRA";28
"150565 PLACAS";48
"150570 PONTA DE PEDRAS";59
"150580 PORTEL";135
"150590 PORTO DE MOZ";75
"150600 PRAINHA";79
"150610 PRIMAVERA";36
"150611 QUATIPURU";34
"150613 REDENCAO";386
"150616 RIO MARIA";77
"150618 RONDON DO PARA";166
"150619 RUROPOLIS";81
"150620 SALINOPOLIS";140
"150630 SALVATERRA";86
"150635 SANTA BARBARA DO PARA";72
"150640 SANTA CRUZ DO ARARI";10
"150650 SANTA IZABEL DO PARA";212
"150655 SANTA LUZIA DO PARA";64
"150658 SANTA MARIA DAS BARREIRAS";59
"150660 SANTA MARIA DO PARA";99
"150670 SANTANA DO ARAGUAIA";127
"150680 SANTAREM";1079
"150690 SANTAREM NOVO";22
"150700 SANTO ANTONIO DO TAUA";108
"150710 SAO CAETANO DE ODIVELAS";64
"150715 SAO DOMINGOS DO ARAGUAIA";76
"150720 SAO DOMINGOS DO CAPIM";79
"150730 SAO FELIX DO XINGU";222
"150740 SAO FRANCISCO DO PARA";57
"150745 SAO GERALDO DO ARAGUAIA";99
"150746 SAO JOAO DA PONTA";18
"150747 SAO JOAO DE PIRABAS";92
"150750 SAO JOAO DO ARAGUAIA";48
"150760 SAO MIGUEL DO GUAMA";214
"150770 SAO SEBASTIAO DA BOA VISTA";54
"150775 SAPUCAIA";15
"150780 SENADOR JOSE PORFIRIO";31
"150790 SOURE";86
"150795 TAILANDIA";271
"150796 TERRA ALTA";35
"150797 TERRA SANTA";52
"150800 TOME-ACU";225
"150803 TRACUATEUA";90
"150805 TRAIRAO";57
"150808 TUCUMA";149
"150810 TUCURUI";320
"150812 ULIANOPOLIS";87
"150815 URUARA";165
"150820 VIGIA";172
"150830 VISEU";150
"150835 VITORIA DO XINGU";67
"150840 XINGUARA";164
"Total";27017
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
