 Óbitos por causas evitáveis de 5 a 74 anos - Paraíba
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PB";20
"250010 AGUA BRANCA";42
"250020 AGUIAR";19
"250030 ALAGOA GRANDE";127
"250040 ALAGOA NOVA";83
"250050 ALAGOINHA";53
"250053 ALCANTIL";21
"250057 ALGODAO DE JANDAIRA";5
"250060 ALHANDRA";106
"250070 SAO JOAO DO RIO DO PEIXE";72
"250073 AMPARO";15
"250077 APARECIDA";37
"250080 ARACAGI";72
"250090 ARARA";58
"250100 ARARUNA";59
"250110 AREIA";94
"250115 AREIA DE BARAUNAS";4
"250120 AREIAL";26
"250130 AROEIRAS";80
"250135 ASSUNCAO";30
"250140 BAIA DA TRAICAO";37
"250150 BANANEIRAS";83
"250153 BARAUNA";11
"250157 BARRA DE SANTANA";26
"250160 BARRA DE SANTA ROSA";54
"250170 BARRA DE SAO MIGUEL";21
"250180 BAYEUX";415
"250190 BELEM";69
"250200 BELEM DO BREJO DO CRUZ";33
"250205 BERNARDINO BATISTA";18
"250210 BOA VENTURA";34
"250215 BOA VISTA";11
"250220 BOM JESUS";10
"250230 BOM SUCESSO";15
"250240 BONITO DE SANTA FE";40
"250250 BOQUEIRAO";57
"250260 IGARACY";35
"250270 BORBOREMA";22
"250280 BREJO DO CRUZ";44
"250290 BREJO DOS SANTOS";30
"250300 CAAPORA";95
"250310 CABACEIRAS";24
"250320 CABEDELO";273
"250330 CACHOEIRA DOS INDIOS";30
"250340 CACIMBA DE AREIA";8
"250350 CACIMBA DE DENTRO";72
"250355 CACIMBAS";31
"250360 CAICARA";27
"250370 CAJAZEIRAS";256
"250375 CAJAZEIRINHAS";17
"250380 CALDAS BRANDAO";25
"250390 CAMALAU";33
"250400 CAMPINA GRANDE";1739
"250403 CAPIM";34
"250407 CARAUBAS";15
"250410 CARRAPATEIRA";9
"250415 CASSERENGUE";25
"250420 CATINGUEIRA";26
"250430 CATOLE DO ROCHA";133
"250435 CATURITE";18
"250440 CONCEICAO";76
"250450 CONDADO";25
"250460 CONDE";131
"250470 CONGO";16
"250480 COREMAS";71
"250485 COXIXOLA";8
"250490 CRUZ DO ESPIRITO SANTO";100
"250500 CUBATI";19
"250510 CUITE";67
"250520 CUITEGI";43
"250523 CUITE DE MAMANGUAPE";22
"250527 CURRAL DE CIMA";21
"250530 CURRAL VELHO";6
"250535 DAMIAO";19
"250540 DESTERRO";41
"250550 VISTA SERRANA";11
"250560 DIAMANTE";21
"250570 DONA INES";43
"250580 DUAS ESTRADAS";24
"250590 EMAS";12
"250600 ESPERANCA";141
"250610 FAGUNDES";60
"250620 FREI MARTINHO";10
"250625 GADO BRAVO";37
"250630 GUARABIRA";255
"250640 GURINHEM";46
"250650 GURJAO";18
"250660 IBIARA";27
"250670 IMACULADA";39
"250680 INGA";78
"250690 ITABAIANA";136
"250700 ITAPORANGA";125
"250710 ITAPOROROCA";65
"250720 ITATUBA";36
"250730 JACARAU";58
"250740 JERICO";34
"250750 JOAO PESSOA";3171
"250760 JUAREZ TAVORA";32
"250770 JUAZEIRINHO";68
"250780 JUNCO DO SERIDO";33
"250790 JURIPIRANGA";65
"250800 JURU";32
"250810 LAGOA";13
"250820 LAGOA DE DENTRO";29
"250830 LAGOA SECA";102
"250840 LASTRO";10
"250850 LIVRAMENTO";40
"250855 LOGRADOURO";13
"250860 LUCENA";52
"250870 MAE D'AGUA";10
"250880 MALTA";27
"250890 MAMANGUAPE";187
"250900 MANAIRA";51
"250905 MARCACAO";31
"250910 MARI";83
"250915 MARIZOPOLIS";36
"250920 MASSARANDUBA";51
"250930 MATARACA";37
"250933 MATINHAS";9
"250937 MATO GROSSO";6
"250939 MATUREIA";33
"250940 MOGEIRO";39
"250950 MONTADAS";15
"250960 MONTE HOREBE";20
"250970 MONTEIRO";149
"250980 MULUNGU";37
"250990 NATUBA";30
"251000 NAZAREZINHO";32
"251010 NOVA FLORESTA";44
"251020 NOVA OLINDA";25
"251030 NOVA PALMEIRA";15
"251040 OLHO D'AGUA";32
"251050 OLIVEDOS";12
"251060 OURO VELHO";18
"251065 PARARI";18
"251070 PASSAGEM";8
"251080 PATOS";446
"251090 PAULISTA";53
"251100 PEDRA BRANCA";27
"251110 PEDRA LAVRADA";27
"251120 PEDRAS DE FOGO";126
"251130 PIANCO";70
"251140 PICUI";65
"251150 PILAR";57
"251160 PILOES";32
"251170 PILOEZINHOS";14
"251180 PIRPIRITUBA";43
"251190 PITIMBU";76
"251200 POCINHOS";66
"251203 POCO DANTAS";16
"251207 POCO DE JOSE DE MOURA";8
"251210 POMBAL";147
"251220 PRATA";13
"251230 PRINCESA ISABEL";76
"251240 PUXINANA";59
"251250 QUEIMADAS";157
"251260 QUIXABA";11
"251270 REMIGIO";79
"251272 PEDRO REGIS";28
"251274 RIACHAO";17
"251275 RIACHAO DO BACAMARTE";22
"251276 RIACHAO DO POCO";17
"251278 RIACHO DE SANTO ANTONIO";13
"251280 RIACHO DOS CAVALOS";41
"251290 RIO TINTO";111
"251300 SALGADINHO";10
"251310 SALGADO DE SAO FELIX";37
"251315 SANTA CECILIA";24
"251320 SANTA CRUZ";26
"251330 SANTA HELENA";31
"251335 SANTA INES";9
"251340 SANTA LUZIA";52
"251350 SANTANA DE MANGUEIRA";9
"251360 SANTANA DOS GARROTES";39
"251365 JOCA CLAUDINO";7
