 Óbitos por causas evitáveis de 5 a 74 anos - Paraná
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PR";63
"410010 ABATIA";34
"410020 ADRIANOPOLIS";33
"410030 AGUDOS DO SUL";69
"410040 ALMIRANTE TAMANDARE";536
"410045 ALTAMIRA DO PARANA";20
"410050 ALTONIA";100
"410060 ALTO PARANA";53
"410070 ALTO PIQUIRI";61
"410080 ALVORADA DO SUL";55
"410090 AMAPORA";28
"410100 AMPERE";77
"410105 ANAHY";10
"410110 ANDIRA";116
"410115 ANGULO";16
"410120 ANTONINA";104
"410130 ANTONIO OLINTO";44
"410140 APUCARANA";656
"410150 ARAPONGAS";511
"410160 ARAPOTI";133
"410165 ARAPUA";16
"410170 ARARUNA";73
"410180 ARAUCARIA";596
"410185 ARIRANHA DO IVAI";11
"410190 ASSAI";78
"410200 ASSIS CHATEAUBRIAND";159
"410210 ASTORGA";104
"410220 ATALAIA";26
"410230 BALSA NOVA";70
"410240 BANDEIRANTES";163
"410250 BARBOSA FERRAZ";76
"410260 BARRACAO";38
"410270 BARRA DO JACARE";18
"410275 BELA VISTA DA CAROBA";19
"410280 BELA VISTA DO PARAISO";73
"410290 BITURUNA";83
"410300 BOA ESPERANCA";19
"410302 BOA ESPERANCA DO IGUACU";12
"410304 BOA VENTURA DE SAO ROQUE";30
"410305 BOA VISTA DA APARECIDA";43
"410310 BOCAIUVA DO SUL";75
"410315 BOM JESUS DO SUL";16
"410320 BOM SUCESSO";29
"410322 BOM SUCESSO DO SUL";14
"410330 BORRAZOPOLIS";29
"410335 BRAGANEY";25
"410337 BRASILANDIA DO SUL";31
"410340 CAFEARA";14
"410345 CAFELANDIA";66
"410347 CAFEZAL DO SUL";23
"410350 CALIFORNIA";42
"410360 CAMBARA";122
"410370 CAMBE";422
"410380 CAMBIRA";50
"410390 CAMPINA DA LAGOA";86
"410395 CAMPINA DO SIMAO";18
"410400 CAMPINA GRANDE DO SUL";215
"410405 CAMPO BONITO";19
"410410 CAMPO DO TENENTE";37
"410420 CAMPO LARGO";554
"410425 CAMPO MAGRO";134
"410430 CAMPO MOURAO";402
"410440 CANDIDO DE ABREU";64
"410442 CANDOI";65
"410445 CANTAGALO";74
"410450 CAPANEMA";104
"410460 CAPITAO LEONIDAS MARQUES";57
"410465 CARAMBEI";78
"410470 CARLOPOLIS";82
"410480 CASCAVEL";1231
"410490 CASTRO";348
"410500 CATANDUVAS";49
"410510 CENTENARIO DO SUL";82
"410520 CERRO AZUL";55
"410530 CEU AZUL";47
"410540 CHOPINZINHO";78
"410550 CIANORTE";321
"410560 CIDADE GAUCHA";42
"410570 CLEVELANDIA";111
"410580 COLOMBO";923
"410590 COLORADO";113
"410600 CONGONHINHAS";51
"410610 CONSELHEIRO MAIRINCK";22
"410620 CONTENDA";72
"410630 CORBELIA";70
"410640 CORNELIO PROCOPIO";232
"410645 CORONEL DOMINGOS SOARES";19
"410650 CORONEL VIVIDA";96
"410655 CORUMBATAI DO SUL";40
"410657 CRUZEIRO DO IGUACU";11
"410660 CRUZEIRO DO OESTE";94
"410670 CRUZEIRO DO SUL";22
"410680 CRUZ MACHADO";77
"410685 CRUZMALTINA";18
"410690 CURITIBA";6605
"410700 CURIUVA";74
"410710 DIAMANTE DO NORTE";24
"410712 DIAMANTE DO SUL";11
"410715 DIAMANTE D'OESTE";21
"410720 DOIS VIZINHOS";164
"410725 DOURADINA";34
"410730 DOUTOR CAMARGO";43
"410740 ENEAS MARQUES";25
"410750 ENGENHEIRO BELTRAO";74
"410752 ESPERANCA NOVA";9
"410753 ENTRE RIOS DO OESTE";20
"410754 ESPIGAO ALTO DO IGUACU";21
"410755 FAROL";17
"410760 FAXINAL";90
"410765 FAZENDA RIO GRANDE";523
"410770 FENIX";29
"410773 FERNANDES PINHEIRO";25
"410775 FIGUEIRA";37
"410780 FLORAI";18
"410785 FLOR DA SERRA DO SUL";18
