 Óbitos por causas evitáveis de 5 a 74 anos - Pernambuco
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PE";60
"260005 ABREU E LIMA";435
"260010 AFOGADOS DA INGAZEIRA";143
"260020 AFRANIO";69
"260030 AGRESTINA";127
"260040 AGUA PRETA";130
"260050 AGUAS BELAS";179
"260060 ALAGOINHA";65
"260070 ALIANCA";190
"260080 ALTINHO";102
"260090 AMARAJI";95
"260100 ANGELIM";51
"260105 ARACOIABA";71
"260110 ARARIPINA";319
"260120 ARCOVERDE";334
"260130 BARRA DE GUABIRABA";55
"260140 BARREIROS";215
"260150 BELEM DE MARIA";50
"260160 BELEM DO SAO FRANCISCO";71
"260170 BELO JARDIM";348
"260180 BETANIA";50
"260190 BEZERROS";326
"260200 BODOCO";97
"260210 BOM CONSELHO";173
"260220 BOM JARDIM";162
"260230 BONITO";169
"260240 BREJAO";45
"260250 BREJINHO";38
"260260 BREJO DA MADRE DE DEUS";213
"260270 BUENOS AIRES";59
"260280 BUIQUE";174
"260290 CABO DE SANTO AGOSTINHO";1021
"260300 CABROBO";122
"260310 CACHOEIRINHA";94
"260320 CAETES";80
"260330 CALCADO";25
"260340 CALUMBI";29
"260345 CAMARAGIBE";694
"260350 CAMOCIM DE SAO FELIX";57
"260360 CAMUTANGA";34
"260370 CANHOTINHO";87
"260380 CAPOEIRAS";69
"260390 CARNAIBA";70
"260392 CARNAUBEIRA DA PENHA";55
"260400 CARPINA";364
"260410 CARUARU";1550
"260415 CASINHAS";61
"260420 CATENDE";187
"260430 CEDRO";46
"260440 CHA DE ALEGRIA";53
"260450 CHA GRANDE";84
"260460 CONDADO";134
"260470 CORRENTES";54
"260480 CORTES";62
"260490 CUMARU";65
"260500 CUPIRA";118
"260510 CUSTODIA";136
"260515 DORMENTES";63
"260520 ESCADA";328
"260530 EXU";113
"260540 FEIRA NOVA";97
"260545 FERNANDO DE NORONHA";4
"260550 FERREIROS";59
"260560 FLORES";96
"260570 FLORESTA";86
"260580 FREI MIGUELINHO";57
"260590 GAMELEIRA";101
"260600 GARANHUNS";603
"260610 GLORIA DO GOITA";96
"260620 GOIANA";348
"260630 GRANITO";26
"260640 GRAVATA";386
"260650 IATI";72
"260660 IBIMIRIM";111
"260670 IBIRAJUBA";35
"260680 IGARASSU";468
"260690 IGUARACY";42
"260700 INAJA";55
"260710 INGAZEIRA";10
"260720 IPOJUCA";372
"260730 IPUBI";112
"260740 ITACURUBA";8
"260750 ITAIBA";88
"260760 ILHA DE ITAMARACA";97
"260765 ITAMBE";165
"260770 ITAPETIM";77
"260775 ITAPISSUMA";97
"260780 ITAQUITINGA";103
"260790 JABOATAO DOS GUARARAPES";2856
"260795 JAQUEIRA";56
"260800 JATAUBA";71
"260805 JATOBA";64
"260810 JOAO ALFREDO";138
"260820 JOAQUIM NABUCO";65
"260825 JUCATI";55
"260830 JUPI";77
"260840 JUREMA";63
"260845 LAGOA DO CARRO";70
"260850 LAGOA DE ITAENGA";96
"260860 LAGOA DO OURO";52
"260870 LAGOA DOS GATOS";64
"260875 LAGOA GRANDE";89
"260880 LAJEDO";211
"260890 LIMOEIRO";270
"260900 MACAPARANA";121
"260910 MACHADOS";59
"260915 MANARI";41
"260920 MARAIAL";51
"260930 MIRANDIBA";54
"260940 MORENO";277
"260950 NAZARE DA MATA";182
"260960 OLINDA";1753
"260970 OROBO";99
"260980 OROCO";42
"260990 OURICURI";200
"261000 PALMARES";301
"261010 PALMEIRINA";32
"261020 PANELAS";113
"261030 PARANATAMA";62
"261040 PARNAMIRIM";75
"261050 PASSIRA";121
"261060 PAUDALHO";228
"261070 PAULISTA";1366
"261080 PEDRA";95
"261090 PESQUEIRA";353
"261100 PETROLANDIA";127
"261110 PETROLINA";1362
"261120 POCAO";50
"261130 POMBOS";107
"261140 PRIMAVERA";51
"261150 QUIPAPA";85
"261153 QUIXABA";28
"261160 RECIFE";7479
"261170 RIACHO DAS ALMAS";103
"261180 RIBEIRAO";181
"261190 RIO FORMOSO";79
"261200 SAIRE";50
"261210 SALGADINHO";31
"261220 SALGUEIRO";236
"261230 SALOA";62
"261240 SANHARO";106
"261245 SANTA CRUZ";33
"261247 SANTA CRUZ DA BAIXA VERDE";58
"261250 SANTA CRUZ DO CAPIBARIBE";273
"261255 SANTA FILOMENA";44
"261260 SANTA MARIA DA BOA VISTA";133
"261270 SANTA MARIA DO CAMBUCA";53
"261280 SANTA TEREZINHA";38
"261290 SAO BENEDITO DO SUL";47
"261300 SAO BENTO DO UNA";199
"261310 SAO CAITANO";178
"261320 SAO JOAO";106
"261330 SAO JOAQUIM DO MONTE";99
"261340 SAO JOSE DA COROA GRANDE";86
"261350 SAO JOSE DO BELMONTE";141
"261360 SAO JOSE DO EGITO";149
"261370 SAO LOURENCO DA MATA";520
"261380 SAO VICENTE FERRER";81
"261390 SERRA TALHADA";330
"261400 SERRITA";47
"261410 SERTANIA";120
"261420 SIRINHAEM";159
"261430 MOREILANDIA";26
"261440 SOLIDAO";13
"261450 SURUBIM";259
"261460 TABIRA";129
"261470 TACAIMBO";58
"261480 TACARATU";71
"261485 TAMANDARE";103
"261500 TAQUARITINGA DO NORTE";112
"261510 TEREZINHA";26
"261520 TERRA NOVA";20
"261530 TIMBAUBA";245
"261540 TORITAMA";125
"261550 TRACUNHAEM";69
"261560 TRINDADE";130
"261570 TRIUNFO";63
"261580 TUPANATINGA";64
"261590 TUPARETAMA";43
"261600 VENTUROSA";82
"261610 VERDEJANTE";37
"261618 VERTENTE DO LERIO";23
"261620 VERTENTES";70
"261630 VICENCIA";135
"261640 VITORIA DE SANTO ANTAO";621
"261650 XEXEU";68
"Total";39886
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
