 Óbitos por causas evitáveis de 5 a 74 anos - Rio Grande do Sul
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - RS";2
"430003 ACEGUA";10
"430005 AGUA SANTA";14
"430010 AGUDO";99
"430020 AJURICABA";22
"430030 ALECRIM";46
"430040 ALEGRETE";401
"430045 ALEGRIA";15
"430047 ALMIRANTE TAMANDARE DO SUL";5
"430050 ALPESTRE";26
"430055 ALTO ALEGRE";7
"430057 ALTO FELIZ";11
"430060 ALVORADA";979
"430063 AMARAL FERRADOR";18
"430064 AMETISTA DO SUL";39
"430066 ANDRE DA ROCHA";6
"430070 ANTA GORDA";21
"430080 ANTONIO PRADO";41
"430085 ARAMBARE";33
"430087 ARARICA";22
"430090 ARATIBA";23
"430100 ARROIO DO MEIO";98
"430105 ARROIO DO SAL";67
"430107 ARROIO DO PADRE";9
"430110 ARROIO DOS RATOS";97
"430120 ARROIO DO TIGRE";75
"430130 ARROIO GRANDE";92
"430140 ARVOREZINHA";44
"430150 AUGUSTO PESTANA";24
"430155 AUREA";6
"430160 BAGE";687
"430163 BALNEARIO PINHAL";100
"430165 BARAO";27
"430170 BARAO DE COTEGIPE";29
"430175 BARAO DO TRIUNFO";35
"430180 BARRACAO";28
"430185 BARRA DO GUARITA";16
"430187 BARRA DO QUARAI";12
"430190 BARRA DO RIBEIRO";62
"430192 BARRA DO RIO AZUL";9
"430195 BARRA FUNDA";13
"430200 BARROS CASSAL";66
"430205 BENJAMIN CONSTANT DO SUL";14
"430210 BENTO GONCALVES";435
"430215 BOA VISTA DAS MISSOES";10
"430220 BOA VISTA DO BURICA";24
"430222 BOA VISTA DO CADEADO";13
"430223 BOA VISTA DO INCRA";16
"430225 BOA VISTA DO SUL";11
"430230 BOM JESUS";59
"430235 BOM PRINCIPIO";38
"430237 BOM PROGRESSO";17
"430240 BOM RETIRO DO SUL";72
"430245 BOQUEIRAO DO LEAO";35
"430250 BOSSOROCA";33
"430258 BOZANO";8
"430260 BRAGA";17
"430265 BROCHIER";29
"430270 BUTIA";105
"430280 CACAPAVA DO SUL";191
"430290 CACEQUI";66
"430300 CACHOEIRA DO SUL";494
"430310 CACHOEIRINHA";529
"430320 CACIQUE DOBLE";20
"430330 CAIBATE";36
"430340 CAICARA";16
"430350 CAMAQUA";334
"430355 CAMARGO";9
"430360 CAMBARA DO SUL";37
"430367 CAMPESTRE DA SERRA";17
"430370 CAMPINA DAS MISSOES";36
"430380 CAMPINAS DO SUL";30
"430390 CAMPO BOM";316
"430400 CAMPO NOVO";35
"430410 CAMPOS BORGES";25
"430420 CANDELARIA";184
"430430 CANDIDO GODOI";29
"430435 CANDIOTA";45
"430440 CANELA";226
"430450 CANGUCU";263
"430460 CANOAS";1712
"430461 CANUDOS DO VALE";5
"430462 CAPAO BONITO DO SUL";9
"430463 CAPAO DA CANOA";282
"430465 CAPAO DO CIPO";11
"430466 CAPAO DO LEAO";169
"430467 CAPIVARI DO SUL";20
"430468 CAPELA DE SANTANA";58
"430469 CAPITAO";15
"430470 CARAZINHO";343
"430471 CARAA";25
"430480 CARLOS BARBOSA";89
"430485 CARLOS GOMES";7
"430490 CASCA";45
"430495 CASEIROS";16
"430500 CATUIPE";51
"430510 CAXIAS DO SUL";1755
"430511 CENTENARIO";13
"430512 CERRITO";37
"430513 CERRO BRANCO";14
"430515 CERRO GRANDE";14
"430517 CERRO GRANDE DO SUL";53
"430520 CERRO LARGO";54
"430530 CHAPADA";39
"430535 CHARQUEADAS";180
"430537 CHARRUA";15
"430540 CHIAPETTA";19
"430543 CHUI";19
"430544 CHUVISCA";27
"430545 CIDREIRA";105
"430550 CIRIACO";25
"430558 COLINAS";13
