 Óbitos por causas evitáveis de 5 a 74 anos - Rondônia
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - RO";5
"110001 ALTA FLORESTA D'OESTE";102
"110002 ARIQUEMES";389
"110003 CABIXI";20
"110004 CACOAL";324
"110005 CEREJEIRAS";68
"110006 COLORADO DO OESTE";62
"110007 CORUMBIARA";22
"110008 COSTA MARQUES";43
"110009 ESPIGAO D'OESTE";117
"110010 GUAJARA-MIRIM";179
"110011 JARU";183
"110012 JI-PARANA";474
"110013 MACHADINHO D'OESTE";126
"110014 NOVA BRASILANDIA D'OESTE";71
"110015 OURO PRETO DO OESTE";143
"110018 PIMENTA BUENO";132
"110020 PORTO VELHO";1885
"110025 PRESIDENTE MEDICI";84
"110026 RIO CRESPO";11
"110028 ROLIM DE MOURA";238
"110029 SANTA LUZIA D'OESTE";37
"110030 VILHENA";360
"110032 SAO MIGUEL DO GUAPORE";88
"110033 NOVA MAMORE";82
"110034 ALVORADA D'OESTE";64
"110037 ALTO ALEGRE DOS PARECIS";45
"110040 ALTO PARAISO";55
"110045 BURITIS";118
"110050 NOVO HORIZONTE DO OESTE";26
"110060 CACAULANDIA";15
"110070 CAMPO NOVO DE RONDONIA";31
"110080 CANDEIAS DO JAMARI";116
"110090 CASTANHEIRAS";16
"110092 CHUPINGUAIA";25
"110094 CUJUBIM";60
"110100 GOVERNADOR JORGE TEIXEIRA";26
"110110 ITAPUA DO OESTE";32
"110120 MINISTRO ANDREAZZA";26
"110130 MIRANTE DA SERRA";45
"110140 MONTE NEGRO";43
"110143 NOVA UNIAO";21
"110145 PARECIS";10
"110146 PIMENTEIRAS DO OESTE";10
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";19
"110149 SAO FRANCISCO DO GUAPORE";63
"110150 SERINGUEIRAS";49
"110155 TEIXEIROPOLIS";15
"110160 THEOBROMA";26
"110170 URUPA";38
"110175 VALE DO ANARI";40
"110180 VALE DO PARAISO";24
"Total";6305
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
