 Óbitos por causas evitáveis de 5 a 74 anos - São Paulo
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - SP";238
"350010 ADAMANTINA";136
"350020 ADOLFO";23
"350030 AGUAI";173
"350040 AGUAS DA PRATA";43
"350050 AGUAS DE LINDOIA";93
"350055 AGUAS DE SANTA BARBARA";33
"350060 AGUAS DE SAO PEDRO";18
"350070 AGUDOS";192
"350075 ALAMBARI";25
"350080 ALFREDO MARCONDES";16
"350090 ALTAIR";17
"350100 ALTINOPOLIS";64
"350110 ALTO ALEGRE";27
"350115 ALUMINIO";73
"350120 ALVARES FLORENCE";20
"350130 ALVARES MACHADO";123
"350140 ALVARO DE CARVALHO";15
"350150 ALVINLANDIA";12
"350160 AMERICANA";956
"350170 AMERICO BRASILIENSE";146
"350180 AMERICO DE CAMPOS";30
"350190 AMPARO";287
"350200 ANALANDIA";23
"350210 ANDRADINA";289
"350220 ANGATUBA";99
"350230 ANHEMBI";22
"350240 ANHUMAS";23
"350250 APARECIDA";163
"350260 APARECIDA D'OESTE";17
"350270 APIAI";125
"350275 ARACARIGUAMA";98
"350280 ARACATUBA";921
"350290 ARACOIABA DA SERRA";148
"350300 ARAMINA";16
"350310 ARANDU";32
"350315 ARAPEI";13
"350320 ARARAQUARA";1037
"350330 ARARAS";592
"350335 ARCO-IRIS";11
"350340 AREALVA";52
"350350 AREIAS";23
"350360 AREIOPOLIS";42
"350370 ARIRANHA";40
"350380 ARTUR NOGUEIRA";176
"350390 ARUJA";377
"350395 ASPASIA";10
"350400 ASSIS";486
"350410 ATIBAIA";627
"350420 AURIFLAMA";76
"350430 AVAI";26
"350440 AVANHANDAVA";51
"350450 AVARE";415
"350460 BADY BASSITT";90
"350470 BALBINOS";10
"350480 BALSAMO";44
"350490 BANANAL";32
"350500 BARAO DE ANTONINA";19
"350510 BARBOSA";40
"350520 BARIRI";142
"350530 BARRA BONITA";196
"350535 BARRA DO CHAPEU";34
"350540 BARRA DO TURVO";34
"350550 BARRETOS";632
"350560 BARRINHA";123
"350570 BARUERI";1365
"350580 BASTOS";101
"350590 BATATAIS";245
"350600 BAURU";1574
"350610 BEBEDOURO";346
"350620 BENTO DE ABREU";8
"350630 BERNARDINO DE CAMPOS";66
"350635 BERTIOGA";279
"350640 BILAC";25
"350650 BIRIGUI";478
"350660 BIRITIBA MIRIM";145
"350670 BOA ESPERANCA DO SUL";69
"350680 BOCAINA";54
"350690 BOFETE";59
"350700 BOITUVA";244
"350710 BOM JESUS DOS PERDOES";92
"350715 BOM SUCESSO DE ITARARE";15
"350720 BORA";3
"350730 BORACEIA";21
"350740 BORBOREMA";86
"350745 BOREBI";11
"350750 BOTUCATU";589
"350760 BRAGANCA PAULISTA";701
"350770 BRAUNA";25
"350775 BREJO ALEGRE";14
"350780 BRODOWSKI";100
"350790 BROTAS";104
"350800 BURI";107
"350810 BURITAMA";86
"350820 BURITIZAL";18
"350830 CABRALIA PAULISTA";22
"350840 CABREUVA";188
"350850 CACAPAVA";427
"350860 CACHOEIRA PAULISTA";154
"350870 CACONDE";83
"350880 CAFELANDIA";85
"350890 CAIABU";23
"350900 CAIEIRAS";401
"350910 CAIUA";15
"350920 CAJAMAR";338
"350925 CAJATI";93
"350930 CAJOBI";45
"350940 CAJURU";111
"350945 CAMPINA DO MONTE ALEGRE";23
"350950 CAMPINAS";4433
"350960 CAMPO LIMPO PAULISTA";389
"350970 CAMPOS DO JORDAO";273
"350980 CAMPOS NOVOS PAULISTA";29
"350990 CANANEIA";64
"350995 CANAS";29
"351000 CANDIDO MOTA";152
"351010 CANDIDO RODRIGUES";12
"351015 CANITAR";27
"351020 CAPAO BONITO";239
"351030 CAPELA DO ALTO";88
"351040 CAPIVARI";206
"351050 CARAGUATATUBA";590
"351060 CARAPICUIBA";1527
"351070 CARDOSO";70
"351080 CASA BRANCA";157
"351090 CASSIA DOS COQUEIROS";13
"351100 CASTILHO";104
"351110 CATANDUVA";517
"351120 CATIGUA";44
"351130 CEDRAL";50
"351140 CERQUEIRA CESAR";90
"351150 CERQUILHO";180
"351160 CESARIO LANGE";84
"351170 CHARQUEADA";66
"351190 CLEMENTINA";31
"351200 COLINA";92
"351210 COLOMBIA";35
"351220 CONCHAL";131
"351230 CONCHAS";61
"351240 CORDEIROPOLIS";96
"351250 COROADOS";30
"351260 CORONEL MACEDO";31
"351270 CORUMBATAI";21
"351280 COSMOPOLIS";238
"351290 COSMORAMA";44
"351300 COTIA";1012
"351310 CRAVINHOS";167
"351320 CRISTAIS PAULISTA";51
"351330 CRUZALIA";12
"351340 CRUZEIRO";404
"351350 CUBATAO";534
"351360 CUNHA";98
"351370 DESCALVADO";139
"351380 DIADEMA";1494
"351385 DIRCE REIS";10
"351390 DIVINOLANDIA";86
"351400 DOBRADA";32
"351410 DOIS CORREGOS";137
"351420 DOLCINOPOLIS";15
"351430 DOURADO";56
"351440 DRACENA";218
"351450 DUARTINA";55
"351460 DUMONT";34
"351470 ECHAPORA";29
"351480 ELDORADO";53
"351490 ELIAS FAUSTO";57
"351492 ELISIARIO";11
"351495 EMBAUBA";19
"351500 EMBU DAS ARTES";1089
"351510 EMBU-GUACU";393
"351512 EMILIANOPOLIS";10
"351515 ENGENHEIRO COELHO";62
"351518 ESPIRITO SANTO DO PINHAL";218
"351519 ESPIRITO SANTO DO TURVO";22
"351520 ESTRELA D'OESTE";42
"351530 ESTRELA DO NORTE";12
"351535 EUCLIDES DA CUNHA PAULISTA";36
"351540 FARTURA";89
"351550 FERNANDOPOLIS";345
"351560 FERNANDO PRESTES";27
"351565 FERNAO";6
"351570 FERRAZ DE VASCONCELOS";816
"351580 FLORA RICA";11
"351590 FLOREAL";16
"351600 FLORIDA PAULISTA";62
"351610 FLORINEA";20
"351620 FRANCA";1456
"351630 FRANCISCO MORATO";716
"351640 FRANCO DA ROCHA";651
"351650 GABRIEL MONTEIRO";16
"351660 GALIA";32
"351670 GARCA";215
"351680 GASTAO VIDIGAL";21
"351685 GAVIAO PEIXOTO";20
"351690 GENERAL SALGADO";59
"351700 GETULINA";54
"351710 GLICERIO";20
"351720 GUAICARA";54
"351730 GUAIMBE";28
"351740 GUAIRA";181
"351750 GUAPIACU";85
"351760 GUAPIARA";91
"351770 GUARA";90
"351780 GUARACAI";33
"351790 GUARACI";57
"351800 GUARANI D'OESTE";8
"351810 GUARANTA";33
"351820 GUARARAPES";158
"351830 GUARAREMA";112
"351840 GUARATINGUETA";546
"351850 GUAREI";63
"351860 GUARIBA";195
"351870 GUARUJA";1451
"351880 GUARULHOS";5693
"351885 GUATAPARA";33
"351890 GUZOLANDIA";27
"351900 HERCULANDIA";40
"351905 HOLAMBRA";51
"351907 HORTOLANDIA";845
"351910 IACANGA";58
"351920 IACRI";34
"351925 IARAS";60
"351930 IBATE";145
"351940 IBIRA";61
"351950 IBIRAREMA";30
"351960 IBITINGA";300
"351970 IBIUNA";399
"351980 ICEM";36
"351990 IEPE";38
"352000 IGARACU DO TIETE";102
"352010 IGARAPAVA";135
"352020 IGARATA";47
"352030 IGUAPE";157
"352040 ILHABELA";125
"352042 ILHA COMPRIDA";107
"352044 ILHA SOLTEIRA";118
"352050 INDAIATUBA";851
"352060 INDIANA";19
"352070 INDIAPORA";20
"352080 INUBIA PAULISTA";20
"352090 IPAUSSU";62
"352100 IPERO";148
"352110 IPEUNA";27
"352115 IPIGUA";32
"352120 IPORANGA";15
"352130 IPUA";56
"352140 IRACEMAPOLIS";86
"352150 IRAPUA";32
"352160 IRAPURU";32
"352170 ITABERA";74
"352180 ITAI";132
"352190 ITAJOBI";63
"352200 ITAJU";13
"352210 ITANHAEM";662
"352215 ITAOCA";15
"352220 ITAPECERICA DA SERRA";781
"352230 ITAPETININGA";697
"352240 ITAPEVA";471
"352250 ITAPEVI";900
"352260 ITAPIRA";383
"352265 ITAPIRAPUA PAULISTA";23
"352270 ITAPOLIS";184
"352280 ITAPORANGA";86
"352290 ITAPUI";67
"352300 ITAPURA";37
"352310 ITAQUAQUECETUBA";1501
"352320 ITARARE";250
"352330 ITARIRI";81
"352340 ITATIBA";436
