 Óbitos por causas evitáveis de 5 a 74 anos - Acre
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - AC";1
"120001 ACRELANDIA";31
"120005 ASSIS BRASIL";24
"120010 BRASILEIA";76
"120013 BUJARI";36
"120017 CAPIXABA";39
"120020 CRUZEIRO DO SUL";265
"120025 EPITACIOLANDIA";46
"120030 FEIJO";78
"120032 JORDAO";9
"120033 MANCIO LIMA";46
"120034 MANOEL URBANO";18
"120035 MARECHAL THAUMATURGO";17
"120038 PLACIDO DE CASTRO";51
"120039 PORTO WALTER";20
"120040 RIO BRANCO";1362
"120042 RODRIGUES ALVES";21
"120043 SANTA ROSA DO PURUS";5
"120045 SENADOR GUIOMARD";66
"120050 SENA MADUREIRA";119
"120060 TARAUACA";102
"120070 XAPURI";42
"120080 PORTO ACRE";51
"Total";2525
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
