 Óbitos por causas evitáveis de 5 a 74 anos - Alagoas
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"270010 AGUA BRANCA";60
"270020 ANADIA";69
"270030 ARAPIRACA";900
"270040 ATALAIA";167
"270050 BARRA DE SANTO ANTONIO";77
"270060 BARRA DE SAO MIGUEL";49
"270070 BATALHA";57
"270080 BELEM";22
"270090 BELO MONTE";13
"270100 BOCA DA MATA";112
"270110 BRANQUINHA";44
"270120 CACIMBINHAS";38
"270130 CAJUEIRO";69
"270135 CAMPESTRE";34
"270140 CAMPO ALEGRE";132
"270150 CAMPO GRANDE";30
"270160 CANAPI";55
"270170 CAPELA";65
"270180 CARNEIROS";28
"270190 CHA PRETA";22
"270200 COITE DO NOIA";56
"270210 COLONIA LEOPOLDINA";88
"270220 COQUEIRO SECO";32
"270230 CORURIPE";209
"270235 CRAIBAS";88
"270240 DELMIRO GOUVEIA";175
"270250 DOIS RIACHOS";33
"270255 ESTRELA DE ALAGOAS";48
"270260 FEIRA GRANDE";74
"270270 FELIZ DESERTO";12
"270280 FLEXEIRAS";59
"270290 GIRAU DO PONCIANO";105
"270300 IBATEGUARA";54
"270310 IGACI";116
"270320 IGREJA NOVA";67
"270330 INHAPI";65
"270340 JACARE DOS HOMENS";21
"270350 JACUIPE";23
"270360 JAPARATINGA";24
"270370 JARAMATAIA";18
"270375 JEQUIA DA PRAIA";20
"270380 JOAQUIM GOMES";68
"270390 JUNDIA";14
"270400 JUNQUEIRO";79
"270410 LAGOA DA CANOA";78
"270420 LIMOEIRO DE ANADIA";69
"270430 MACEIO";3819
"270440 MAJOR ISIDORO";75
"270450 MARAGOGI";101
"270460 MARAVILHA";38
"270470 MARECHAL DEODORO";200
"270480 MARIBONDO";49
"270490 MAR VERMELHO";6
"270500 MATA GRANDE";61
"270510 MATRIZ DE CAMARAGIBE";93
"270520 MESSIAS";67
"270530 MINADOR DO NEGRAO";19
"270540 MONTEIROPOLIS";22
"270550 MURICI";113
"270560 NOVO LINO";38
"270570 OLHO D'AGUA DAS FLORES";54
"270580 OLHO D'AGUA DO CASADO";26
"270590 OLHO D'AGUA GRANDE";12
"270600 OLIVENCA";34
"270610 OURO BRANCO";32
"270620 PALESTINA";11
"270630 PALMEIRA DOS INDIOS";301
"270640 PAO DE ACUCAR";57
"270642 PARICONHA";35
"270644 PARIPUEIRA";45
"270650 PASSO DE CAMARAGIBE";40
"270660 PAULO JACINTO";34
"270670 PENEDO";214
"270680 PIACABUCU";58
"270690 PILAR";158
"270700 PINDOBA";7
"270710 PIRANHAS";65
"270720 POCO DAS TRINCHEIRAS";24
"270730 PORTO CALVO";104
"270740 PORTO DE PEDRAS";14
"270750 PORTO REAL DO COLEGIO";51
"270760 QUEBRANGULO";42
"270770 RIO LARGO";382
"270780 ROTEIRO";22
"270790 SANTA LUZIA DO NORTE";27
"270800 SANTANA DO IPANEMA";143
"270810 SANTANA DO MUNDAU";49
"270820 SAO BRAS";24
"270830 SAO JOSE DA LAJE";86
"270840 SAO JOSE DA TAPERA";102
"270850 SAO LUIS DO QUITUNDE";113
"270860 SAO MIGUEL DOS CAMPOS";191
"270870 SAO MIGUEL DOS MILAGRES";24
"270880 SAO SEBASTIAO";114
"270890 SATUBA";45
"270895 SENADOR RUI PALMEIRA";31
"270900 TANQUE D'ARCA";20
"270910 TAQUARANA";64
"270915 TEOTONIO VILELA";157
"270920 TRAIPU";67
"270930 UNIAO DOS PALMARES";258
"270940 VICOSA";87
"Total";11863
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
