 Óbitos por causas evitáveis de 5 a 74 anos - Amazonas
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"130002 ALVARAES";20
"130006 AMATURA";14
"130008 ANAMA";10
"130010 ANORI";25
"130014 APUI";52
"130020 ATALAIA DO NORTE";15
"130030 AUTAZES";74
"130040 BARCELOS";39
"130050 BARREIRINHA";46
"130060 BENJAMIN CONSTANT";95
"130063 BERURI";25
"130068 BOA VISTA DO RAMOS";34
"130070 BOCA DO ACRE";102
"130080 BORBA";70
"130083 CAAPIRANGA";18
"130090 CANUTAMA";29
"130100 CARAUARI";49
"130110 CAREIRO";93
"130115 CAREIRO DA VARZEA";28
"130120 COARI";206
"130130 CODAJAS";49
"130140 EIRUNEPE";92
"130150 ENVIRA";46
"130160 FONTE BOA";45
"130165 GUAJARA";38
"130170 HUMAITA";122
"130180 IPIXUNA";28
"130185 IRANDUBA";163
"130190 ITACOATIARA";251
"130195 ITAMARATI";12
"130200 ITAPIRANGA";22
"130210 JAPURA";6
"130220 JURUA";20
"130230 JUTAI";21
"130240 LABREA";79
"130250 MANACAPURU";232
"130255 MANAQUIRI";29
"130260 MANAUS";7070
"130270 MANICORE";78
"130280 MARAA";26
"130290 MAUES";113
"130300 NHAMUNDA";26
"130310 NOVA OLINDA DO NORTE";61
"130320 NOVO AIRAO";33
"130330 NOVO ARIPUANA";40
"130340 PARINTINS";224
"130350 PAUINI";30
"130353 PRESIDENTE FIGUEIREDO";74
"130356 RIO PRETO DA EVA";57
"130360 SANTA ISABEL DO RIO NEGRO";27
"130370 SANTO ANTONIO DO ICA";35
"130380 SAO GABRIEL DA CACHOEIRA";154
"130390 SAO PAULO DE OLIVENCA";54
"130395 SAO SEBASTIAO DO UATUMA";12
"130400 SILVES";14
"130406 TABATINGA";145
"130410 TAPAUA";31
"130420 TEFE";157
"130423 TONANTINS";18
"130426 UARINI";21
"130430 URUCARA";34
"130440 URUCURITUBA";37
"Total";10870
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
