 Óbitos por causas evitáveis de 5 a 74 anos - Amapá
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"160005 SERRA DO NAVIO";6
"160010 AMAPA";14
"160015 PEDRA BRANCA DO AMAPARI";18
"160020 CALCOENE";22
"160021 CUTIAS";7
"160023 FERREIRA GOMES";13
"160025 ITAUBAL";5
"160027 LARANJAL DO JARI";96
"160030 MACAPA";1447
"160040 MAZAGAO";36
"160050 OIAPOQUE";43
"160053 PORTO GRANDE";39
"160055 PRACUUBA";9
"160060 SANTANA";316
"160070 TARTARUGALZINHO";22
"160080 VITORIA DO JARI";24
"Total";2117
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
