 Óbitos por causas evitáveis de 5 a 74 anos - Bahia
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - BA";168
"290010 ABAIRA";21
"290020 ABARE";52
"290030 ACAJUTIBA";58
"290035 ADUSTINA";31
"290040 AGUA FRIA";46
"290050 ERICO CARDOSO";30
"290060 AIQUARA";12
"290070 ALAGOINHAS";655
"290080 ALCOBACA";113
"290090 ALMADINA";35
"290100 AMARGOSA";132
"290110 AMELIA RODRIGUES";120
"290115 AMERICA DOURADA";46
"290120 ANAGE";79
"290130 ANDARAI";36
"290135 ANDORINHA";33
"290140 ANGICAL";54
"290150 ANGUERA";32
"290160 ANTAS";48
"290170 ANTONIO CARDOSO";30
"290180 ANTONIO GONCALVES";37
"290190 APORA";63
"290195 APUAREMA";26
"290200 ARACATU";43
"290205 ARACAS";51
"290210 ARACI";169
"290220 ARAMARI";46
"290225 ARATACA";54
"290230 ARATUIPE";36
"290240 AURELINO LEAL";66
"290250 BAIANOPOLIS";44
"290260 BAIXA GRANDE";73
"290265 BANZAE";36
"290270 BARRA";175
"290280 BARRA DA ESTIVA";81
"290290 BARRA DO CHOCA";149
"290300 BARRA DO MENDES";54
"290310 BARRA DO ROCHA";24
"290320 BARREIRAS";506
"290323 BARRO ALTO";75
"290327 BARROCAS";38
"290330 BARRO PRETO";36
"290340 BELMONTE";95
"290350 BELO CAMPO";68
"290360 BIRITINGA";44
"290370 BOA NOVA";40
"290380 BOA VISTA DO TUPIM";56
"290390 BOM JESUS DA LAPA";217
"290395 BOM JESUS DA SERRA";32
"290400 BONINAL";46
"290405 BONITO";55
"290410 BOQUIRA";61
"290420 BOTUPORA";33
"290430 BREJOES";45
"290440 BREJOLANDIA";14
"290450 BROTAS DE MACAUBAS";36
"290460 BRUMADO";242
"290470 BUERAREMA";65
"290475 BURITIRAMA";70
"290480 CAATIBA";12
"290485 CABACEIRAS DO PARAGUACU";62
"290490 CACHOEIRA";116
"290500 CACULE";59
"290510 CAEM";31
"290515 CAETANOS";19
"290520 CAETITE";142
"290530 CAFARNAUM";65
"290540 CAIRU";53
"290550 CALDEIRAO GRANDE";26
"290560 CAMACAN";153
"290570 CAMACARI";1011
"290580 CAMAMU";140
"290590 CAMPO ALEGRE DE LOURDES";71
"290600 CAMPO FORMOSO";199
"290610 CANAPOLIS";15
"290620 CANARANA";65
"290630 CANAVIEIRAS";146
"290640 CANDEAL";34
"290650 CANDEIAS";366
"290660 CANDIBA";50
"290670 CANDIDO SALES";106
"290680 CANSANCAO";115
"290682 CANUDOS";43
"290685 CAPELA DO ALTO ALEGRE";39
"290687 CAPIM GROSSO";103
"290689 CARAIBAS";36
"290690 CARAVELAS";69
"290700 CARDEAL DA SILVA";22
"290710 CARINHANHA";107
"290720 CASA NOVA";188
"290730 CASTRO ALVES";116
"290740 CATOLANDIA";12
"290750 CATU";205
"290755 CATURAMA";14
"290760 CENTRAL";52
"290770 CHORROCHO";34
"290780 CICERO DANTAS";122
"290790 CIPO";58
"290800 COARACI";104
"290810 COCOS";41
"290820 CONCEICAO DA FEIRA";70
"290830 CONCEICAO DO ALMEIDA";61
"290840 CONCEICAO DO COITE";232
"290850 CONCEICAO DO JACUIPE";138
"290860 CONDE";69
"290870 CONDEUBA";51
"290880 CONTENDAS DO SINCORA";12
"290890 CORACAO DE MARIA";101
"290900 CORDEIROS";19
"290910 CORIBE";35
"290920 CORONEL JOAO SA";42
"290930 CORRENTINA";67
"290940 COTEGIPE";38
"290950 CRAVOLANDIA";15
"290960 CRISOPOLIS";78
"290970 CRISTOPOLIS";34
"290980 CRUZ DAS ALMAS";236
"290990 CURACA";96
"291000 DARIO MEIRA";31
"291005 DIAS D'AVILA";268
"291010 DOM BASILIO";33
"291020 DOM MACEDO COSTA";19
"291030 ELISIO MEDRADO";26
"291040 ENCRUZILHADA";69
"291050 ENTRE RIOS";168
"291060 ESPLANADA";122
"291070 EUCLIDES DA CUNHA";193
"291072 EUNAPOLIS";427
"291075 FATIMA";54
"291077 FEIRA DA MATA";14
"291080 FEIRA DE SANTANA";2310
"291085 FILADELFIA";58
"291090 FIRMINO ALVES";23
"291100 FLORESTA AZUL";39
"291110 FORMOSA DO RIO PRETO";57
"291120 GANDU";124
"291125 GAVIAO";9
"291130 GENTIO DO OURO";28
"291140 GLORIA";54
"291150 GONGOGI";32
"291160 GOVERNADOR MANGABEIRA";75
"291165 GUAJERU";20
"291170 GUANAMBI";257
"291180 GUARATINGA";64
"291185 HELIOPOLIS";32
"291190 IACU";87
"291200 IBIASSUCE";27
"291210 IBICARAI";101
"291220 IBICOARA";37
"291230 IBICUI";53
"291240 IBIPEBA";46
"291250 IBIPITANGA";42
"291260 IBIQUERA";9
"291270 IBIRAPITANGA";93
"291280 IBIRAPUA";27
"291290 IBIRATAIA";94
"291300 IBITIARA";49
"291310 IBITITA";41
"291320 IBOTIRAMA";109
"291330 ICHU";15
"291340 IGAPORA";42
"291345 IGRAPIUNA";45
"291350 IGUAI";84
"291360 ILHEUS";848
"291370 INHAMBUPE";129
"291380 IPECAETA";49
"291390 IPIAU";202
"291400 IPIRA";235
"291410 IPUPIARA";33
"291420 IRAJUBA";26
"291430 IRAMAIA";25
"291440 IRAQUARA";68
"291450 IRARA";126
"291460 IRECE";240
"291465 ITABELA";124
"291470 ITABERABA";267
"291480 ITABUNA";961
"291490 ITACARE";86
"291500 ITAETE";36
"291510 ITAGI";52
"291520 ITAGIBA";46
"291530 ITAGIMIRIM";31
"291535 ITAGUACU DA BAHIA";54
"291540 ITAJU DO COLONIA";37
"291550 ITAJUIPE";104
"291560 ITAMARAJU";266
"291570 ITAMARI";36
"291580 ITAMBE";90
"291590 ITANAGRA";20
"291600 ITANHEM";79
"291610 ITAPARICA";107
"291620 ITAPE";48
"291630 ITAPEBI";43
"291640 ITAPETINGA";295
"291650 ITAPICURU";96
"291660 ITAPITANGA";39
"291670 ITAQUARA";24
"291680 ITARANTIM";61
"291685 ITATIM";47
"291690 ITIRUCU";45
"291700 ITIUBA";109
"291710 ITORORO";91
"291720 ITUACU";55
"291730 ITUBERA";104
"291733 IUIU";37
"291735 JABORANDI";25
"291740 JACARACI";39
"291750 JACOBINA";315
"291760 JAGUAQUARA";193
"291770 JAGUARARI";87
"291780 JAGUARIPE";50
"291790 JANDAIRA";27
"291800 JEQUIE";642
"291810 JEREMOABO";117
"291820 JIQUIRICA";43
"291830 JITAUNA";49
"291835 JOAO DOURADO";86
"291840 JUAZEIRO";800
"291845 JUCURUCU";21
"291850 JUSSARA";48
"291855 JUSSARI";24
"291860 JUSSIAPE";18
"291870 LAFAIETE COUTINHO";22
"291875 LAGOA REAL";16
"291880 LAJE";62
"291890 LAJEDAO";16
"291900 LAJEDINHO";18
"291905 LAJEDO DO TABOCAL";26
"291910 LAMARAO";21
"291915 LAPAO";79
"291920 LAURO DE FREITAS";770
"291930 LENCOIS";23
"291940 LICINIO DE ALMEIDA";31
"291950 LIVRAMENTO DE NOSSA SENHORA";100
"291955 LUIS EDUARDO MAGALHAES";191
"291960 MACAJUBA";38
"291970 MACARANI";71
"291980 MACAUBAS";134
"291990 MACURURE";29
"291992 MADRE DE DEUS";79
"291995 MAETINGA";20
"292000 MAIQUINIQUE";31
"292010 MAIRI";76
"292020 MALHADA";50
"292030 MALHADA DE PEDRAS";24
"292040 MANOEL VITORINO";28
"292045 MANSIDAO";22
"292050 MARACAS";87
"292060 MARAGOGIPE";194
"292070 MARAU";51
"292080 MARCIONILIO SOUZA";32
"292090 MASCOTE";60
"292100 MATA DE SAO JOAO";180
"292105 MATINA";33
"292110 MEDEIROS NETO";114
"292120 MIGUEL CALMON";104
"292130 MILAGRES";41
"292140 MIRANGABA";47
"292145 MIRANTE";20
"292150 MONTE SANTO";143
"292160 MORPARA";30
"292170 MORRO DO CHAPEU";106
"292180 MORTUGABA";29
"292190 MUCUGE";35
"292200 MUCURI";96
"292205 MULUNGU DO MORRO";53
"292210 MUNDO NOVO";60
"292220 MUNIZ FERREIRA";37
"292225 MUQUEM DE SAO FRANCISCO";30
"292230 MURITIBA";100
"292240 MUTUIPE";69
"292250 NAZARE";114
"292260 NILO PECANHA";34
"292265 NORDESTINA";29
"292270 NOVA CANAA";56
"292273 NOVA FATIMA";18
"292275 NOVA IBIA";17
"292280 NOVA ITARANA";32
"292285 NOVA REDENCAO";21
"292290 NOVA SOURE";78
"292300 NOVA VICOSA";133
"292303 NOVO HORIZONTE";40
"292305 NOVO TRIUNFO";25
"292310 OLINDINA";79
"292320 OLIVEIRA DOS BREJINHOS";68
"292330 OURICANGAS";28
"292335 OUROLANDIA";69
"292340 PALMAS DE MONTE ALTO";74
"292350 PALMEIRAS";25
"292360 PARAMIRIM";62
"292370 PARATINGA";97
"292380 PARIPIRANGA";78
"292390 PAU BRASIL";36
"292400 PAULO AFONSO";453
"292405 PE DE SERRA";51
"292410 PEDRAO";30
"292420 PEDRO ALEXANDRE";44
"292430 PIATA";63
"292440 PILAO ARCADO";85
"292450 PINDAI";58
