 Óbitos por causas evitáveis de 5 a 74 anos - Ceará
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - CE";1
"230010 ABAIARA";31
"230015 ACARAPE";59
"230020 ACARAU";186
"230030 ACOPIARA";202
"230040 AIUABA";38
"230050 ALCANTARAS";38
"230060 ALTANEIRA";25
"230070 ALTO SANTO";57
"230075 AMONTADA";106
"230080 ANTONINA DO NORTE";28
"230090 APUIARES";34
"230100 AQUIRAZ";294
"230110 ARACATI";215
"230120 ARACOIABA";93
"230125 ARARENDA";33
"230130 ARARIPE";67
"230140 ARATUBA";36
"230150 ARNEIROZ";28
"230160 ASSARE";49
"230170 AURORA";74
"230180 BAIXIO";24
"230185 BANABUIU";68
"230190 BARBALHA";196
"230195 BARREIRA";80
"230200 BARRO";71
"230205 BARROQUINHA";36
"230210 BATURITE";126
"230220 BEBERIBE";171
"230230 BELA CRUZ";100
"230240 BOA VIAGEM";187
"230250 BREJO SANTO";137
"230260 CAMOCIM";222
"230270 CAMPOS SALES";100
"230280 CANINDE";260
"230290 CAPISTRANO";67
"230300 CARIDADE";61
"230310 CARIRE";65
"230320 CARIRIACU";94
"230330 CARIUS";59
"230340 CARNAUBAL";53
"230350 CASCAVEL";247
"230360 CATARINA";41
"230365 CATUNDA";38
"230370 CAUCAIA";1301
"230380 CEDRO";99
"230390 CHAVAL";55
"230393 CHORO";32
"230395 CHOROZINHO";95
"230400 COREAU";94
"230410 CRATEUS";277
"230420 CRATO";413
"230423 CROATA";73
"230425 CRUZ";75
"230426 DEPUTADO IRAPUAN PINHEIRO";31
"230427 ERERE";20
"230428 EUSEBIO";181
"230430 FARIAS BRITO";49
"230435 FORQUILHA";89
"230440 FORTALEZA";9261
"230445 FORTIM";50
"230450 FRECHEIRINHA";47
"230460 GENERAL SAMPAIO";23
"230465 GRACA";48
"230470 GRANJA";138
"230480 GRANJEIRO";14
"230490 GROAIRAS";41
"230495 GUAIUBA";96
"230500 GUARACIABA DO NORTE";148
"230510 GUARAMIRANGA";24
"230520 HIDROLANDIA";73
"230523 HORIZONTE";251
"230526 IBARETAMA";36
"230530 IBIAPINA";82
"230533 IBICUITINGA";31
"230535 ICAPUI";54
"230540 ICO";219
"230550 IGUATU";361
"230560 INDEPENDENCIA";71
"230565 IPAPORANGA";43
"230570 IPAUMIRIM";25
"230580 IPU";137
"230590 IPUEIRAS";144
"230600 IRACEMA";56
"230610 IRAUCUBA";48
"230620 ITAICABA";19
"230625 ITAITINGA";175
"230630 ITAPAJE";188
"230640 ITAPIPOCA";350
"230650 ITAPIUNA";61
"230655 ITAREMA";138
"230660 ITATIRA";68
"230670 JAGUARETAMA";62
"230680 JAGUARIBARA";30
"230690 JAGUARIBE";115
"230700 JAGUARUANA";109
"230710 JARDIM";90
"230720 JATI";30
"230725 JIJOCA DE JERICOACOARA";59
"230730 JUAZEIRO DO NORTE";899
"230740 JUCAS";112
"230750 LAVRAS DA MANGABEIRA";108
"230760 LIMOEIRO DO NORTE";213
"230763 MADALENA";52
"230765 MARACANAU";867
"230770 MARANGUAPE";437
"230780 MARCO";85
"230790 MARTINOPOLE";32
"230800 MASSAPE";132
"230810 MAURITI";123
"230820 MERUOCA";44
"230830 MILAGRES";97
"230835 MILHA";53
"230837 MIRAIMA";45
"230840 MISSAO VELHA";100
"230850 MOMBACA";127
"230860 MONSENHOR TABOSA";69
"230870 MORADA NOVA";243
"230880 MORAUJO";29
"230890 MORRINHOS";63
"230900 MUCAMBO";58
"230910 MULUNGU";35
"230920 NOVA OLINDA";38
"230930 NOVA RUSSAS";124
"230940 NOVO ORIENTE";86
"230945 OCARA";83
"230950 OROS";88
"230960 PACAJUS";277
"230970 PACATUBA";256
"230980 PACOTI";48
"230990 PACUJA";18
"231000 PALHANO";28
"231010 PALMACIA";44
"231020 PARACURU";129
"231025 PARAIPABA";92
"231030 PARAMBU";96
"231040 PARAMOTI";26
"231050 PEDRA BRANCA";157
"231060 PENAFORTE";24
"231070 PENTECOSTE";139
"231080 PEREIRO";53
"231085 PINDORETAMA";82
"231090 PIQUET CARNEIRO";54
"231095 PIRES FERREIRA";32
"231100 PORANGA";47
"231110 PORTEIRAS";52
"231120 POTENGI";35
"231123 POTIRETAMA";23
"231126 QUITERIANOPOLIS";73
"231130 QUIXADA";298
"231135 QUIXELO";66
"231140 QUIXERAMOBIM";256
"231150 QUIXERE";60
"231160 REDENCAO";97
"231170 RERIUTABA";67
"231180 RUSSAS";272
"231190 SABOEIRO";63
"231195 SALITRE";48
"231200 SANTANA DO ACARAU";106
"231210 SANTANA DO CARIRI";42
"231220 SANTA QUITERIA";160
"231230 SAO BENEDITO";162
"231240 SAO GONCALO DO AMARANTE";188
"231250 SAO JOAO DO JAGUARIBE";30
"231260 SAO LUIS DO CURU";50
"231270 SENADOR POMPEU";118
"231280 SENADOR SA";25
"231290 SOBRAL";751
"231300 SOLONOPOLE";57
"231310 TABULEIRO DO NORTE";123
"231320 TAMBORIL";102
"231325 TARRAFAS";12
"231330 TAUA";207
"231335 TEJUCUOCA";47
"231340 TIANGUA";255
"231350 TRAIRI";167
"231355 TURURU";43
"231360 UBAJARA";113
"231370 UMARI";28
"231375 UMIRIM";58
"231380 URUBURETAMA";61
"231390 URUOCA";41
"231395 VARJOTA";80
"231400 VARZEA ALEGRE";147
"231410 VICOSA DO CEARA";179
"Total";30902
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
