 Óbitos por causas evitáveis de 5 a 74 anos - Minas Gerais
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MG";130
"310010 ABADIA DOS DOURADOS";33
"310020 ABAETE";88
"310030 ABRE CAMPO";54
"310040 ACAIACA";21
"310050 ACUCENA";21
"310060 AGUA BOA";43
"310070 AGUA COMPRIDA";11
"310080 AGUANIL";22
"310090 AGUAS FORMOSAS";85
"310100 AGUAS VERMELHAS";33
"310110 AIMORES";106
"310120 AIURUOCA";23
"310130 ALAGOA";11
"310140 ALBERTINA";7
"310150 ALEM PARAIBA";193
"310160 ALFENAS";332
"310163 ALFREDO VASCONCELOS";19
"310170 ALMENARA";137
"310180 ALPERCATA";45
"310190 ALPINOPOLIS";63
"310200 ALTEROSA";64
"310205 ALTO CAPARAO";27
"310210 ALTO RIO DOCE";55
"310220 ALVARENGA";15
"310230 ALVINOPOLIS";66
"310240 ALVORADA DE MINAS";15
"310250 AMPARO DO SERRA";22
"310260 ANDRADAS";144
"310270 CACHOEIRA DE PAJEU";41
"310280 ANDRELANDIA";71
"310285 ANGELANDIA";20
"310290 ANTONIO CARLOS";62
"310300 ANTONIO DIAS";41
"310310 ANTONIO PRADO DE MINAS";4
"310320 ARACAI";7
"310330 ARACITABA";9
"310340 ARACUAI";115
"310350 ARAGUARI";479
"310360 ARANTINA";15
"310370 ARAPONGA";23
"310375 ARAPORA";19
"310380 ARAPUA";12
"310390 ARAUJOS";32
"310400 ARAXA";427
"310410 ARCEBURGO";36
"310420 ARCOS";142
"310430 AREADO";62
"310440 ARGIRITA";12
"310445 ARICANDUVA";12
"310450 ARINOS";52
"310460 ASTOLFO DUTRA";56
"310470 ATALEIA";31
"310480 AUGUSTO DE LIMA";13
"310490 BAEPENDI";77
"310500 BALDIM";29
"310510 BAMBUI";107
"310520 BANDEIRA";12
"310530 BANDEIRA DO SUL";21
"310540 BARAO DE COCAIS";107
"310550 BARAO DE MONTE ALTO";28
"310560 BARBACENA";527
"310570 BARRA LONGA";20
"310590 BARROSO";109
"310600 BELA VISTA DE MINAS";33
"310610 BELMIRO BRAGA";10
"310620 BELO HORIZONTE";7931
"310630 BELO ORIENTE";70
"310640 BELO VALE";41
"310650 BERILO";37
"310660 BERTOPOLIS";14
"310665 BERIZAL";15
"310670 BETIM";1379
"310680 BIAS FORTES";17
"310690 BICAS";71
"310700 BIQUINHAS";13
"310710 BOA ESPERANCA";191
"310720 BOCAINA DE MINAS";14
"310730 BOCAIUVA";151
"310740 BOM DESPACHO";177
"310750 BOM JARDIM DE MINAS";29
"310760 BOM JESUS DA PENHA";14
"310770 BOM JESUS DO AMPARO";19
"310780 BOM JESUS DO GALHO";60
"310790 BOM REPOUSO";42
"310800 BOM SUCESSO";67
"310810 BONFIM";22
"310820 BONFINOPOLIS DE MINAS";18
"310825 BONITO DE MINAS";20
"310830 BORDA DA MATA";75
"310840 BOTELHOS";59
"310850 BOTUMIRIM";23
"310855 BRASILANDIA DE MINAS";58
"310860 BRASILIA DE MINAS";126
"310870 BRAS PIRES";25
"310880 BRAUNAS";19
"310890 BRAZOPOLIS";61
"310900 BRUMADINHO";148
"310910 BUENO BRANDAO";46
"310920 BUENOPOLIS";37
"310925 BUGRE";13
"310930 BURITIS";74
"310940 BURITIZEIRO";96
"310945 CABECEIRA GRANDE";18
"310950 CABO VERDE";38
"310960 CACHOEIRA DA PRATA";14
"310970 CACHOEIRA DE MINAS";40
"310980 CACHOEIRA DOURADA";9
"310990 CAETANOPOLIS";55
"311000 CAETE";161
"311010 CAIANA";13
"311020 CAJURI";17
"311030 CALDAS";75
"311040 CAMACHO";9
"311050 CAMANDUCAIA";93
"311060 CAMBUI";93
"311070 CAMBUQUIRA";61
"311080 CAMPANARIO";16
"311090 CAMPANHA";79
"311100 CAMPESTRE";81
"311110 CAMPINA VERDE";59
"311115 CAMPO AZUL";16
"311120 CAMPO BELO";240
"311130 CAMPO DO MEIO";50
"311140 CAMPO FLORIDO";29
"311150 CAMPOS ALTOS";59
"311160 CAMPOS GERAIS";129
"311170 CANAA";8
"311180 CANAPOLIS";41
"311190 CANA VERDE";21
"311200 CANDEIAS";50
"311205 CANTAGALO";23
"311210 CAPARAO";15
"311220 CAPELA NOVA";18
"311230 CAPELINHA";121
"311240 CAPETINGA";20
"311250 CAPIM BRANCO";33
"311260 CAPINOPOLIS";69
"311265 CAPITAO ANDRADE";22
"311270 CAPITAO ENEAS";44
"311280 CAPITOLIO";29
"311290 CAPUTIRA";27
"311300 CARAI";92
"311310 CARANAIBA";10
"311320 CARANDAI";84
"311330 CARANGOLA";165
"311340 CARATINGA";318
"311350 CARBONITA";25
"311360 CAREACU";19
"311370 CARLOS CHAGAS";86
"311380 CARMESIA";7
"311390 CARMO DA CACHOEIRA";58
"311400 CARMO DA MATA";50
"311410 CARMO DE MINAS";36
"311420 CARMO DO CAJURU";91
"311430 CARMO DO PARANAIBA";112
"311440 CARMO DO RIO CLARO";74
"311450 CARMOPOLIS DE MINAS";60
"311455 CARNEIRINHO";32
"311460 CARRANCAS";16
"311470 CARVALHOPOLIS";15
"311480 CARVALHOS";18
