 Óbitos por causas evitáveis de 5 a 74 anos - Pará
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PA";12
"150010 ABAETETUBA";440
"150013 ABEL FIGUEIREDO";31
"150020 ACARA";131
"150030 AFUA";52
"150034 AGUA AZUL DO NORTE";41
"150040 ALENQUER";127
"150050 ALMEIRIM";72
"150060 ALTAMIRA";418
"150070 ANAJAS";53
"150080 ANANINDEUA";1919
"150085 ANAPU";107
"150090 AUGUSTO CORREA";111
"150095 AURORA DO PARA";55
"150100 AVEIRO";33
"150110 BAGRE";36
"150120 BAIAO";60
"150125 BANNACH";10
"150130 BARCARENA";324
"150140 BELEM";5746
"150145 BELTERRA";79
"150150 BENEVIDES";213
"150157 BOM JESUS DO TOCANTINS";41
"150160 BONITO";43
"150170 BRAGANCA";440
"150172 BRASIL NOVO";40
"150175 BREJO GRANDE DO ARAGUAIA";14
"150178 BREU BRANCO";152
"150180 BREVES";177
"150190 BUJARU";69
"150195 CACHOEIRA DO PIRIA";41
"150200 CACHOEIRA DO ARARI";41
"150210 CAMETA";247
"150215 CANAA DOS CARAJAS";98
"150220 CAPANEMA";246
"150230 CAPITAO POCO";154
"150240 CASTANHAL";640
"150250 CHAVES";20
"150260 COLARES";40
"150270 CONCEICAO DO ARAGUAIA";156
"150275 CONCORDIA DO PARA";66
"150276 CUMARU DO NORTE";30
"150277 CURIONOPOLIS";88
"150280 CURRALINHO";48
"150285 CURUA";28
"150290 CURUCA";125
"150293 DOM ELISEU";129
"150295 ELDORADO DOS CARAJAS";115
"150300 FARO";17
"150304 FLORESTA DO ARAGUAIA";72
"150307 GARRAFAO DO NORTE";72
"150309 GOIANESIA DO PARA";77
"150310 GURUPA";49
"150320 IGARAPE-ACU";135
"150330 IGARAPE-MIRI";189
"150340 INHANGAPI";41
"150345 IPIXUNA DO PARA";72
"150350 IRITUIA";88
"150360 ITAITUBA";408
"150370 ITUPIRANGA";124
"150375 JACAREACANGA";46
"150380 JACUNDA";166
"150390 JURUTI";84
"150400 LIMOEIRO DO AJURU";46
"150405 MAE DO RIO";108
"150410 MAGALHAES BARATA";23
"150420 MARABA";922
"150430 MARACANA";70
"150440 MARAPANIM";81
"150442 MARITUBA";477
"150445 MEDICILANDIA";83
"150450 MELGACO";34
"150460 MOCAJUBA";58
"150470 MOJU";183
"150475 MOJUI DOS CAMPOS";42
"150480 MONTE ALEGRE";132
"150490 MUANA";71
"150495 NOVA ESPERANCA DO PIRIA";65
"150497 NOVA IPIXUNA";32
"150500 NOVA TIMBOTEUA";37
