 Óbitos por causas evitáveis de 5 a 74 anos - Paraíba
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PB";9
"250010 AGUA BRANCA";28
"250020 AGUIAR";12
"250030 ALAGOA GRANDE";77
"250040 ALAGOA NOVA";73
"250050 ALAGOINHA";58
"250053 ALCANTIL";12
"250057 ALGODAO DE JANDAIRA";10
"250060 ALHANDRA";76
"250070 SAO JOAO DO RIO DO PEIXE";58
"250073 AMPARO";5
"250077 APARECIDA";36
"250080 ARACAGI";45
"250090 ARARA";44
"250100 ARARUNA";52
"250110 AREIA";86
"250115 AREIA DE BARAUNAS";5
"250120 AREIAL";21
"250130 AROEIRAS";76
"250135 ASSUNCAO";10
"250140 BAIA DA TRAICAO";26
"250150 BANANEIRAS";58
"250153 BARAUNA";19
"250157 BARRA DE SANTANA";29
"250160 BARRA DE SANTA ROSA";33
"250170 BARRA DE SAO MIGUEL";20
"250180 BAYEUX";378
"250190 BELEM";62
"250200 BELEM DO BREJO DO CRUZ";28
"250205 BERNARDINO BATISTA";6
"250210 BOA VENTURA";17
"250215 BOA VISTA";28
"250220 BOM JESUS";10
"250230 BOM SUCESSO";23
"250240 BONITO DE SANTA FE";29
"250250 BOQUEIRAO";72
"250260 IGARACY";16
"250270 BORBOREMA";22
"250280 BREJO DO CRUZ";46
"250290 BREJO DOS SANTOS";20
"250300 CAAPORA";91
"250310 CABACEIRAS";17
"250320 CABEDELO";224
"250330 CACHOEIRA DOS INDIOS";32
"250340 CACIMBA DE AREIA";11
"250350 CACIMBA DE DENTRO";58
"250355 CACIMBAS";16
"250360 CAICARA";31
"250370 CAJAZEIRAS";232
"250375 CAJAZEIRINHAS";11
"250380 CALDAS BRANDAO";17
"250390 CAMALAU";19
"250400 CAMPINA GRANDE";1582
"250403 CAPIM";21
"250407 CARAUBAS";12
"250410 CARRAPATEIRA";6
"250415 CASSERENGUE";24
"250420 CATINGUEIRA";16
"250430 CATOLE DO ROCHA";98
"250435 CATURITE";16
"250440 CONCEICAO";60
"250450 CONDADO";31
"250460 CONDE";110
"250470 CONGO";25
"250480 COREMAS";69
"250485 COXIXOLA";9
"250490 CRUZ DO ESPIRITO SANTO";52
"250500 CUBATI";17
"250510 CUITE";45
"250520 CUITEGI";26
"250523 CUITE DE MAMANGUAPE";18
"250527 CURRAL DE CIMA";22
"250530 CURRAL VELHO";8
"250535 DAMIAO";18
"250540 DESTERRO";35
"250550 VISTA SERRANA";11
"250560 DIAMANTE";28
"250570 DONA INES";35
"250580 DUAS ESTRADAS";16
"250590 EMAS";4
"250600 ESPERANCA";121
"250610 FAGUNDES";36
"250620 FREI MARTINHO";16
"250625 GADO BRAVO";23
"250630 GUARABIRA";216
"250640 GURINHEM";40
"250650 GURJAO";9
