 Óbitos por causas evitáveis de 5 a 74 anos - Piauí
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PI";7
"220005 ACAUA";17
"220010 AGRICOLANDIA";22
"220020 AGUA BRANCA";79
"220025 ALAGOINHA DO PIAUI";26
"220027 ALEGRETE DO PIAUI";22
"220030 ALTO LONGA";35
"220040 ALTOS";146
"220045 ALVORADA DO GURGUEIA";17
"220050 AMARANTE";61
"220060 ANGICAL DO PIAUI";28
"220070 ANISIO DE ABREU";21
"220080 ANTONIO ALMEIDA";5
"220090 AROAZES";20
"220095 AROEIRAS DO ITAIM";7
"220100 ARRAIAL";22
"220105 ASSUNCAO DO PIAUI";16
"220110 AVELINO LOPES";40
"220115 BAIXA GRANDE DO RIBEIRO";26
"220117 BARRA D'ALCANTARA";17
"220120 BARRAS";126
"220130 BARREIRAS DO PIAUI";7
"220140 BARRO DURO";23
"220150 BATALHA";87
"220155 BELA VISTA DO PIAUI";11
"220157 BELEM DO PIAUI";15
"220160 BENEDITINOS";23
"220170 BERTOLINIA";22
"220173 BETANIA DO PIAUI";16
"220177 BOA HORA";17
"220180 BOCAINA";24
"220190 BOM JESUS";55
"220191 BOM PRINCIPIO DO PIAUI";22
"220192 BONFIM DO PIAUI";12
"220194 BOQUEIRAO DO PIAUI";15
"220196 BRASILEIRA";20
"220198 BREJO DO PIAUI";16
"220200 BURITI DOS LOPES";63
"220202 BURITI DOS MONTES";12
"220205 CABECEIRAS DO PIAUI";30
"220207 CAJAZEIRAS DO PIAUI";11
"220208 CAJUEIRO DA PRAIA";19
"220209 CALDEIRAO GRANDE DO PIAUI";10
"220210 CAMPINAS DO PIAUI";24
"220211 CAMPO ALEGRE DO FIDALGO";17
"220213 CAMPO GRANDE DO PIAUI";23
"220217 CAMPO LARGO DO PIAUI";11
"220220 CAMPO MAIOR";192
"220225 CANAVIEIRA";13
"220230 CANTO DO BURITI";77
"220240 CAPITAO DE CAMPOS";33
"220245 CAPITAO GERVASIO OLIVEIRA";10
"220250 CARACOL";28
"220253 CARAUBAS DO PIAUI";27
"220255 CARIDADE DO PIAUI";8
"220260 CASTELO DO PIAUI";72
"220265 CAXINGO";13
"220270 COCAL";92
"220271 COCAL DE TELHA";15
"220272 COCAL DOS ALVES";9
"220273 COIVARAS";13
"220275 COLONIA DO GURGUEIA";20
"220277 COLONIA DO PIAUI";22
"220280 CONCEICAO DO CANINDE";13
"220285 CORONEL JOSE DIAS";16
"220290 CORRENTE";70
"220300 CRISTALANDIA DO PIAUI";18
"220310 CRISTINO CASTRO";33
"220320 CURIMATA";20
"220323 CURRAIS";20
"220325 CURRALINHOS";10
"220327 CURRAL NOVO DO PIAUI";10
"220330 DEMERVAL LOBAO";64
"220335 DIRCEU ARCOVERDE";13
"220340 DOM EXPEDITO LOPES";28
"220342 DOMINGOS MOURAO";13
"220345 DOM INOCENCIO";19
"220350 ELESBAO VELOSO";50
"220360 ELISEU MARTINS";11
"220370 ESPERANTINA";140
"220375 FARTURA DO PIAUI";10
"220380 FLORES DO PIAUI";8
"220385 FLORESTA DO PIAUI";7
"220390 FLORIANO";232
"220400 FRANCINOPOLIS";16
"220410 FRANCISCO AYRES";10
"220415 FRANCISCO MACEDO";7
"220420 FRANCISCO SANTOS";29
"220430 FRONTEIRAS";44
"220435 GEMINIANO";19
"220440 GILBUES";30
"220450 GUADALUPE";39
"220455 GUARIBAS";11
"220460 HUGO NAPOLEAO";12
"220465 ILHA GRANDE";40
"220470 INHUMA";55
"220480 IPIRANGA DO PIAUI";40
"220490 ISAIAS COELHO";26
"220500 ITAINOPOLIS";44
"220510 ITAUEIRA";43
"220515 JACOBINA DO PIAUI";14
"220520 JAICOS";53
"220525 JARDIM DO MULATO";7
"220527 JATOBA DO PIAUI";18
"220530 JERUMENHA";24
"220535 JOAO COSTA";7
"220540 JOAQUIM PIRES";29
"220545 JOCA MARQUES";17
"220550 JOSE DE FREITAS";118
"220551 JUAZEIRO DO PIAUI";15
"220552 JULIO BORGES";5
"220553 JUREMA";23
"220554 LAGOINHA DO PIAUI";9
"220555 LAGOA ALEGRE";14
"220556 LAGOA DO BARRO DO PIAUI";13
"220557 LAGOA DE SAO FRANCISCO";9
"220558 LAGOA DO PIAUI";15
"220559 LAGOA DO SITIO";10
"220560 LANDRI SALES";17
"220570 LUIS CORREIA";87
"220580 LUZILANDIA";78
"220585 MADEIRO";19
"220590 MANOEL EMIDIO";15
"220595 MARCOLANDIA";23
"220600 MARCOS PARENTE";18
"220605 MASSAPE DO PIAUI";18
"220610 MATIAS OLIMPIO";32
"220620 MIGUEL ALVES";75
"220630 MIGUEL LEAO";5
"220635 MILTON BRANDAO";17
"220640 MONSENHOR GIL";32
"220650 MONSENHOR HIPOLITO";39
"220660 MONTE ALEGRE DO PIAUI";27
"220665 MORRO CABECA NO TEMPO";10
"220667 MORRO DO CHAPEU DO PIAUI";25
"220669 MURICI DOS PORTELAS";28
"220670 NAZARE DO PIAUI";29
"220672 NAZARIA";30
"220675 NOSSA SENHORA DE NAZARE";16
"220680 NOSSA SENHORA DOS REMEDIOS";30
"220690 NOVO ORIENTE DO PIAUI";22
"220695 NOVO SANTO ANTONIO";11
"220700 OEIRAS";140
"220710 OLHO D'AGUA DO PIAUI";12
"220720 PADRE MARCOS";26
"220730 PAES LANDIM";16
"220735 PAJEU DO PIAUI";8
"220740 PALMEIRA DO PIAUI";20
"220750 PALMEIRAIS";44
"220755 PAQUETA";14
"220760 PARNAGUA";24
"220770 PARNAIBA";573
"220775 PASSAGEM FRANCA DO PIAUI";12
"220777 PATOS DO PIAUI";15
"220779 PAU D'ARCO DO PIAUI";10
"220780 PAULISTANA";71
"220785 PAVUSSU";13
"220790 PEDRO II";107
"220793 PEDRO LAURENTINO";7
"220795 NOVA SANTA RITA";17
"220800 PICOS";272
"220810 PIMENTEIRAS";26
"220820 PIO IX";47
"220830 PIRACURUCA";97
"220840 PIRIPIRI";203
"220850 PORTO";41
"220855 PORTO ALEGRE DO PIAUI";6
"220860 PRATA DO PIAUI";10
"220865 QUEIMADA NOVA";19
"220870 REDENCAO DO GURGUEIA";21
"220880 REGENERACAO";77
"220885 RIACHO FRIO";12
"220887 RIBEIRA DO PIAUI";8
"220890 RIBEIRO GONCALVES";15
"220900 RIO GRANDE DO PIAUI";27
"220910 SANTA CRUZ DO PIAUI";31
"220915 SANTA CRUZ DOS MILAGRES";9
"220920 SANTA FILOMENA";24
"220930 SANTA LUZ";15
"220935 SANTANA DO PIAUI";20
"220937 SANTA ROSA DO PIAUI";23
"220940 SANTO ANTONIO DE LISBOA";26
"220945 SANTO ANTONIO DOS MILAGRES";3
"220950 SANTO INACIO DO PIAUI";8
"220955 SAO BRAZ DO PIAUI";8
"220960 SAO FELIX DO PIAUI";8
