 Óbitos por causas evitáveis de 5 a 74 anos - Rio de Janeiro
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - RJ";380
"330010 ANGRA DOS REIS";785
"330015 APERIBE";47
"330020 ARARUAMA";611
"330022 AREAL";66
"330023 ARMACAO DOS BUZIOS";161
"330025 ARRAIAL DO CABO";152
"330030 BARRA DO PIRAI";503
"330040 BARRA MANSA";840
"330045 BELFORD ROXO";2499
"330050 BOM JARDIM";125
"330060 BOM JESUS DO ITABAPOANA";185
"330070 CABO FRIO";908
"330080 CACHOEIRAS DE MACACU";257
"330090 CAMBUCI";58
"330093 CARAPEBUS";44
"330095 COMENDADOR LEVY GASPARIAN";41
"330100 CAMPOS DOS GOYTACAZES";2438
"330110 CANTAGALO";95
"330115 CARDOSO MOREIRA";66
"330120 CARMO";84
"330130 CASIMIRO DE ABREU";164
"330140 CONCEICAO DE MACABU";86
"330150 CORDEIRO";88
"330160 DUAS BARRAS";49
"330170 DUQUE DE CAXIAS";4411
"330180 ENGENHEIRO PAULO DE FRONTIN";79
"330185 GUAPIMIRIM";256
"330187 IGUABA GRANDE";125
"330190 ITABORAI";1328
"330200 ITAGUAI";723
"330205 ITALVA";60
"330210 ITAOCARA";111
"330220 ITAPERUNA";445
"330225 ITATIAIA";143
"330227 JAPERI";480
"330230 LAJE DO MURIAE";31
"330240 MACAE";898
"330245 MACUCO";44
"330250 MAGE";1391
"330260 MANGARATIBA";213
"330270 MARICA";714
"330280 MENDES";102
"330285 MESQUITA";882
"330290 MIGUEL PEREIRA";134
"330300 MIRACEMA";140
"330310 NATIVIDADE";64
"330320 NILOPOLIS";880
"330330 NITEROI";2252
"330340 NOVA FRIBURGO";887
"330350 NOVA IGUACU";4205
"330360 PARACAMBI";274
"330370 PARAIBA DO SUL";190
"330380 PARATY";166
"330385 PATY DO ALFERES";122
"330390 PETROPOLIS";1568
"330395 PINHEIRAL";108
"330400 PIRAI";122
"330410 PORCIUNCULA";62
"330411 PORTO REAL";75
"330412 QUATIS";60
"330414 QUEIMADOS";817
"330415 QUISSAMA";97
"330420 RESENDE";567
"330430 RIO BONITO";256
"330440 RIO CLARO";86
"330450 RIO DAS FLORES";37
"330452 RIO DAS OSTRAS";557
"330455 RIO DE JANEIRO";29829
"330460 SANTA MARIA MADALENA";37
"330470 SANTO ANTONIO DE PADUA";202
"330475 SAO FRANCISCO DE ITABAPOANA";211
"330480 SAO FIDELIS";166
"330490 SAO GONCALO";4868
"330500 SAO JOAO DA BARRA";160
"330510 SAO JOAO DE MERITI";2420
"330513 SAO JOSE DE UBA";29
"330515 SAO JOSE DO VALE DO RIO PRETO";107
"330520 SAO PEDRO DA ALDEIA";424
"330530 SAO SEBASTIAO DO ALTO";41
"330540 SAPUCAIA";89
"330550 SAQUAREMA";417
"330555 SEROPEDICA";360
"330560 SILVA JARDIM";107
"330570 SUMIDOURO";56
"330575 TANGUA";150
"330580 TERESOPOLIS";846
"330590 TRAJANO DE MORAES";48
"330600 TRES RIOS";423
"330610 VALENCA";350
"330615 VARRE-SAI";31
"330620 VASSOURAS";174
"330630 VOLTA REDONDA";1313
"Total";79752
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
