 Óbitos por causas evitáveis de 5 a 74 anos - Roraima
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"140002 AMAJARI";31
"140005 ALTO ALEGRE";73
"140010 BOA VISTA";1218
"140015 BONFIM";49
"140017 CANTA";59
"140020 CARACARAI";64
"140023 CAROEBE";27
"140028 IRACEMA";32
"140030 MUCAJAI";52
"140040 NORMANDIA";30
"140045 PACARAIMA";35
"140047 RORAINOPOLIS";78
"140050 SAO JOAO DA BALIZA";15
"140060 SAO LUIZ DO ANAUA";15
"140070 UIRAMUTA";19
"Total";1797
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
