 Óbitos por causas evitáveis de 5 a 74 anos - São Paulo
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - SP";213
"350010 ADAMANTINA";122
"350020 ADOLFO";9
"350030 AGUAI";146
"350040 AGUAS DA PRATA";47
"350050 AGUAS DE LINDOIA";83
"350055 AGUAS DE SANTA BARBARA";22
"350060 AGUAS DE SAO PEDRO";9
"350070 AGUDOS";181
"350075 ALAMBARI";14
"350080 ALFREDO MARCONDES";14
"350090 ALTAIR";21
"350100 ALTINOPOLIS";55
"350110 ALTO ALEGRE";11
"350115 ALUMINIO";64
"350120 ALVARES FLORENCE";17
"350130 ALVARES MACHADO";112
"350140 ALVARO DE CARVALHO";16
"350150 ALVINLANDIA";19
"350160 AMERICANA";748
"350170 AMERICO BRASILIENSE";109
"350180 AMERICO DE CAMPOS";29
"350190 AMPARO";265
"350200 ANALANDIA";16
"350210 ANDRADINA";263
"350220 ANGATUBA";77
"350230 ANHEMBI";35
"350240 ANHUMAS";13
"350250 APARECIDA";150
"350260 APARECIDA D'OESTE";19
"350270 APIAI";112
"350275 ARACARIGUAMA";68
"350280 ARACATUBA";831
"350290 ARACOIABA DA SERRA";130
"350300 ARAMINA";23
"350310 ARANDU";24
"350315 ARAPEI";7
"350320 ARARAQUARA";858
"350330 ARARAS";486
"350335 ARCO-IRIS";9
"350340 AREALVA";29
"350350 AREIAS";20
"350360 AREIOPOLIS";45
"350370 ARIRANHA";25
"350380 ARTUR NOGUEIRA";167
"350390 ARUJA";347
"350395 ASPASIA";8
"350400 ASSIS";425
"350410 ATIBAIA";566
"350420 AURIFLAMA";65
"350430 AVAI";13
"350440 AVANHANDAVA";47
"350450 AVARE";375
"350460 BADY BASSITT";59
"350470 BALBINOS";17
"350480 BALSAMO";33
"350490 BANANAL";38
"350500 BARAO DE ANTONINA";13
"350510 BARBOSA";27
"350520 BARIRI";121
"350530 BARRA BONITA";143
"350535 BARRA DO CHAPEU";17
"350540 BARRA DO TURVO";26
"350550 BARRETOS";537
"350560 BARRINHA";112
"350570 BARUERI";1177
"350580 BASTOS";81
"350590 BATATAIS";228
"350600 BAURU";1379
"350610 BEBEDOURO";305
"350620 BENTO DE ABREU";11
"350630 BERNARDINO DE CAMPOS";39
"350635 BERTIOGA";204
"350640 BILAC";28
"350650 BIRIGUI";430
"350660 BIRITIBA MIRIM";120
"350670 BOA ESPERANCA DO SUL";52
"350680 BOCAINA";46
"350690 BOFETE";45
"350700 BOITUVA";163
"350710 BOM JESUS DOS PERDOES";60
"350715 BOM SUCESSO DE ITARARE";17
"350720 BORA";2
"350730 BORACEIA";18
"350740 BORBOREMA";61
"350745 BOREBI";9
"350750 BOTUCATU";505
"350760 BRAGANCA PAULISTA";656
"350770 BRAUNA";14
"350775 BREJO ALEGRE";10
"350780 BRODOWSKI";75
"350790 BROTAS";71
"350800 BURI";83
"350810 BURITAMA";81
"350820 BURITIZAL";15
"350830 CABRALIA PAULISTA";26
"350840 CABREUVA";161
"350850 CACAPAVA";314
"350860 CACHOEIRA PAULISTA";150
"350870 CACONDE";57
"350880 CAFELANDIA";87
"350890 CAIABU";12
"350900 CAIEIRAS";305
"350910 CAIUA";25
"350920 CAJAMAR";256
"350925 CAJATI";122
"350930 CAJOBI";40
"350940 CAJURU";92
"350945 CAMPINA DO MONTE ALEGRE";22
"350950 CAMPINAS";3692
"350960 CAMPO LIMPO PAULISTA";295
"350970 CAMPOS DO JORDAO";235
"350980 CAMPOS NOVOS PAULISTA";22
"350990 CANANEIA";61
"350995 CANAS";12
"351000 CANDIDO MOTA";134
"351010 CANDIDO RODRIGUES";12
"351015 CANITAR";23
"351020 CAPAO BONITO";205
"351030 CAPELA DO ALTO";77
"351040 CAPIVARI";167
"351050 CARAGUATATUBA";490
"351060 CARAPICUIBA";1371
"351070 CARDOSO";53
"351080 CASA BRANCA";129
"351090 CASSIA DOS COQUEIROS";8
"351100 CASTILHO";101
"351110 CATANDUVA";491
"351120 CATIGUA";26
"351130 CEDRAL";34
"351140 CERQUEIRA CESAR";99
"351150 CERQUILHO";140
"351160 CESARIO LANGE";68
"351170 CHARQUEADA";57
"351190 CLEMENTINA";27
"351200 COLINA";71
"351210 COLOMBIA";23
"351220 CONCHAL";118
"351230 CONCHAS";73
"351240 CORDEIROPOLIS";77
"351250 COROADOS";23
"351260 CORONEL MACEDO";20
"351270 CORUMBATAI";13
"351280 COSMOPOLIS";231
"351290 COSMORAMA";18
"351300 COTIA";898
"351310 CRAVINHOS";117
"351320 CRISTAIS PAULISTA";29
"351330 CRUZALIA";7
"351340 CRUZEIRO";374
"351350 CUBATAO";494
"351360 CUNHA";99
"351370 DESCALVADO";136
"351380 DIADEMA";1488
"351385 DIRCE REIS";6
"351390 DIVINOLANDIA";69
"351400 DOBRADA";27
"351410 DOIS CORREGOS";115
"351420 DOLCINOPOLIS";15
"351430 DOURADO";38
"351440 DRACENA";205
"351450 DUARTINA";38
"351460 DUMONT";35
"351470 ECHAPORA";26
"351480 ELDORADO";54
"351490 ELIAS FAUSTO";60
"351492 ELISIARIO";19
"351495 EMBAUBA";9
"351500 EMBU DAS ARTES";943
"351510 EMBU-GUACU";307
"351512 EMILIANOPOLIS";15
"351515 ENGENHEIRO COELHO";64
"351518 ESPIRITO SANTO DO PINHAL";217
"351519 ESPIRITO SANTO DO TURVO";22
"351520 ESTRELA D'OESTE";42
"351530 ESTRELA DO NORTE";11
"351535 EUCLIDES DA CUNHA PAULISTA";53
"351540 FARTURA";75
"351550 FERNANDOPOLIS";281
"351560 FERNANDO PRESTES";31
"351565 FERNAO";9
"351570 FERRAZ DE VASCONCELOS";666
"351580 FLORA RICA";7
"351590 FLOREAL";10
"351600 FLORIDA PAULISTA";44
"351610 FLORINEA";18
"351620 FRANCA";1235
"351630 FRANCISCO MORATO";583
"351640 FRANCO DA ROCHA";527
"351650 GABRIEL MONTEIRO";13
"351660 GALIA";31
"351670 GARCA";201
"351680 GASTAO VIDIGAL";12
"351685 GAVIAO PEIXOTO";15
"351690 GENERAL SALGADO";45
"351700 GETULINA";42
"351710 GLICERIO";15
"351720 GUAICARA";49
"351730 GUAIMBE";26
"351740 GUAIRA";167
"351750 GUAPIACU";70
"351760 GUAPIARA";78
"351770 GUARA";77
"351780 GUARACAI";36
"351790 GUARACI";36
"351800 GUARANI D'OESTE";7
"351810 GUARANTA";25
"351820 GUARARAPES";131
"351830 GUARAREMA";113
"351840 GUARATINGUETA";592
"351850 GUAREI";67
"351860 GUARIBA";144
"351870 GUARUJA";1252
"351880 GUARULHOS";5041
"351885 GUATAPARA";29
"351890 GUZOLANDIA";17
"351900 HERCULANDIA";36
"351905 HOLAMBRA";39
"351907 HORTOLANDIA";737
"351910 IACANGA";51
"351920 IACRI";21
"351925 IARAS";25
"351930 IBATE";106
"351940 IBIRA";32
"351950 IBIRAREMA";18
"351960 IBITINGA";279
"351970 IBIUNA";380
"351980 ICEM";33
"351990 IEPE";32
"352000 IGARACU DO TIETE";112
"352010 IGARAPAVA";114
"352020 IGARATA";41
"352030 IGUAPE";141
"352040 ILHABELA";80
"352042 ILHA COMPRIDA";70
"352044 ILHA SOLTEIRA";111
"352050 INDAIATUBA";700
"352060 INDIANA";19
"352070 INDIAPORA";22
"352080 INUBIA PAULISTA";15
"352090 IPAUSSU";49
"352100 IPERO";84
"352110 IPEUNA";33
"352115 IPIGUA";15
"352120 IPORANGA";16
"352130 IPUA";50
"352140 IRACEMAPOLIS";79
"352150 IRAPUA";34
"352160 IRAPURU";32
"352170 ITABERA";68
"352180 ITAI";104
"352190 ITAJOBI";65
"352200 ITAJU";17
"352210 ITANHAEM";559
"352215 ITAOCA";13
"352220 ITAPECERICA DA SERRA";641
"352230 ITAPETININGA";607
"352240 ITAPEVA";366
"352250 ITAPEVI";799
"352260 ITAPIRA";364
"352265 ITAPIRAPUA PAULISTA";11
"352270 ITAPOLIS";161
"352280 ITAPORANGA";66
"352290 ITAPUI";58
"352300 ITAPURA";16
"352310 ITAQUAQUECETUBA";1222
"352320 ITARARE";240
"352330 ITARIRI";59
"352340 ITATIBA";444
"352350 ITATINGA";67
"352360 ITIRAPINA";55
"352370 ITIRAPUA";21
"352380 ITOBI";27
"352390 ITU";637
"352400 ITUPEVA";134
"352410 ITUVERAVA";164
"352420 JABORANDI";18
"352430 JABOTICABAL";273
"352440 JACAREI";908
"352450 JACI";18
"352460 JACUPIRANGA";67
"352470 JAGUARIUNA";160
"352480 JALES";216
"352490 JAMBEIRO";21
"352500 JANDIRA";344
"352510 JARDINOPOLIS";147
"352520 JARINU";122
"352530 JAU";567
"352540 JERIQUARA";13
"352550 JOANOPOLIS";49
"352560 JOAO RAMALHO";9
"352570 JOSE BONIFACIO";105
"352580 JULIO MESQUITA";12
"352585 JUMIRIM";4
