 Óbitos por causas evitáveis de 5 a 74 anos - Tocantins
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - TO";2
"170025 ABREULANDIA";7
"170030 AGUIARNOPOLIS";15
"170035 ALIANCA DO TOCANTINS";23
"170040 ALMAS";17
"170070 ALVORADA";23
"170100 ANANAS";31
"170105 ANGICO";9
"170110 APARECIDA DO RIO NEGRO";14
"170130 ARAGOMINAS";27
"170190 ARAGUACEMA";12
"170200 ARAGUACU";27
"170210 ARAGUAINA";590
"170215 ARAGUANA";14
"170220 ARAGUATINS";113
"170230 ARAPOEMA";23
"170240 ARRAIAS";47
"170255 AUGUSTINOPOLIS";68
"170270 AURORA DO TOCANTINS";12
"170290 AXIXA DO TOCANTINS";48
"170300 BABACULANDIA";27
"170305 BANDEIRANTES DO TOCANTINS";12
"170307 BARRA DO OURO";14
"170310 BARROLANDIA";20
"170320 BERNARDO SAYAO";16
"170330 BOM JESUS DO TOCANTINS";16
"170360 BRASILANDIA DO TOCANTINS";6
"170370 BREJINHO DE NAZARE";9
"170380 BURITI DO TOCANTINS";21
"170382 CACHOEIRINHA";5
"170384 CAMPOS LINDOS";22
"170386 CARIRI DO TOCANTINS";14
"170388 CARMOLANDIA";5
"170389 CARRASCO BONITO";9
"170390 CASEARA";15
"170410 CENTENARIO";7
"170460 CHAPADA DE AREIA";3
"170510 CHAPADA DA NATIVIDADE";4
"170550 COLINAS DO TOCANTINS";96
"170555 COMBINADO";13
"170560 CONCEICAO DO TOCANTINS";14
"170600 COUTO MAGALHAES";19
"170610 CRISTALANDIA";25
"170625 CRIXAS DO TOCANTINS";1
"170650 DARCINOPOLIS";19
"170700 DIANOPOLIS";57
"170710 DIVINOPOLIS DO TOCANTINS";18
"170720 DOIS IRMAOS DO TOCANTINS";11
"170730 DUERE";11
"170740 ESPERANTINA";32
"170755 FATIMA";7
"170765 FIGUEIROPOLIS";14
"170770 FILADELFIA";30
"170820 FORMOSO DO ARAGUAIA";60
"170825 TABOCAO";12
"170830 GOIANORTE";12
"170900 GOIATINS";40
"170930 GUARAI";82
"170950 GURUPI";310
"170980 IPUEIRAS";6
"171050 ITACAJA";21
"171070 ITAGUATINS";18
"171090 ITAPIRATINS";8
"171110 ITAPORA DO TOCANTINS";6
"171150 JAU DO TOCANTINS";10
"171180 JUARINA";5
"171190 LAGOA DA CONFUSAO";50
"171195 LAGOA DO TOCANTINS";11
"171200 LAJEADO";10
"171215 LAVANDEIRA";8
"171240 LIZARDA";12
"171245 LUZINOPOLIS";6
"171250 MARIANOPOLIS DO TOCANTINS";8
"171270 MATEIROS";7
"171280 MAURILANDIA DO TOCANTINS";7
"171320 MIRACEMA DO TOCANTINS";56
"171330 MIRANORTE";49
"171360 MONTE DO CARMO";21
"171370 MONTE SANTO DO TOCANTINS";8
"171380 PALMEIRAS DO TOCANTINS";18
"171395 MURICILANDIA";15
"171420 NATIVIDADE";43
"171430 NAZARE";12
"171488 NOVA OLINDA";40
"171500 NOVA ROSALANDIA";17
"171510 NOVO ACORDO";6
"171515 NOVO ALEGRE";11
"171525 NOVO JARDIM";9
"171550 OLIVEIRA DE FATIMA";5
"171570 PALMEIRANTE";11
"171575 PALMEIROPOLIS";17
"171610 PARAISO DO TOCANTINS";135
"171620 PARANA";29
"171630 PAU D'ARCO";17
"171650 PEDRO AFONSO";40
"171660 PEIXE";26
"171665 PEQUIZEIRO";17
"171670 COLMEIA";29
"171700 PINDORAMA DO TOCANTINS";7
"171720 PIRAQUE";13
"171750 PIUM";26
"171780 PONTE ALTA DO BOM JESUS";21
"171790 PONTE ALTA DO TOCANTINS";21
"171800 PORTO ALEGRE DO TOCANTINS";6
"171820 PORTO NACIONAL";195
"171830 PRAIA NORTE";30
"171840 PRESIDENTE KENNEDY";7
"171845 PUGMIL";11
"171850 RECURSOLANDIA";15
"171855 RIACHINHO";20
"171865 RIO DA CONCEICAO";4
"171870 RIO DOS BOIS";2
"171875 RIO SONO";7
"171880 SAMPAIO";22
"171884 SANDOLANDIA";16
"171886 SANTA FE DO ARAGUAIA";21
"171888 SANTA MARIA DO TOCANTINS";8
"171889 SANTA RITA DO TOCANTINS";11
"171890 SANTA ROSA DO TOCANTINS";13
"171900 SANTA TEREZA DO TOCANTINS";7
"172000 SANTA TEREZINHA DO TOCANTINS";6
"172010 SAO BENTO DO TOCANTINS";10
"172015 SAO FELIX DO TOCANTINS";2
"172020 SAO MIGUEL DO TOCANTINS";30
"172025 SAO SALVADOR DO TOCANTINS";9
"172030 SAO SEBASTIAO DO TOCANTINS";23
"172049 SAO VALERIO";10
"172065 SILVANOPOLIS";14
"172080 SITIO NOVO DO TOCANTINS";20
"172085 SUCUPIRA";6
"172090 TAGUATINGA";45
"172093 TAIPAS DO TOCANTINS";2
"172097 TALISMA";3
"172100 PALMAS";644
"172110 TOCANTINIA";29
"172120 TOCANTINOPOLIS";71
"172125 TUPIRAMA";4
"172130 TUPIRATINS";5
"172208 WANDERLANDIA";31
"172210 XAMBIOA";44
"Total";4545
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
