 Óbitos por causas evitáveis de 5 a 74 anos - Ceará
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - CE";2
"230010 ABAIARA";32
"230015 ACARAPE";76
"230020 ACARAU";248
"230030 ACOPIARA";194
"230040 AIUABA";43
"230050 ALCANTARAS";36
"230060 ALTANEIRA";23
"230070 ALTO SANTO";50
"230075 AMONTADA";99
"230080 ANTONINA DO NORTE";27
"230090 APUIARES";46
"230100 AQUIRAZ";353
"230110 ARACATI";250
"230120 ARACOIABA";106
"230125 ARARENDA";49
"230130 ARARIPE";85
"230140 ARATUBA";56
"230150 ARNEIROZ";30
"230160 ASSARE";68
"230170 AURORA";94
"230180 BAIXIO";22
"230185 BANABUIU";53
"230190 BARBALHA";271
"230195 BARREIRA";90
"230200 BARRO";82
"230205 BARROQUINHA";60
"230210 BATURITE";127
"230220 BEBERIBE";178
"230230 BELA CRUZ";106
"230240 BOA VIAGEM";196
"230250 BREJO SANTO";171
"230260 CAMOCIM";272
"230270 CAMPOS SALES";122
"230280 CANINDE";349
"230290 CAPISTRANO";77
"230300 CARIDADE";65
"230310 CARIRE";70
"230320 CARIRIACU";122
"230330 CARIUS";66
"230340 CARNAUBAL";59
"230350 CASCAVEL";338
"230360 CATARINA";36
"230365 CATUNDA";47
"230370 CAUCAIA";1573
"230380 CEDRO";129
"230390 CHAVAL";41
"230393 CHORO";47
"230395 CHOROZINHO";88
"230400 COREAU";88
"230410 CRATEUS";353
"230420 CRATO";547
"230423 CROATA";69
"230425 CRUZ";102
"230426 DEPUTADO IRAPUAN PINHEIRO";40
"230427 ERERE";21
"230428 EUSEBIO";235
"230430 FARIAS BRITO";89
"230435 FORQUILHA";126
"230440 FORTALEZA";11980
"230445 FORTIM";43
"230450 FRECHEIRINHA";74
"230460 GENERAL SAMPAIO";30
"230465 GRACA";64
"230470 GRANJA";172
"230480 GRANJEIRO";14
"230490 GROAIRAS";57
"230495 GUAIUBA";119
"230500 GUARACIABA DO NORTE";167
"230510 GUARAMIRANGA";17
"230520 HIDROLANDIA";87
"230523 HORIZONTE";314
"230526 IBARETAMA";56
"230530 IBIAPINA";89
"230533 IBICUITINGA";54
"230535 ICAPUI";78
"230540 ICO";249
"230550 IGUATU";420
"230560 INDEPENDENCIA";103
"230565 IPAPORANGA";47
"230570 IPAUMIRIM";47
"230580 IPU";154
"230590 IPUEIRAS";162
"230600 IRACEMA";43
"230610 IRAUCUBA";72
"230620 ITAICABA";22
"230625 ITAITINGA";204
"230630 ITAPAJE";230
"230640 ITAPIPOCA";404
"230650 ITAPIUNA";64
"230655 ITAREMA";154
"230660 ITATIRA";82
"230670 JAGUARETAMA";57
"230680 JAGUARIBARA";47
"230690 JAGUARIBE";141
"230700 JAGUARUANA";141
