 Óbitos por causas evitáveis de 5 a 74 anos - Espírito Santo
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - ES";49
"320010 AFONSO CLAUDIO";129
"320013 AGUIA BRANCA";33
"320016 AGUA DOCE DO NORTE";70
"320020 ALEGRE";137
"320030 ALFREDO CHAVES";55
"320035 ALTO RIO NOVO";28
"320040 ANCHIETA";116
"320050 APIACA";35
"320060 ARACRUZ";351
"320070 ATILIO VIVACQUA";52
"320080 BAIXO GUANDU";182
"320090 BARRA DE SAO FRANCISCO";193
"320100 BOA ESPERANCA";60
"320110 BOM JESUS DO NORTE";57
"320115 BREJETUBA";39
"320120 CACHOEIRO DE ITAPEMIRIM";913
"320130 CARIACICA";1955
"320140 CASTELO";136
"320150 COLATINA";550
"320160 CONCEICAO DA BARRA";149
"320170 CONCEICAO DO CASTELO";72
"320180 DIVINO DE SAO LOURENCO";11
"320190 DOMINGOS MARTINS";132
"320200 DORES DO RIO PRETO";27
"320210 ECOPORANGA";99
"320220 FUNDAO";101
"320225 GOVERNADOR LINDENBERG";34
"320230 GUACUI";132
"320240 GUARAPARI";534
"320245 IBATIBA";106
"320250 IBIRACU";34
"320255 IBITIRAMA";44
"320260 ICONHA";65
"320265 IRUPI";66
"320270 ITAGUACU";68
"320280 ITAPEMIRIM";196
"320290 ITARANA";39
"320300 IUNA";128
"320305 JAGUARE";117
"320310 JERONIMO MONTEIRO";59
"320313 JOAO NEIVA";61
"320316 LARANJA DA TERRA";44
"320320 LINHARES";702
"320330 MANTENOPOLIS";56
"320332 MARATAIZES";200
"320334 MARECHAL FLORIANO";66
"320335 MARILANDIA";48
"320340 MIMOSO DO SUL";116
"320350 MONTANHA";89
"320360 MUCURICI";29
"320370 MUNIZ FREIRE";58
"320380 MUQUI";62
"320390 NOVA VENECIA";191
"320400 PANCAS";71
"320405 PEDRO CANARIO";124
"320410 PINHEIROS";114
"320420 PIUMA";104
"320425 PONTO BELO";24
"320430 PRESIDENTE KENNEDY";52
"320435 RIO BANANAL";56
"320440 RIO NOVO DO SUL";38
"320450 SANTA LEOPOLDINA";52
"320455 SANTA MARIA DE JETIBA";155
"320460 SANTA TERESA";75
"320465 SAO DOMINGOS DO NORTE";35
"320470 SAO GABRIEL DA PALHA";140
"320480 SAO JOSE DO CALCADO";62
"320490 SAO MATEUS";544
"320495 SAO ROQUE DO CANAA";42
"320500 SERRA";2095
"320501 SOORETAMA";116
"320503 VARGEM ALTA";78
"320506 VENDA NOVA DO IMIGRANTE";90
"320510 VIANA";347
"320515 VILA PAVAO";33
"320517 VILA VALERIO";53
"320520 VILA VELHA";2094
"320530 VITORIA";1380
"Total";17049
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
