 Óbitos por causas evitáveis de 5 a 74 anos - Goiás
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - GO";38
"520005 ABADIA DE GOIAS";55
"520010 ABADIANIA";74
"520013 ACREUNA";100
"520015 ADELANDIA";15
"520017 AGUA FRIA DE GOIAS";25
"520020 AGUA LIMPA";9
"520025 AGUAS LINDAS DE GOIAS";616
"520030 ALEXANIA";139
"520050 ALOANDIA";10
"520055 ALTO HORIZONTE";32
"520060 ALTO PARAISO DE GOIAS";18
"520080 ALVORADA DO NORTE";43
"520082 AMARALINA";7
"520085 AMERICANO DO BRASIL";31
"520090 AMORINOPOLIS";15
"520110 ANAPOLIS";1709
"520120 ANHANGUERA";8
"520130 ANICUNS";89
"520140 APARECIDA DE GOIANIA";2242
"520145 APARECIDA DO RIO DOCE";11
"520150 APORE";13
"520160 ARACU";18
"520170 ARAGARCAS";105
"520180 ARAGOIANIA";45
"520215 ARAGUAPAZ";30
"520235 ARENOPOLIS";13
"520250 ARUANA";40
"520260 AURILANDIA";22
"520280 AVELINOPOLIS";14
"520310 BALIZA";16
"520320 BARRO ALTO";30
"520330 BELA VISTA DE GOIAS";152
"520340 BOM JARDIM DE GOIAS";50
"520350 BOM JESUS DE GOIAS";109
"520355 BONFINOPOLIS";47
"520357 BONOPOLIS";15
"520360 BRAZABRANTES";20
"520380 BRITANIA";27
"520390 BURITI ALEGRE";53
"520393 BURITI DE GOIAS";13
"520396 BURITINOPOLIS";19
"520400 CABECEIRAS";31
"520410 CACHOEIRA ALTA";43
"520420 CACHOEIRA DE GOIAS";7
"520425 CACHOEIRA DOURADA";33
"520430 CACU";62
"520440 CAIAPONIA";67
"520450 CALDAS NOVAS";386
"520455 CALDAZINHA";16
"520460 CAMPESTRE DE GOIAS";10
"520465 CAMPINACU";16
"520470 CAMPINORTE";59
"520480 CAMPO ALEGRE DE GOIAS";30
"520485 CAMPO LIMPO DE GOIAS";29
"520490 CAMPOS BELOS";73
"520495 CAMPOS VERDES";19
"520500 CARMO DO RIO VERDE";37
"520505 CASTELANDIA";19
"520510 CATALAO";368
"520520 CATURAI";22
"520530 CAVALCANTE";32
"520540 CERES";99
"520545 CEZARINA";39
"520547 CHAPADAO DO CEU";36
"520549 CIDADE OCIDENTAL";223
"520551 COCALZINHO DE GOIAS";75
"520552 COLINAS DO SUL";17
"520570 CORREGO DO OURO";12
"520580 CORUMBA DE GOIAS";43
"520590 CORUMBAIBA";41
"520620 CRISTALINA";224
"520630 CRISTIANOPOLIS";24
"520640 CRIXAS";73
"520650 CROMINIA";18
"520660 CUMARI";18
"520670 DAMIANOPOLIS";8
"520680 DAMOLANDIA";19
"520690 DAVINOPOLIS";13
"520710 DIORAMA";12
"520725 DOVERLANDIA";28
"520735 EDEALINA";20
"520740 EDEIA";53
"520750 ESTRELA DO NORTE";13
"520753 FAINA";23
"520760 FAZENDA NOVA";26
"520780 FIRMINOPOLIS";39
"520790 FLORES DE GOIAS";40
"520800 FORMOSA";463
"520810 FORMOSO";20
"520815 GAMELEIRA DE GOIAS";18
"520830 DIVINOPOLIS DE GOIAS";18
"520840 GOIANAPOLIS";64
"520850 GOIANDIRA";32
"520860 GOIANESIA";316
"520870 GOIANIA";6462
"520880 GOIANIRA";240
"520890 GOIAS";116
"520910 GOIATUBA";167
"520915 GOUVELANDIA";23
"520920 GUAPO";77
"520929 GUARAITA";11
"520940 GUARANI DE GOIAS";12
"520945 GUARINOS";11
"520960 HEITORAI";15
"520970 HIDROLANDIA";93
"520980 HIDROLINA";11
"520990 IACIARA";46
"520993 INACIOLANDIA";37
"520995 INDIARA";67
"521000 INHUMAS";260
"521010 IPAMERI";121
"521015 IPIRANGA DE GOIAS";11
"521020 IPORA";165
"521030 ISRAELANDIA";7
"521040 ITABERAI";202
"521056 ITAGUARI";21
"521060 ITAGUARU";29
"521080 ITAJA";23
"521090 ITAPACI";96
"521100 ITAPIRAPUA";39
"521120 ITAPURANGA";124
"521130 ITARUMA";22
"521140 ITAUCU";49
"521150 ITUMBIARA";552
"521160 IVOLANDIA";15
"521170 JANDAIA";28
"521180 JARAGUA";192
"521190 JATAI";430
"521200 JAUPACI";16
"521205 JESUPOLIS";12
"521210 JOVIANIA";29
"521220 JUSSARA";96
"521225 LAGOA SANTA";8
"521230 LEOPOLDO DE BULHOES";32
"521250 LUZIANIA";814
"521260 MAIRIPOTABA";11
"521270 MAMBAI";22
"521280 MARA ROSA";51
"521290 MARZAGAO";13
"521295 MATRINCHA";12
"521300 MAURILANDIA";54
"521305 MIMOSO DE GOIAS";7
"521308 MINACU";123
"521310 MINEIROS";269
"521340 MOIPORA";8
"521350 MONTE ALEGRE DE GOIAS";32
"521370 MONTES CLAROS DE GOIAS";35
"521375 MONTIVIDIU";65
"521377 MONTIVIDIU DO NORTE";19
"521380 MORRINHOS";181
"521385 MORRO AGUDO DE GOIAS";11
"521390 MOSSAMEDES";21
"521400 MOZARLANDIA";70
"521405 MUNDO NOVO";30
"521410 MUTUNOPOLIS";23
"521440 NAZARIO";43
"521450 NEROPOLIS";155
"521460 NIQUELANDIA";167
"521470 NOVA AMERICA";15
"521480 NOVA AURORA";11
"521483 NOVA CRIXAS";54
"521486 NOVA GLORIA";40
"521487 NOVA IGUACU DE GOIAS";7
"521490 NOVA ROMA";11
"521500 NOVA VENEZA";52
"521520 NOVO BRASIL";19
"521523 NOVO GAMA";392
"521525 NOVO PLANALTO";14
"521530 ORIZONA";59
"521540 OURO VERDE DE GOIAS";28
"521550 OUVIDOR";29
"521560 PADRE BERNARDO";128
"521565 PALESTINA DE GOIAS";11
"521570 PALMEIRAS DE GOIAS";112
"521580 PALMELO";12
"521590 PALMINOPOLIS";12
"521600 PANAMA";10
"521630 PARANAIGUARA";49
"521640 PARAUNA";57
"521645 PEROLANDIA";11
"521680 PETROLINA DE GOIAS";41
"521690 PILAR DE GOIAS";13
"521710 PIRACANJUBA";125
"521720 PIRANHAS";61
"521730 PIRENOPOLIS";120
"521740 PIRES DO RIO";158
"521760 PLANALTINA";338
"521770 PONTALINA";86
"521800 PORANGATU";177
"521805 PORTEIRAO";25
"521810 PORTELANDIA";17
"521830 POSSE";127
"521839 PROFESSOR JAMIL";11
"521850 QUIRINOPOLIS";183
"521860 RIALMA";51
"521870 RIANAPOLIS";23
"521878 RIO QUENTE";17
"521880 RIO VERDE";814
"521890 RUBIATABA";92
"521900 SANCLERLANDIA";38
"521910 SANTA BARBARA DE GOIAS";32
"521920 SANTA CRUZ DE GOIAS";18
"521925 SANTA FE DE GOIAS";25
"521930 SANTA HELENA DE GOIAS";229
"521935 SANTA ISABEL";20
"521940 SANTA RITA DO ARAGUAIA";27
"521945 SANTA RITA DO NOVO DESTINO";21
"521950 SANTA ROSA DE GOIAS";15
"521960 SANTA TEREZA DE GOIAS";15
"521970 SANTA TEREZINHA DE GOIAS";52
"521971 SANTO ANTONIO DA BARRA";23
"521973 SANTO ANTONIO DE GOIAS";31
"521975 SANTO ANTONIO DO DESCOBERTO";258
"521980 SAO DOMINGOS";39
"521990 SAO FRANCISCO DE GOIAS";27
"522000 SAO JOAO D'ALIANCA";35
"522005 SAO JOAO DA PARAUNA";11
"522010 SAO LUIS DE MONTES BELOS";174
"522015 SAO LUIZ DO NORTE";22
"522020 SAO MIGUEL DO ARAGUAIA";107
"522026 SAO MIGUEL DO PASSA QUATRO";46
"522028 SAO PATRICIO";15
"522040 SAO SIMAO";92
"522045 SENADOR CANEDO";514
"522050 SERRANOPOLIS";30
"522060 SILVANIA";75
"522068 SIMOLANDIA";24
"522070 SITIO D'ABADIA";6
"522100 TAQUARAL DE GOIAS";26
"522108 TERESINA DE GOIAS";8
"522119 TEREZOPOLIS DE GOIAS";34
"522130 TRES RANCHOS";17
"522140 TRINDADE";635
"522145 TROMBAS";14
"522150 TURVANIA";26
"522155 TURVELANDIA";23
"522157 UIRAPURU";12
"522160 URUACU";192
"522170 URUANA";60
"522180 URUTAI";13
"522185 VALPARAISO DE GOIAS";504
"522190 VARJAO";22
"522200 VIANOPOLIS";77
"522205 VICENTINOPOLIS";37
"522220 VILA BOA";19
"522230 VILA PROPICIO";26
"Total";29244
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
