 Óbitos por causas evitáveis de 5 a 74 anos - Maranhão
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MA";16
"210005 ACAILANDIA";473
"210010 AFONSO CUNHA";10
"210015 AGUA DOCE DO MARANHAO";33
"210020 ALCANTARA";55
"210030 ALDEIAS ALTAS";87
"210040 ALTAMIRA DO MARANHAO";23
"210043 ALTO ALEGRE DO MARANHAO";111
"210047 ALTO ALEGRE DO PINDARE";95
"210050 ALTO PARNAIBA";36
"210055 AMAPA DO MARANHAO";15
"210060 AMARANTE DO MARANHAO";138
"210070 ANAJATUBA";69
"210080 ANAPURUS";36
"210083 APICUM-ACU";49
"210087 ARAGUANA";31
"210090 ARAIOSES";139
"210095 ARAME";68
"210100 ARARI";121
"210110 AXIXA";38
"210120 BACABAL";440
"210125 BACABEIRA";73
"210130 BACURI";58
"210135 BACURITUBA";12
"210140 BALSAS";390
"210150 BARAO DE GRAJAU";72
"210160 BARRA DO CORDA";343
"210170 BARREIRINHAS";157
"210173 BELAGUA";11
"210177 BELA VISTA DO MARANHAO";35
"210180 BENEDITO LEITE";16
"210190 BEQUIMAO";66
"210193 BERNARDO DO MEARIM";17
"210197 BOA VISTA DO GURUPI";30
"210200 BOM JARDIM";132
"210203 BOM JESUS DAS SELVAS";105
"210207 BOM LUGAR";30
"210210 BREJO";102
"210215 BREJO DE AREIA";29
"210220 BURITI";99
"210230 BURITI BRAVO";99
"210232 BURITICUPU";243
"210235 BURITIRANA";62
"210237 CACHOEIRA GRANDE";34
"210240 CAJAPIO";31
"210250 CAJARI";50
"210255 CAMPESTRE DO MARANHAO";52
"210260 CANDIDO MENDES";47
"210270 CANTANHEDE";63
"210275 CAPINZAL DO NORTE";34
"210280 CAROLINA";108
"210290 CARUTAPERA";46
"210300 CAXIAS";703
"210310 CEDRAL";22
"210312 CENTRAL DO MARANHAO";22
"210315 CENTRO DO GUILHERME";22
"210317 CENTRO NOVO DO MARANHAO";47
"210320 CHAPADINHA";321
"210325 CIDELANDIA";46
"210330 CODO";519
"210340 COELHO NETO";189
"210350 COLINAS";186
"210355 CONCEICAO DO LAGO-ACU";56
"210360 COROATA";252
"210370 CURURUPU";121
"210375 DAVINOPOLIS";69
"210380 DOM PEDRO";83
"210390 DUQUE BACELAR";37
"210400 ESPERANTINOPOLIS";76
"210405 ESTREITO";142
"210407 FEIRA NOVA DO MARANHAO";33
"210408 FERNANDO FALCAO";41
"210409 FORMOSA DA SERRA NEGRA";45
"210410 FORTALEZA DOS NOGUEIRAS";41
"210420 FORTUNA";66
"210430 GODOFREDO VIANA";27
"210440 GONCALVES DIAS";58
"210450 GOVERNADOR ARCHER";43
"210455 GOVERNADOR EDISON LOBAO";57
"210460 GOVERNADOR EUGENIO BARROS";42
"210462 GOVERNADOR LUIZ ROCHA";32
"210465 GOVERNADOR NEWTON BELLO";36
"210467 GOVERNADOR NUNES FREIRE";85
"210470 GRACA ARANHA";27
"210480 GRAJAU";308
"210490 GUIMARAES";31
"210500 HUMBERTO DE CAMPOS";78
"210510 ICATU";63
"210515 IGARAPE DO MEIO";44
"210520 IGARAPE GRANDE";51
"210530 IMPERATRIZ";1270
"210535 ITAIPAVA DO GRAJAU";48
"210540 ITAPECURU MIRIM";199
"210542 ITINGA DO MARANHAO";123
"210545 JATOBA";37
"210547 JENIPAPO DOS VIEIRAS";31
"210550 JOAO LISBOA";98
"210560 JOSELANDIA";61
"210565 JUNCO DO MARANHAO";7
"210570 LAGO DA PEDRA";168
"210580 LAGO DO JUNCO";24
"210590 LAGO VERDE";55
"210592 LAGOA DO MATO";32
"210594 LAGO DOS RODRIGUES";43
"210596 LAGOA GRANDE DO MARANHAO";34
"210598 LAJEADO NOVO";21
"210600 LIMA CAMPOS";63
"210610 LORETO";35
"210620 LUIS DOMINGUES";20
"210630 MAGALHAES DE ALMEIDA";42
"210632 MARACACUME";64
"210635 MARAJA DO SENA";13
"210637 MARANHAOZINHO";35
"210640 MATA ROMA";51
"210650 MATINHA";79
"210660 MATOES";102
"210663 MATOES DO NORTE";28
"210667 MILAGRES DO MARANHAO";10
"210670 MIRADOR";49
"210675 MIRANDA DO NORTE";94
"210680 MIRINZAL";38
"210690 MONCAO";91
"210700 MONTES ALTOS";41
"210710 MORROS";38
"210720 NINA RODRIGUES";37
"210725 NOVA COLINAS";16
"210730 NOVA IORQUE";17
"210735 NOVA OLINDA DO MARANHAO";52
"210740 OLHO D'AGUA DAS CUNHAS";67
"210745 OLINDA NOVA DO MARANHAO";37
"210750 PACO DO LUMIAR";440
"210760 PALMEIRANDIA";59
"210770 PARAIBANO";88
"210780 PARNARAMA";106
"210790 PASSAGEM FRANCA";73
"210800 PASTOS BONS";78
"210805 PAULINO NEVES";42
"210810 PAULO RAMOS";83
"210820 PEDREIRAS";157
"210825 PEDRO DO ROSARIO";45
"210830 PENALVA";115
"210840 PERI MIRIM";48
"210845 PERITORO";65
"210850 PINDARE-MIRIM";133
"210860 PINHEIRO";295
"210870 PIO XII";71
"210880 PIRAPEMAS";52
"210890 POCAO DE PEDRAS";70
"210900 PORTO FRANCO";111
"210905 PORTO RICO DO MARANHAO";20
"210910 PRESIDENTE DUTRA";173
"210920 PRESIDENTE JUSCELINO";22
"210923 PRESIDENTE MEDICI";20
"210927 PRESIDENTE SARNEY";46
"210930 PRESIDENTE VARGAS";25
"210940 PRIMEIRA CRUZ";28
"210945 RAPOSA";92
"210950 RIACHAO";77
"210955 RIBAMAR FIQUENE";27
"210960 ROSARIO";144
"210970 SAMBAIBA";15
"210975 SANTA FILOMENA DO MARANHAO";19
"210980 SANTA HELENA";108
"210990 SANTA INES";400
"211000 SANTA LUZIA";260
"211003 SANTA LUZIA DO PARUA";61
"211010 SANTA QUITERIA DO MARANHAO";74
"211020 SANTA RITA";115
"211023 SANTANA DO MARANHAO";23
"211027 SANTO AMARO DO MARANHAO";28
"211030 SANTO ANTONIO DOS LOPES";61
"211040 SAO BENEDITO DO RIO PRETO";56
"211050 SAO BENTO";91
"211060 SAO BERNARDO";55
"211065 SAO DOMINGOS DO AZEITAO";37
"211070 SAO DOMINGOS DO MARANHAO";149
"211080 SAO FELIX DE BALSAS";21
"211085 SAO FRANCISCO DO BREJAO";42
"211090 SAO FRANCISCO DO MARANHAO";37
"211100 SAO JOAO BATISTA";58
"211102 SAO JOAO DO CARU";40
"211105 SAO JOAO DO PARAISO";25
"211107 SAO JOAO DO SOTER";52
"211110 SAO JOAO DOS PATOS";116
"211120 SAO JOSE DE RIBAMAR";746
