 Óbitos por causas evitáveis de 5 a 74 anos - Mato Grosso do Sul
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MS";2
"500020 AGUA CLARA";40
"500025 ALCINOPOLIS";12
"500060 AMAMBAI";170
"500070 ANASTACIO";145
"500080 ANAURILANDIA";26
"500085 ANGELICA";43
"500090 ANTONIO JOAO";47
"500100 APARECIDA DO TABOADO";129
"500110 AQUIDAUANA";259
"500124 ARAL MOREIRA";40
"500150 BANDEIRANTES";33
"500190 BATAGUASSU";81
"500200 BATAYPORA";35
"500210 BELA VISTA";94
"500215 BODOQUENA";40
"500220 BONITO";63
"500230 BRASILANDIA";50
"500240 CAARAPO";130
"500260 CAMAPUA";55
"500270 CAMPO GRANDE";3657
"500280 CARACOL";17
"500290 CASSILANDIA";116
"500295 CHAPADAO DO SUL";78
"500310 CORGUINHO";19
"500315 CORONEL SAPUCAIA";74
"500320 CORUMBA";570
"500325 COSTA RICA";83
"500330 COXIM";169
"500345 DEODAPOLIS";64
"500348 DOIS IRMAOS DO BURITI";41
"500350 DOURADINA";28
"500370 DOURADOS";930
"500375 ELDORADO";39
"500380 FATIMA DO SUL";107
"500390 FIGUEIRAO";14
"500400 GLORIA DE DOURADOS";41
"500410 GUIA LOPES DA LAGUNA";57
"500430 IGUATEMI";48
"500440 INOCENCIA";37
"500450 ITAPORA";75
"500460 ITAQUIRAI";79
"500470 IVINHEMA";95
"500480 JAPORA";35
"500490 JARAGUARI";26
"500500 JARDIM";109
"500510 JATEI";5
"500515 JUTI";30
"500520 LADARIO";105
"500525 LAGUNA CARAPA";20
"500540 MARACAJU";126
"500560 MIRANDA";112
"500568 MUNDO NOVO";94
"500570 NAVIRAI";223
"500580 NIOAQUE";40
"500600 NOVA ALVORADA DO SUL";70
"500620 NOVA ANDRADINA";182
"500625 NOVO HORIZONTE DO SUL";13
"500627 PARAISO DAS AGUAS";13
"500630 PARANAIBA";203
"500635 PARANHOS";43
"500640 PEDRO GOMES";37
"500660 PONTA PORA";403
"500690 PORTO MURTINHO";59
"500710 RIBAS DO RIO PARDO";89
"500720 RIO BRILHANTE";144
"500730 RIO NEGRO";28
"500740 RIO VERDE DE MATO GROSSO";92
"500750 ROCHEDO";21
"500755 SANTA RITA DO PARDO";21
"500769 SAO GABRIEL DO OESTE";92
"500770 SETE QUEDAS";45
"500780 SELVIRIA";40
"500790 SIDROLANDIA";180
"500793 SONORA";54
"500795 TACURU";41
"500797 TAQUARUSSU";22
"500800 TERENOS";62
"500830 TRES LAGOAS";446
"500840 VICENTINA";26
"Total";11283
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
